QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,WR,Cole Beasley (16135676),Cole Beasley,16135676,WR/FLEX,4900,BAL@BUF 01/16/2021 08:15PM ET,BUF,14.7
,,,,,,,,,,QB,John Wolford (16135562),John Wolford,16135562,QB,4900,LAR@GB 01/16/2021 04:35PM ET,LAR,7.6
,,,,,,,,,,RB,Leonard Fournette (16135592),Leonard Fournette,16135592,RB/FLEX,4900,TB@NO 01/17/2021 06:40PM ET,TB,12.17
,,,,,,,,,,QB,Chad Henne (16135563),Chad Henne,16135563,QB,4800,CLE@KC 01/17/2021 03:05PM ET,KC,7.91
,,,,,,,,,,RB,Kareem Hunt (16135594),Kareem Hunt,16135594,RB/FLEX,4800,CLE@KC 01/17/2021 03:05PM ET,CLE,14.15
,,,,,,,,,,WR,Sammy Watkins (16135678),Sammy Watkins,16135678,WR/FLEX,4800,CLE@KC 01/17/2021 03:05PM ET,KC,8.94
,,,,,,,,,,WR,John Brown (16135680),John Brown,16135680,WR/FLEX,4600,BAL@BUF 01/16/2021 08:15PM ET,BUF,9.68
,,,,,,,,,,QB,Tyler Huntley (16135564),Tyler Huntley,16135564,QB,4500,BAL@BUF 01/16/2021 08:15PM ET,BAL,1.45
,,,,,,,,,,RB,Devin Singletary (16135596),Devin Singletary,16135596,RB/FLEX,4500,BAL@BUF 01/16/2021 08:15PM ET,BUF,8.94
,,,,,,,,,,WR,Emmanuel Sanders (16135682),Emmanuel Sanders,16135682,WR/FLEX,4500,TB@NO 01/17/2021 06:40PM ET,NO,11.34
,,,,,,,,,,QB,Robert Griffin III (16135566),Robert Griffin III,16135566,QB,4400,BAL@BUF 01/16/2021 08:15PM ET,BAL,1.4
,,,,,,,,,,QB,Trace McSorley (16135567),Trace McSorley,16135567,QB,4400,BAL@BUF 01/16/2021 08:15PM ET,BAL,4.65
,,,,,,,,,,QB,Matt Barkley (16135568),Matt Barkley,16135568,QB,4400,BAL@BUF 01/16/2021 08:15PM ET,BUF,2.57
,,,,,,,,,,RB,Zack Moss (16135600),Zack Moss,16135600,RB/FLEX,4400,BAL@BUF 01/16/2021 08:15PM ET,BUF,7.88
,,,,,,,,,,RB,Jamaal Williams (16135598),Jamaal Williams,16135598,RB/FLEX,4400,LAR@GB 01/16/2021 04:35PM ET,GB,9.08
,,,,,,,,,,QB,Case Keenum (16135565),Case Keenum,16135565,QB,4400,CLE@KC 01/17/2021 03:05PM ET,CLE,1.84
,,,,,,,,,,RB,Darwin Thompson (16135602),Darwin Thompson,16135602,RB/FLEX,4300,CLE@KC 01/17/2021 03:05PM ET,KC,6.84
,,,,,,,,,,WR,Demarcus Robinson (16135684),Demarcus Robinson,16135684,WR/FLEX,4300,CLE@KC 01/17/2021 03:05PM ET,KC,7.24
,,,,,,,,,,QB,Jameis Winston (16135569),Jameis Winston,16135569,QB,4300,TB@NO 01/17/2021 06:40PM ET,NO,0.8
,,,,,,,,,,QB,Blaine Gabbert (16135570),Blaine Gabbert,16135570,QB,4300,TB@NO 01/17/2021 06:40PM ET,TB,3.83
,,,,,,,,,,RB,Latavius Murray (16135604),Latavius Murray,16135604,RB/FLEX,4300,TB@NO 01/17/2021 06:40PM ET,NO,9.32
,,,,,,,,,,RB,Gus Edwards (16135606),Gus Edwards,16135606,RB/FLEX,4200,BAL@BUF 01/16/2021 08:15PM ET,BAL,8
,,,,,,,,,,TE,Robert Tonyan (16135782),Robert Tonyan,16135782,TE/FLEX,4200,LAR@GB 01/16/2021 04:35PM ET,GB,11.77
,,,,,,,,,,QB,Tim Boyle (16135571),Tim Boyle,16135571,QB,4100,LAR@GB 01/16/2021 04:35PM ET,GB,-0.11
,,,,,,,,,,RB,Malcolm Brown (16135608),Malcolm Brown,16135608,RB/FLEX,4100,LAR@GB 01/16/2021 04:35PM ET,LAR,6.76
,,,,,,,,,,WR,Rashard Higgins (16135686),Rashard Higgins,16135686,WR/FLEX,4100,CLE@KC 01/17/2021 03:05PM ET,CLE,9.9
,,,,,,,,,,QB,Jake Fromm (16135572),Jake Fromm,16135572,QB,4000,BAL@BUF 01/16/2021 08:15PM ET,BUF,0
,,,,,,,,,,RB,Justice Hill (16135644),Justice Hill,16135644,RB/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BAL,1.18
,,,,,,,,,,RB,Mark Ingram II (16135646),Mark Ingram II,16135646,RB/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BAL,5.29
,,,,,,,,,,RB,Patrick Ricard (16135648),Patrick Ricard,16135648,RB/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BAL,2.4
,,,,,,,,,,RB,T.J. Yeldon (16135650),T.J. Yeldon,16135650,RB/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BUF,5.4
,,,,,,,,,,RB,Taiwan Jones (16135652),Taiwan Jones,16135652,RB/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BUF,0
,,,,,,,,,,WR,Gabriel Davis (16135688),Gabriel Davis,16135688,WR/FLEX,4000,BAL@BUF 01/16/2021 08:15PM ET,BUF,8.96
,,,,,,,,,,QB,Blake Bortles (16135574),Blake Bortles,16135574,QB,4000,LAR@GB 01/16/2021 04:35PM ET,LAR,0
,,,,,,,,,,QB,Jordan Love (16135575),Jordan Love,16135575,QB,4000,LAR@GB 01/16/2021 04:35PM ET,GB,0
,,,,,,,,,,RB,Darrell Henderson Jr. (16135612),Darrell Henderson Jr.,16135612,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,LAR,8.89
,,,,,,,,,,RB,AJ Dillon (16135616),AJ Dillon,16135616,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,GB,4.81
