QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Noah Fant,Christian Kirk,Los Angeles Rams
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Michael Thomas,Cooper Kupp,Jacob Hollister,Duke Johnson,Miami Dolphins
Josh Allen,Mike Davis,Alvin Kamara,D.J. Moore,Stefon Diggs,Larry Fitzgerald,Darren Waller,John Brown,Detroit Lions
Tua Tagovailoa,Mike Davis,Aaron Jones,DeVante Parker,D.J. Moore,Keenan Allen,Mike Gesicki,Davante Adams,Miami Dolphins
Jared Goff,Mike Davis,Aaron Jones,Stefon Diggs,Josh Reynolds,Cooper Kupp,Hunter Henry,D.K. Metcalf,Los Angeles Chargers
Drew Lock,Mike Davis,Aaron Jones,Robby Anderson,Jerry Jeudy,Davante Adams,Darren Waller,KJ Hamler,New Orleans Saints
Carson Wentz,Mike Davis,Aaron Jones,Davante Adams,Darius Slayton,Jalen Reagor,Dallas Goedert,Alvin Kamara,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,JuJu Smith-Schuster,Drew Sample,Alvin Kamara,Cleveland Browns
Tom Brady,Mike Davis,Aaron Jones,Robby Anderson,Keenan Allen,Chris Godwin,Rob Gronkowski,Duke Johnson,Green Bay Packers
Aaron Rodgers,Mike Davis,Aaron Jones,Stefon Diggs,Keelan Cole,Davante Adams,Robert Tonyan,D'Andre Swift,Denver Broncos
Kyler Murray,Mike Davis,Aaron Jones,Robby Anderson,DeAndre Hopkins,John Brown,Dan Arnold,Miles Sanders,Cleveland Browns
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Robby Anderson,Robert Woods,Tyler Higbee,James Conner,Detroit Lions
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Tim Patrick,Darren Waller,Henry Ruggs,Philadelphia Eagles
Matthew Stafford,Mike Davis,Aaron Jones,Terry McLaurin,Cooper Kupp,Danny Amendola,T.J. Hockenson,Alvin Kamara,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Keenan Allen,John Brown,Christian Kirk,Dallas Goedert,Cole Beasley,Pittsburgh Steelers
Teddy Bridgewater,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,Curtis Samuel,Darren Waller,Chris Godwin,Pittsburgh Steelers
Kyler Murray,Mike Davis,Duke Johnson,DeAndre Hopkins,Christian Kirk,Cole Beasley,Hunter Henry,Alvin Kamara,Detroit Lions
Alex Smith,Mike Davis,Aaron Jones,Tyler Lockett,Terry McLaurin,Davante Adams,Logan Thomas,Marvin Jones,Cleveland Browns
