PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16210142,16210656,16210005,16210118,16210430,16209998,16210440,16209973,,1. Locate the player you want to select in the list below ,,,,,,,,
16209930,16211040,16210440,16210214,16210430,16210629,16209945,16209982,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16209933,16210600,16210005,16210411,16210430,16210440,16210177,16209982,,3. Paste the ID into the roster position desired ,,,,,,,,
16210164,16210387,16210604,16210118,16210430,16209930,16210036,16210137,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16210142,16210236,16210653,16210118,16210430,16210029,16209945,16210137,,5. You can create up to 500 lineups per file ,,,,,,,,
16209930,16210236,16210005,16209945,16210430,16210440,16210604,16210598,,,,,,,,,,
16209933,16210108,16210440,16210118,16210430,16210218,16210731,16209982,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16210164,16210457,16210423,16210118,16210430,16210208,16209945,16209973,,C,Nikola Jokic (16209928),Nikola Jokic,16209928,C/UTIL,11000,DEN@PHO 01/22/2021 10:00PM ET,DEN,60.46
16210164,16210440,16210079,16210001,16210430,16210142,16210297,16209973,,PG,Luka Doncic (16209930),Luka Doncic,16209930,PG/G/UTIL,10900,DAL@SA 01/22/2021 08:30PM ET,DAL,57.48
16210629,16209933,16210440,16209945,16210430,16210656,16210301,16209973,,PG/SG,James Harden (16209933),James Harden,16209933,PG/SG/G/UTIL,10800,BKN@CLE 01/22/2021 07:30PM ET,BKN,54.66
16209970,16210525,16210045,16210118,16210430,16210440,16210214,16209982,,SF/PF,Kevin Durant (16209937),Kevin Durant,16209937,SF/PF/F/UTIL,10700,BKN@CLE 01/22/2021 07:30PM ET,BKN,54.04
16210629,16210236,16210473,16210118,16210430,16209933,16209945,16210259,,C,Karl-Anthony Towns (16209941),Karl-Anthony Towns,16209941,C/UTIL,10300,ATL@MIN 01/22/2021 08:00PM ET,MIN,51.5
16210142,16210236,16210251,16210118,16210430,16210208,16210036,16209973,,C,Joel Embiid (16209943),Joel Embiid,16209943,C/UTIL,10100,BOS@PHI 01/22/2021 07:30PM ET,PHI,50.71
16210164,16210502,16210005,16210118,16210430,16210473,16210036,16209973,,PF/C,Domantas Sabonis (16209945),Domantas Sabonis,16209945,PF/C/F/UTIL,9900,ORL@IND 01/22/2021 07:00PM ET,IND,49.05
16210164,16210440,16210653,16210118,16210430,16209970,16210005,16209996,,SF,Kawhi Leonard (16209949),Kawhi Leonard,16209949,SF/F/UTIL,9700,OKC@LAC 01/22/2021 10:00PM ET,LAC,45.5
16210164,16210625,16210005,16209945,16210430,16210457,16210045,16210137,,PG,Trae Young (16209952),Trae Young,16209952,PG/G/UTIL,9600,ATL@MIN 01/22/2021 08:00PM ET,ATL,44.54
16210164,16209933,16210440,16210411,16210430,16210060,16209966,16210598,,SG,Zach LaVine (16209955),Zach LaVine,16209955,SG/G/UTIL,9500,CHI@CHA 01/22/2021 07:00PM ET,CHI,45.02
16209933,16210440,16210653,16209945,16210430,16210387,16210502,16209982,,C,Andre Drummond (16209958),Andre Drummond,16209958,C/UTIL,9400,BKN@CLE 01/22/2021 07:30PM ET,CLE,47.65
16210208,16210236,16210604,16209945,16210430,16210029,16210387,16209973,,SG,Paul George (16209960),Paul George,16209960,SG/G/UTIL,9300,OKC@LAC 01/22/2021 10:00PM ET,LAC,44.45
16210164,16209933,16210468,16210731,16210430,16210029,16209945,16210558,,PF,Jayson Tatum (16209963),Jayson Tatum,16209963,PF/F/UTIL,9200,BOS@PHI 01/22/2021 07:30PM ET,BOS,46.08
,,,,,,,,,PF/C,Julius Randle (16209966),Julius Randle,16209966,PF/C/F/UTIL,9100,NY@SAC 01/22/2021 10:00PM ET,NY,48.12
,,,,,,,,,PG,Kyrie Irving (16209970),Kyrie Irving,16209970,PG/G/UTIL,9000,BKN@CLE 01/22/2021 07:30PM ET,BKN,48.34
