PG,SG,SF,PF,C,G,F,UTIL
Devonte' Graham,Gabe Vincent,Jerami Grant,Lauri Markkanen,DeMarcus Cousins,Malcolm Brogdon,Norman Powell,Nikola Vucevic
Luka Doncic,Javonte Green,Norman Powell,Marvin Bagley III,DeMarcus Cousins,Jordan McLaughlin,Domantas Sabonis,Bam Adebayo
James Harden,Aaron Holiday,Jerami Grant,James Johnson,DeMarcus Cousins,Norman Powell,Harrison Barnes,Bam Adebayo
Goran Dragic,Anthony Edwards,Timothe Luwawu-Cabarrot,Lauri Markkanen,DeMarcus Cousins,Luka Doncic,Pascal Siakam,Richaun Holmes
Devonte' Graham,Kendrick Nunn,James Ennis III,Lauri Markkanen,DeMarcus Cousins,Fred VanVleet,Domantas Sabonis,Richaun Holmes
Luka Doncic,Kendrick Nunn,Jerami Grant,Domantas Sabonis,DeMarcus Cousins,Norman Powell,Timothe Luwawu-Cabarrot,Cody Zeller
James Harden,Terry Rozier,Norman Powell,Lauri Markkanen,DeMarcus Cousins,Tim Hardaway Jr.,Aleksej Pokusevski,Bam Adebayo
Goran Dragic,George Hill,Cam Johnson,Lauri Markkanen,DeMarcus Cousins,Derrick Rose,Domantas Sabonis,Nikola Vucevic
Goran Dragic,Norman Powell,Tobias Harris,Kristaps Porzingis,DeMarcus Cousins,Devonte' Graham,Jarred Vanderbilt,Nikola Vucevic
Jordan McLaughlin,James Harden,Norman Powell,Domantas Sabonis,DeMarcus Cousins,Gabe Vincent,Isaiah Roby,Nikola Vucevic
Kyrie Irving,Wayne Ellington,Gordon Hayward,Lauri Markkanen,DeMarcus Cousins,Norman Powell,Marvin Bagley III,Bam Adebayo
Jordan McLaughlin,Kendrick Nunn,Gary Harris,Lauri Markkanen,DeMarcus Cousins,James Harden,Domantas Sabonis,Mason Plumlee
Devonte' Graham,Kendrick Nunn,Joe Harris,Lauri Markkanen,DeMarcus Cousins,Derrick Rose,Pascal Siakam,Nikola Vucevic
Goran Dragic,Hamidou Diallo,Jerami Grant,Lauri Markkanen,DeMarcus Cousins,Gary Harris,Pascal Siakam,Nikola Vucevic
Goran Dragic,Norman Powell,James Ennis III,Lauri Markkanen,DeMarcus Cousins,Kyrie Irving,Jerami Grant,Clint Capela
Goran Dragic,Terence Davis,Jerami Grant,Domantas Sabonis,DeMarcus Cousins,George Hill,Gordon Hayward,Richaun Holmes
Goran Dragic,James Harden,Norman Powell,James Johnson,DeMarcus Cousins,Dejounte Murray,Julius Randle,Cody Zeller
James Harden,Norman Powell,James Ennis III,Domantas Sabonis,DeMarcus Cousins,Anthony Edwards,Hamidou Diallo,Bam Adebayo
Derrick Rose,Kendrick Nunn,Timothe Luwawu-Cabarrot,Domantas Sabonis,DeMarcus Cousins,Fred VanVleet,Anthony Edwards,Nikola Vucevic
Goran Dragic,James Harden,Devin Vassell,Aleksej Pokusevski,DeMarcus Cousins,Fred VanVleet,Domantas Sabonis,Khem Birch
