CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Jared Goff,Cam Newton,Damiere Byrd,N'Keal Harry,Robert Woods,Cooper Kupp
Cam Newton,Jared Goff,Damiere Byrd,N'Keal Harry,Robert Woods,Cooper Kupp
Robert Woods,Jared Goff,Cam Newton,Damiere Byrd,N'Keal Harry,Cooper Kupp
