P,P,C,1B,2B,3B,SS,OF,OF,OF,Proj_pts
Drew Smyly,Walker Buehler,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Matt Duffy,Jean Segura,Wil Myers,A.J. Pollock,Bryce Harper,103.90999999999998
Cal Quantrill,Walker Buehler,Francisco Mejia,Rhys Hoskins,Luis Urias,Evan Longoria,Manny Machado,Wil Myers,Tommy Pham,Hunter Renfroe,103.23
Drew Smyly,Walker Buehler,Will Smith,Jesus Aguilar,Michael Brosseau,Matt Duffy,Manny Machado,Tommy Pham,Charlie Blackmon,Kevin Kiermaier,101.42
Kyle Freeland,Walker Buehler,Buster Posey,Rhys Hoskins,Donovan Solano,Evan Longoria,Brandon Crawford,Bryce Harper,Kevin Pillar,Charlie Blackmon,101.22
Drew Smyly,Walker Buehler,Tom Murphy,Ryan Court,Timothy Lopes,Kyle Seager,Fernando Tatis,Tommy Pham,Bryce Harper,Domingo Santana,100.15
Cal Quantrill,Walker Buehler,Will Smith,Max Muncy,Donovan Solano,Justin Turner,Corey Seager,A.J. Pollock,Tommy Pham,Bryce Harper,100.11
Drew Smyly,Walker Buehler,Will Smith,Tyler White,Ryan McMahon,Justin Turner,Fernando Tatis,Wil Myers,Kristopher Negron,Cody Bellinger,99.22
Drew Smyly,Walker Buehler,Tony Wolters,Daniel Murphy,Luis Urias,Nolan Arenado,Corey Seager,Wil Myers,Charlie Blackmon,Ian Desmond,99.03
