P,P,C,1B,2B,3B,SS,OF,OF,OF
Drew Smyly,Walker Buehler,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Matt Duffy,Jean Segura,Wil Myers,A.J. Pollock,Bryce Harper
Cal Quantrill,Walker Buehler,Francisco Mejia,Rhys Hoskins,Luis Urias,Evan Longoria,Manny Machado,Wil Myers,Tommy Pham,Hunter Renfroe
Drew Smyly,Walker Buehler,Will Smith,Jesus Aguilar,Mike Brosseau,Matt Duffy,Manny Machado,Tommy Pham,Charlie Blackmon,Kevin Kiermaier
Kyle Freeland,Walker Buehler,Buster Posey,Rhys Hoskins,Donovan Solano,Evan Longoria,Brandon Crawford,Bryce Harper,Kevin Pillar,Charlie Blackmon
Drew Smyly,Walker Buehler,Tom Murphy,Ryan Court,Tim Lopes,Kyle Seager,Fernando Tatis Jr.,Tommy Pham,Bryce Harper,Domingo Santana
Cal Quantrill,Walker Buehler,Will Smith,Max Muncy,Donovan Solano,Justin Turner,Corey Seager,A.J. Pollock,Tommy Pham,Bryce Harper
Drew Smyly,Walker Buehler,Will Smith,Tyler White,Ryan McMahon,Justin Turner,Fernando Tatis Jr.,Wil Myers,Kristopher Negron,Cody Bellinger
Drew Smyly,Walker Buehler,Tony Wolters,Daniel Murphy,Luis Urias,Nolan Arenado,Corey Seager,Wil Myers,Charlie Blackmon,Ian Desmond
