Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2517279758,hannan17 (12/20),0,307.25,SG Victor Oladipo PG John Wall C Enes Kanter G Reggie Jackson PF Blake Griffin F Jae Crowder UTIL Mason Plumlee SF Kyle Kuzma,,Kyle Kuzma,F,52.44%,39
2,2517322476,dellapietro0 (1/20),0,301,G Damian Lillard C Bam Adebayo SG Victor Oladipo PG Reggie Jackson F Kyle Kuzma PF P.J. Tucker SF Abdel Nader UTIL Frank Kaminsky,,Damian Lillard,PG,48.11%,49
3,2517309229,cpardell (18/20),0,297.25,PG Damian Lillard G LeBron James SG Dennis Schroder PF Carmelo Anthony F Jae Crowder C Mason Plumlee SF Kyle Kuzma UTIL Frank Kaminsky,,Chris Paul,G,36.00%,25.25
4,2517339338,Kgabes11 (13/20),0,296,PG Damian Lillard G LeBron James C Enes Kanter F Cameron Johnson UTIL Mason Plumlee SF Derrick Jones Jr. PF Kyle Kuzma SG Gabe Vincent,,LeBron James,F,34.66%,50.25
5,2517285775,flashinthepan (9/10),0,295.25,PG Damian Lillard C Bam Adebayo SG Victor Oladipo PF Jae Crowder SF Derrick Jones Jr. F Kyle Kuzma G Rodney Hood UTIL Frank Kaminsky,,Jae Crowder,SF,31.79%,34.75
5,2517299722,matiush1 (2/2),0,295.25,G Victor Oladipo SG Tyler Herro PG John Wall C Serge Ibaka PF Carmelo Anthony SF Jae Crowder UTIL Mason Plumlee F Kyle Kuzma,,Kendrick Nunn,SG,31.58%,17.75
7,2517261948,hairbag_7,0,294.75,UTIL Bam Adebayo SG Tyler Herro PG John Wall C Enes Kanter SF Jae Crowder F Gary Trent Jr. PF Kyle Kuzma G Anfernee Simons,,Carmelo Anthony,PF,29.39%,23.75
8,2517315289,GStreet11 (2/2),0,292.25,PG LeBron James SG Victor Oladipo UTIL Reggie Jackson PF Jae Crowder G Terance Mann C Mason Plumlee F Derrick Jones Jr. SF Kyle Kuzma,,Markieff Morris,PF,28.44%,7.5
8,2517374285,freakystud21 (19/20),0,292.25,UTIL Christian Wood G Victor Oladipo F Mikal Bridges PF Blake Griffin PG Lou Williams SF Jae Crowder SG Wayne Ellington C Mason Plumlee,,Deandre Ayton,C,26.24%,35.25
10,2517309221,cpardell (10/20),0,292,PG Damian Lillard G LeBron James C Enes Kanter SG Dennis Schroder F Jae Crowder SF Kyle Kuzma PF Precious Achiuwa UTIL Frank Kaminsky,,Mason Plumlee,UTIL,23.77%,36
