PG,SG,SF,PF,C,G,F,UTIL
Damian Lillard,Jevon Carter,Kyle Kuzma,Nicolas Batum,Mason Plumlee,Stephen Curry,KZ Okpala,Victor Oladipo
Chris Paul,Victor Oladipo,Kyle Kuzma,Precious Achiuwa,Mason Plumlee,Reggie Jackson,Derrick Jones Jr.,Stephen Curry
Stephen Curry,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Cam Johnson,Nicolas Batum
Damian Lillard,Victor Oladipo,Mikal Bridges,Precious Achiuwa,Mason Plumlee,Reggie Jackson,Kyle Kuzma,Draymond Green
Damian Lillard,Kendrick Nunn,Mikal Bridges,Kyle Kuzma,Mason Plumlee,Victor Oladipo,Eric Paschall,Serge Ibaka
Reggie Jackson,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Kelly Oubre,Deandre Ayton
Damian Lillard,Jevon Carter,Kyle Kuzma,Precious Achiuwa,Mason Plumlee,Stephen Curry,Marcus Morris,Christian Wood
Chris Paul,Terance Mann,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Stephen Curry,Precious Achiuwa,Christian Wood
Stephen Curry,Jevon Carter,Kyle Kuzma,Derrick Jones Jr.,Mason Plumlee,Victor Oladipo,Nicolas Batum,Bam Adebayo
Stephen Curry,Kendrick Nunn,Mikal Bridges,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Kyle Kuzma,Terance Mann
Damian Lillard,Jevon Carter,Kyle Kuzma,Nicolas Batum,Mason Plumlee,Stephen Curry,Jae'Sean Tate,Kendrick Nunn
Chris Paul,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Nicolas Batum,Andrew Wiggins
Chris Paul,Victor Oladipo,Kyle Kuzma,Draymond Green,Harry Giles III,Terance Mann,Blake Griffin,Bam Adebayo
Reggie Jackson,Jevon Carter,Derrick Jones Jr.,Draymond Green,Mason Plumlee,Kendrick Nunn,LeBron James,Christian Wood
Damian Lillard,Victor Oladipo,Kyle Kuzma,Cam Johnson,Mason Plumlee,Reggie Jackson,KZ Okpala,Andrew Wiggins
Reggie Jackson,Kendrick Nunn,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Stephen Curry,Cam Johnson,John Wall
Chris Paul,Victor Oladipo,Kyle Kuzma,Derrick Jones Jr.,Bam Adebayo,Reggie Jackson,Draymond Green,Isaiah Stewart
Chris Paul,Victor Oladipo,Kyle Kuzma,Draymond Green,Mason Plumlee,Reggie Jackson,Nassir Little,Bam Adebayo
Damian Lillard,Kendrick Nunn,Kyle Kuzma,Cam Johnson,Isaiah Stewart,Reggie Jackson,Draymond Green,Victor Oladipo
Chris Paul,Damion Lee,Kyle Kuzma,Carmelo Anthony,Mason Plumlee,Victor Oladipo,Nicolas Batum,Bam Adebayo
