PG,SG,SF,PF,C,G,F,UTIL
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Andre Iguodala,Malachi Flynn
Shai Gilgeous-Alexander,Evan Fournier,Taurean Prince,John Collins,Deandre Ayton,D'Angelo Russell,Yuta Watanabe,Serge Ibaka
Jamal Murray,Alec Burks,Isaac Okoro,John Collins,Deandre Ayton,D'Angelo Russell,Lu Dort,Trey Burke
Jamal Murray,D'Angelo Russell,Nicolas Batum,Rudy Gay,Deandre Ayton,Shai Gilgeous-Alexander,Justin Holiday,Payton Pritchard
Jamal Murray,Ben McLemore,Jae Crowder,Rudy Gay,Serge Ibaka,Shai Gilgeous-Alexander,John Collins,D'Angelo Russell
Shai Gilgeous-Alexander,Alec Burks,Luke Kennard,Rudy Gay,Deandre Ayton,D'Angelo Russell,John Collins,Bismack Biyombo
Shai Gilgeous-Alexander,Ben McLemore,Justin Holiday,John Collins,Deandre Ayton,D'Angelo Russell,Paul Millsap,Willie Cauley-Stein
Shai Gilgeous-Alexander,D'Angelo Russell,Nicolas Batum,JaMychal Green,Deandre Ayton,Immanuel Quickley,John Collins,Dwight Howard
Jamal Murray,Evan Fournier,Reggie Bullock,Rudy Gay,Deandre Ayton,Patrick Beverley,John Collins,D'Angelo Russell
Jamal Murray,Evan Fournier,Nicolas Batum,John Collins,Willie Cauley-Stein,Shai Gilgeous-Alexander,Edmond Sumner,D'Angelo Russell
Jamal Murray,Alec Burks,David Nwaba,Larry Nance Jr.,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,D'Angelo Russell
Jamal Murray,D'Angelo Russell,Nicolas Batum,John Collins,Deandre Ayton,Damyean Dotson,Yuta Watanabe,Myles Turner
Jamal Murray,D'Angelo Russell,Cedi Osman,Yuta Watanabe,John Collins,Shai Gilgeous-Alexander,Justin Holiday,Patrick Beverley
Shai Gilgeous-Alexander,D'Angelo Russell,Danny Green,Larry Nance Jr.,Deandre Ayton,Trey Burke,Edmond Sumner,Serge Ibaka
Shai Gilgeous-Alexander,D'Angelo Russell,Danny Green,JaMychal Green,Serge Ibaka,Payton Pritchard,John Collins,Myles Turner
Jamal Murray,D'Angelo Russell,Reggie Bullock,John Collins,Dwight Howard,Shai Gilgeous-Alexander,Daniel Theis,Patty Mills
D'Angelo Russell,Patty Mills,David Nwaba,John Collins,Deandre Ayton,Lu Dort,Cedi Osman,Serge Ibaka
Jamal Murray,Justin Holiday,Patrick Williams,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Reggie Bullock,Serge Ibaka
Jamal Murray,Evan Fournier,David Nwaba,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Luke Kennard,Jarrett Allen
Shai Gilgeous-Alexander,Alec Burks,Danny Green,JaMychal Green,Deandre Ayton,D'Angelo Russell,Cedi Osman,Willie Cauley-Stein
