PG,SG,SF,PF,C,G,F,UTIL
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Andre Iguodala,Malachi Flynn
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Andre Iguodala,Yuta Watanabe
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,Sterling Brown
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Sterling Brown,Malachi Flynn
Jamal Murray,Jeremy Lamb,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,D'Angelo Russell
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,Lou Williams
Jamal Murray,Evan Fournier,Yuta Watanabe,Sekou Doumbouya,Deandre Ayton,Shai Gilgeous-Alexander,John Collins,D'Angelo Russell
Jamal Murray,Evan Fournier,Yuta Watanabe,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Wes Iwundu,D'Angelo Russell
Jamal Murray,Evan Fournier,Yuta Watanabe,Rodions Kurucs,Deandre Ayton,Shai Gilgeous-Alexander,John Collins,D'Angelo Russell
Jamal Murray,Evan Fournier,Yuta Watanabe,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Patrick Patterson,D'Angelo Russell
Jamal Murray,Alec Burks,Yuta Watanabe,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Caleb Martin,D'Angelo Russell
Jamal Murray,Alec Burks,Josh Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,D'Angelo Russell
Jamal Murray,D'Angelo Russell,Taurean Prince,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,Luke Kennard
Jamal Murray,D'Angelo Russell,Taurean Prince,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Luke Kennard,Malachi Flynn
Jamal Murray,D'Angelo Russell,Yuta Watanabe,Rudy Gay,Deandre Ayton,Shai Gilgeous-Alexander,John Collins,Nerlens Noel
Jamal Murray,Mason Jones,Yuta Watanabe,Rudy Gay,Deandre Ayton,Shai Gilgeous-Alexander,John Collins,D'Angelo Russell
Jamal Murray,D'Angelo Russell,Yuta Watanabe,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Sterling Brown,Patrick Beverley
Jamal Murray,D'Angelo Russell,Yuta Watanabe,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Dwayne Bacon,Trey Burke
Jamal Murray,D'Angelo Russell,Semi Ojeleye,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Yuta Watanabe,Trey Burke
Shai Gilgeous-Alexander,D'Angelo Russell,Danny Green,Rudy Gay,Deandre Ayton,Malachi Flynn,John Collins,Serge Ibaka
