QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Aaron Jones (30500581),Aaron Jones,30500581,RB/FLEX,6400,MIN@GB 10/29/2023 01:00PM ET,GB,12.6
,,,,,,,,,,WR,Chris Olave (30500885),Chris Olave,30500885,WR/FLEX,6400,NO@IND 10/29/2023 01:00PM ET,NO,14.01
,,,,,,,,,,TE,Mark Andrews (30501353),Mark Andrews,30501353,TE/FLEX,6400,BAL@ARI 10/29/2023 04:25PM ET,BAL,15.62
,,,,,,,,,,QB,C.J. Stroud (30500492),C.J. Stroud,30500492,QB,6300,HOU@CAR 10/29/2023 01:00PM ET,HOU,18.65
,,,,,,,,,,WR,Garrett Wilson (30500887),Garrett Wilson,30500887,WR/FLEX,6300,NYJ@NYG 10/29/2023 01:00PM ET,NYJ,13.48
,,,,,,,,,,RB,D'Andre Swift (30500583),D'Andre Swift,30500583,RB/FLEX,6300,PHI@WAS 10/29/2023 01:00PM ET,PHI,16.17
,,,,,,,,,,TE,T.J. Hockenson (30501355),T.J. Hockenson,30501355,TE/FLEX,6200,MIN@GB 10/29/2023 01:00PM ET,MIN,13.86
,,,,,,,,,,RB,Jonathan Taylor (30500585),Jonathan Taylor,30500585,RB/FLEX,6200,NO@IND 10/29/2023 01:00PM ET,IND,12.3
,,,,,,,,,,QB,Trevor Lawrence (30500493),Trevor Lawrence,30500493,QB,6200,JAX@PIT 10/29/2023 01:00PM ET,JAX,16.47
,,,,,,,,,,WR,Amari Cooper (30500889),Amari Cooper,30500889,WR/FLEX,6200,CLE@SEA 10/29/2023 04:05PM ET,CLE,12.48
,,,,,,,,,,QB,Dak Prescott (30500494),Dak Prescott,30500494,QB,6100,LAR@DAL 10/29/2023 01:00PM ET,DAL,14.64
,,,,,,,,,,RB,Isiah Pacheco (30500587),Isiah Pacheco,30500587,RB/FLEX,6100,KC@DEN 10/29/2023 04:25PM ET,KC,15.17
,,,,,,,,,,WR,Deebo Samuel (30500891),Deebo Samuel,30500891,WR/FLEX,6100,CIN@SF 10/29/2023 04:25PM ET,SF,12.45
,,,,,,,,,,RB,Bijan Robinson (30500589),Bijan Robinson,30500589,RB/FLEX,6000,ATL@TEN 10/29/2023 01:00PM ET,ATL,14.61
,,,,,,,,,,WR,Tyler Lockett (30500893),Tyler Lockett,30500893,WR/FLEX,6000,CLE@SEA 10/29/2023 04:05PM ET,SEA,11.65
,,,,,,,,,,QB,Joe Burrow (30500495),Joe Burrow,30500495,QB,6000,CIN@SF 10/29/2023 04:25PM ET,CIN,12.77
,,,,,,,,,,RB,Breece Hall (30500591),Breece Hall,30500591,RB/FLEX,5900,NYJ@NYG 10/29/2023 01:00PM ET,NYJ,14.15
,,,,,,,,,,WR,Christian Kirk (30500897),Christian Kirk,30500897,WR/FLEX,5900,JAX@PIT 10/29/2023 01:00PM ET,JAX,15.28
,,,,,,,,,,QB,Geno Smith (30500496),Geno Smith,30500496,QB,5900,CLE@SEA 10/29/2023 04:05PM ET,SEA,15.42
,,,,,,,,,,WR,Tee Higgins (30500895),Tee Higgins,30500895,WR/FLEX,5900,CIN@SF 10/29/2023 04:25PM ET,CIN,8.18
,,,,,,,,,,WR,Calvin Ridley (30500899),Calvin Ridley,30500899,WR/FLEX,5800,JAX@PIT 10/29/2023 01:00PM ET,JAX,11.83
,,,,,,,,,,QB,Kyler Murray (30500497),Kyler Murray,30500497,QB,5800,BAL@ARI 10/29/2023 04:25PM ET,ARI,0
,,,,,,,,,,RB,Joe Mixon (30500593),Joe Mixon,30500593,RB/FLEX,5800,CIN@SF 10/29/2023 04:25PM ET,CIN,11.5
,,,,,,,,,,QB,Jordan Love (30500498),Jordan Love,30500498,QB,5700,MIN@GB 10/29/2023 01:00PM ET,GB,18.75
,,,,,,,,,,WR,Jordan Addison (30500901),Jordan Addison,30500901,WR/FLEX,5700,MIN@GB 10/29/2023 01:00PM ET,MIN,15.43
,,,,,,,,,,RB,Zack Moss (30500595),Zack Moss,30500595,RB/FLEX,5700,NO@IND 10/29/2023 01:00PM ET,IND,19.47
,,,,,,,,,,RB,Alexander Mattison (30500597),Alexander Mattison,30500597,RB/FLEX,5600,MIN@GB 10/29/2023 01:00PM ET,MIN,11.09
,,,,,,,,,,WR,George Pickens (30500905),George Pickens,30500905,WR/FLEX,5600,JAX@PIT 10/29/2023 01:00PM ET,PIT,16.6
,,,,,,,,,,WR,Zay Flowers (30500903),Zay Flowers,30500903,WR/FLEX,5600,BAL@ARI 10/29/2023 04:25PM ET,BAL,12.91
,,,,,,,,,,QB,Brock Purdy (30500499),Brock Purdy,30500499,QB,5600,CIN@SF 10/29/2023 04:25PM ET,SF,18.1
,,,,,,,,,,WR,Nico Collins (30500909),Nico Collins,30500909,WR/FLEX,5500,HOU@CAR 10/29/2023 01:00PM ET,HOU,17.95
,,,,,,,,,,QB,Derek Carr (30500500),Derek Carr,30500500,QB,5500,NO@IND 10/29/2023 01:00PM ET,NO,13.73
,,,,,,,,,,WR,DeAndre Hopkins (30500907),DeAndre Hopkins,30500907,WR/FLEX,5500,ATL@TEN 10/29/2023 01:00PM ET,TEN,11.27
,,,,,,,,,,QB,Deshaun Watson (30500501),Deshaun Watson,30500501,QB,5500,CLE@SEA 10/29/2023 04:05PM ET,CLE,14.16
,,,,,,,,,,RB,Gus Edwards (30500599),Gus Edwards,30500599,RB/FLEX,5500,BAL@ARI 10/29/2023 04:25PM ET,BAL,8.84
,,,,,,,,,,QB,Gardner Minshew II (30500502),Gardner Minshew II,30500502,QB,5400,NO@IND 10/29/2023 01:00PM ET,IND,11.6
,,,,,,,,,,RB,Rhamondre Stevenson (30500601),Rhamondre Stevenson,30500601,RB/FLEX,5400,NE@MIA 10/29/2023 01:00PM ET,NE,11.14
,,,,,,,,,,QB,Daniel Jones (30500503),Daniel Jones,30500503,QB,5400,NYJ@NYG 10/29/2023 01:00PM ET,NYG,13.01
,,,,,,,,,,RB,Brian Robinson Jr. (30500603),Brian Robinson Jr.,30500603,RB/FLEX,5400,PHI@WAS 10/29/2023 01:00PM ET,WAS,13.26
,,,,,,,,,,WR,Jerry Jeudy (30500911),Jerry Jeudy,30500911,WR/FLEX,5400,KC@DEN 10/29/2023 04:25PM ET,DEN,8.93
,,,,,,,,,,TE,George Kittle (30501357),George Kittle,30501357,TE/FLEX,5400,CIN@SF 10/29/2023 04:25PM ET,SF,10.09
,,,,,,,,,,RB,Dameon Pierce (30500607),Dameon Pierce,30500607,RB/FLEX,5300,HOU@CAR 10/29/2023 01:00PM ET,HOU,8.58
,,,,,,,,,,QB,Tyrod Taylor (30500505),Tyrod Taylor,30500505,QB,5300,NYJ@NYG 10/29/2023 01:00PM ET,NYG,6.22
,,,,,,,,,,WR,Terry McLaurin (30500913),Terry McLaurin,30500913,WR/FLEX,5300,PHI@WAS 10/29/2023 01:00PM ET,WAS,13.17
,,,,,,,,,,RB,Jerome Ford (30500605),Jerome Ford,30500605,RB/FLEX,5300,CLE@SEA 10/29/2023 04:05PM ET,CLE,14.47
,,,,,,,,,,QB,Russell Wilson (30500504),Russell Wilson,30500504,QB,5300,KC@DEN 10/29/2023 04:25PM ET,DEN,18.44
,,,,,,,,,,WR,Courtland Sutton (30500915),Courtland Sutton,30500915,WR/FLEX,5300,KC@DEN 10/29/2023 04:25PM ET,DEN,13.44
,,,,,,,,,,TE,Darren Waller (30501359),Darren Waller,30501359,TE/FLEX,5200,NYJ@NYG 10/29/2023 01:00PM ET,NYG,11.29
,,,,,,,,,,QB,Sam Howell (30500506),Sam Howell,30500506,QB,5200,PHI@WAS 10/29/2023 01:00PM ET,WAS,17.27
,,,,,,,,,,RB,Kareem Hunt (30500611),Kareem Hunt,30500611,RB/FLEX,5200,CLE@SEA 10/29/2023 04:05PM ET,CLE,9.48
,,,,,,,,,,QB,Joshua Dobbs (30500507),Joshua Dobbs,30500507,QB,5200,BAL@ARI 10/29/2023 04:25PM ET,ARI,15.52
,,,,,,,,,,WR,Marquise Brown (30500917),Marquise Brown,30500917,WR/FLEX,5200,BAL@ARI 10/29/2023 04:25PM ET,ARI,13.03
,,,,,,,,,,RB,Javonte Williams (30500609),Javonte Williams,30500609,RB/FLEX,5200,KC@DEN 10/29/2023 04:25PM ET,DEN,8.28
,,,,,,,,,,QB,Bryce Young (30500509),Bryce Young,30500509,QB,5100,HOU@CAR 10/29/2023 01:00PM ET,CAR,13.04
,,,,,,,,,,RB,AJ Dillon (30500613),AJ Dillon,30500613,RB/FLEX,5100,MIN@GB 10/29/2023 01:00PM ET,GB,7.07
,,,,,,,,,,WR,Christian Watson (30500919),Christian Watson,30500919,WR/FLEX,5100,MIN@GB 10/29/2023 01:00PM ET,GB,9.27
