QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Lamar Jackson,Alvin Kamara,Breece Hall,A.J. Brown,Christian Kirk,Zay Flowers,Jake Ferguson,Trey McBride,Jaguars 
Jalen Hurts,Alvin Kamara,Breece Hall,A.J. Brown,Nico Collins,Terry McLaurin,Trey McBride,Josh Downs,Bengals 
Sam Howell,Breece Hall,Bijan Robinson,Tyreek Hill,A.J. Brown,Terry McLaurin,Evan Engram,Trey McBride,Jaguars 
Trevor Lawrence,Alvin Kamara,Breece Hall,A.J. Brown,Adam Thielen,George Pickens,Evan Engram,Trey McBride,Falcons 
Jalen Hurts,Breece Hall,Bijan Robinson,A.J. Brown,Ja'Marr Chase,Kendrick Bourne,Trey McBride,Logan Thomas,Steelers 
Jalen Hurts,Breece Hall,Isiah Pacheco,A.J. Brown,Zay Flowers,Nico Collins,Evan Engram,Logan Thomas,Jaguars 
Lamar Jackson,Breece Hall,Bijan Robinson,Zay Flowers,Nico Collins,Josh Downs,Travis Kelce,Trey McBride,Steelers 
C.J. Stroud,Alvin Kamara,Breece Hall,Ja'Marr Chase,Adam Thielen,Nico Collins,Trey McBride,Kendrick Bourne,Jaguars 
Lamar Jackson,Breece Hall,Isiah Pacheco,Ja'Marr Chase,Adam Thielen,Zay Flowers,Evan Engram,Trey McBride,Bengals 
Dak Prescott,Breece Hall,Bijan Robinson,Cooper Kupp,A.J. Brown,Adam Thielen,Trey McBride,Michael Gallup,Bengals 
Sam Howell,Alvin Kamara,Breece Hall,A.J. Brown,Adam Thielen,Zay Flowers,Logan Thomas,Josh Downs,Steelers 
Jalen Hurts,Breece Hall,Isiah Pacheco,A.J. Brown,Adam Thielen,Terry McLaurin,Jake Ferguson,Michael Gallup,Steelers 
Sam Howell,Alvin Kamara,Breece Hall,A.J. Brown,Ja'Marr Chase,Terry McLaurin,Dalton Schultz,Michael Gallup,Falcons 
Tua Tagovailoa,Alvin Kamara,Breece Hall,Tyreek Hill,Zay Flowers,Kendrick Bourne,Trey McBride,Michael Gallup,Steelers 
Jalen Hurts,Christian McCaffrey,Breece Hall,A.J. Brown,Zay Flowers,Curtis Samuel,Trey McBride,Brandon Powell,Falcons 
Patrick Mahomes,Alvin Kamara,Breece Hall,Jordan Addison,Courtland Sutton,Michael Gallup,Travis Kelce,Trey McBride,Jaguars 
Jalen Hurts,Alvin Kamara,Bijan Robinson,A.J. Brown,Adam Thielen,Curtis Samuel,Dalton Schultz,Trey McBride,Jaguars 
Jalen Hurts,Alvin Kamara,Bijan Robinson,A.J. Brown,Christian Kirk,Zay Flowers,Logan Thomas,Michael Gallup,Bengals 
Brock Purdy,Alvin Kamara,Breece Hall,A.J. Brown,Ja'Marr Chase,Brandon Aiyuk,Trey McBride,Brandon Powell,Cardinals 
Lamar Jackson,Breece Hall,Bijan Robinson,A.J. Brown,Adam Thielen,Zay Flowers,Dalton Schultz,Rondale Moore,Vikings 
Lamar Jackson,Christian McCaffrey,Breece Hall,Adam Thielen,Josh Downs,Michael Gallup,Mark Andrews,Trey McBride,Jaguars 
C.J. Stroud,Breece Hall,Bijan Robinson,A.J. Brown,Adam Thielen,Christian Kirk,Jake Ferguson,Nico Collins,Cardinals 
Lamar Jackson,Breece Hall,Isiah Pacheco,A.J. Brown,Nico Collins,Kendrick Bourne,Mark Andrews,Trey McBride,Vikings 
Sam Howell,Christian McCaffrey,Alvin Kamara,A.J. Brown,Nico Collins,Jordan Addison,Trey McBride,Logan Thomas,Jaguars 
Lamar Jackson,Alvin Kamara,Bijan Robinson,Tyreek Hill,Zay Flowers,Brandon Powell,Evan Engram,Trey McBride,Falcons 
Jalen Hurts,Breece Hall,Dameon Pierce,A.J. Brown,Christian Kirk,Terry McLaurin,Dalton Schultz,Kendrick Bourne,Jaguars 
