C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16288145,16287781,16287860,16287814,16288244,16288016,16287842,16287793,16288048,,1. Locate the player you want to select in the list below ,,,,,,,,
16288145,16288081,16288048,16288343,16288393,16288016,16287842,16288363,16287781,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16288145,16288081,16287769,16288244,16288343,16288016,16287930,16287793,16288393,,3. Paste the ID into the roster position desired ,,,,,,,,
16288145,16287781,16287860,16287769,16288244,16288016,16287930,16288104,16288161,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16288145,16288081,16287860,16288244,16288048,16288016,16287912,16288104,16288393,,5. You can create up to 500 lineups per file ,,,,,,,,
16288145,16288081,16287860,16287769,16288057,16288016,16287721,16287793,16288161,,,,,,,,,,
16288145,16288081,16287727,16288048,16288393,16287930,16287721,16287793,16287781,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16288145,16288081,16287860,16287769,16288244,16287842,16287912,16288103,16288057,,C,Nathan MacKinnon (16288012),Nathan MacKinnon,16288012,C/UTIL,8600,COL@MIN 01/31/2021 08:00PM ET,COL,16.36
,,,,,,,,,,G,Mikko Koskinen (16287768),Mikko Koskinen,16287768,G,8500,OTT@EDM 01/31/2021 09:00PM ET,EDM,11.97
,,,,,,,,,,C,Connor McDavid (16288145),Connor McDavid,16288145,C/UTIL,8500,OTT@EDM 01/31/2021 09:00PM ET,EDM,19.57
,,,,,,,,,,RW,Patrick Kane (16287711),Patrick Kane,16287711,W/UTIL,8300,CLS@CHI 01/31/2021 07:00PM ET,CHI,12.67
,,,,,,,,,,G,Stuart Skinner (16288363),Stuart Skinner,16288363,G,8300,OTT@EDM 01/31/2021 09:00PM ET,EDM,0
,,,,,,,,,,RW,Mikko Rantanen (16288153),Mikko Rantanen,16288153,W/UTIL,8200,COL@MIN 01/31/2021 08:00PM ET,COL,14.88
,,,,,,,,,,G,Jordan Binnington (16287907),Jordan Binnington,16287907,G,8100,STL@ANH 01/31/2021 08:00PM ET,STL,16.03
,,,,,,,,,,G,Philipp Grubauer (16287836),Philipp Grubauer,16287836,G,8000,COL@MIN 01/31/2021 08:00PM ET,COL,16.74
,,,,,,,,,,C,Leon Draisaitl (16288081),Leon Draisaitl,16288081,C/UTIL,8000,OTT@EDM 01/31/2021 09:00PM ET,EDM,15.72
,,,,,,,,,,G,Ville Husso (16288113),Ville Husso,16288113,G,7900,STL@ANH 01/31/2021 08:00PM ET,STL,-2.1
,,,,,,,,,,G,Carter Hart (16288274),Carter Hart,16288274,G,7800,NYI@PHI 01/31/2021 07:00PM ET,PHI,12.94
,,,,,,,,,,G,Pavel Francouz (16288226),Pavel Francouz,16288226,G,7800,COL@MIN 01/31/2021 08:00PM ET,COL,0
,,,,,,,,,,G,Hunter Miska (16288325),Hunter Miska,16288325,G,7800,COL@MIN 01/31/2021 08:00PM ET,COL,5.6
,,,,,,,,,,G,Joonas Korpisalo (16287966),Joonas Korpisalo,16287966,G,7700,CLS@CHI 01/31/2021 07:00PM ET,CLS,19.5
,,,,,,,,,,LW,Gabriel Landeskog (16287862),Gabriel Landeskog,16287862,W/UTIL,7700,COL@MIN 01/31/2021 08:00PM ET,COL,11.26
,,,,,,,,,,G,Brian Elliott (16287708),Brian Elliott,16287708,G,7600,NYI@PHI 01/31/2021 07:00PM ET,PHI,18.23
,,,,,,,,,,G,Kevin Lankinen (16288406),Kevin Lankinen,16288406,G,7600,CLS@CHI 01/31/2021 07:00PM ET,CHI,16.54
,,,,,,,,,,G,Semyon Varlamov (16287705),Semyon Varlamov,16287705,G,7500,NYI@PHI 01/31/2021 07:00PM ET,NYI,14.7
,,,,,,,,,,G,Elvis Merzlikins (16288103),Elvis Merzlikins,16288103,G,7500,CLS@CHI 01/31/2021 07:00PM ET,CLS,13.12
,,,,,,,,,,LW,Ryan Nugent-Hopkins (16287860),Ryan Nugent-Hopkins,16287860,W/UTIL,7500,OTT@EDM 01/31/2021 09:00PM ET,EDM,11.14
,,,,,,,,,,G,Malcolm Subban (16287958),Malcolm Subban,16287958,G,7400,CLS@CHI 01/31/2021 07:00PM ET,CHI,10.9
,,,,,,,,,,G,Collin Delia (16288386),Collin Delia,16288386,G,7400,CLS@CHI 01/31/2021 07:00PM ET,CHI,4.55
,,,,,,,,,,G,Ilya Sorokin (16288104),Ilya Sorokin,16288104,G,7300,NYI@PHI 01/31/2021 07:00PM ET,NYI,4.9
,,,,,,,,,,G,Cam Talbot (16287793),Cam Talbot,16287793,G,7300,COL@MIN 01/31/2021 08:00PM ET,MIN,13.15
,,,,,,,,,,G,Kaapo Kahkonen (16288120),Kaapo Kahkonen,16288120,G,7300,COL@MIN 01/31/2021 08:00PM ET,MIN,11.05
,,,,,,,,,,LW,Brady Tkachuk (16288409),Brady Tkachuk,16288409,W/UTIL,7300,OTT@EDM 01/31/2021 09:00PM ET,OTT,12.98
,,,,,,,,,,G,John Gibson (16287884),John Gibson,16287884,G,7200,STL@ANH 01/31/2021 08:00PM ET,ANH,15.56
,,,,,,,,,,G,Andrew Hammond (16288000),Andrew Hammond,16288000,G,7100,COL@MIN 01/31/2021 08:00PM ET,MIN,0
,,,,,,,,,,G,Ryan Miller (16287660),Ryan Miller,16287660,G,7000,STL@ANH 01/31/2021 08:00PM ET,ANH,7
,,,,,,,,,,C,Mathew Barzal (16288155),Mathew Barzal,16288155,C/UTIL,6900,NYI@PHI 01/31/2021 07:00PM ET,NYI,12.08
,,,,,,,,,,RW,Patrik Laine (16288242),Patrik Laine,16288242,W/UTIL,6900,CLS@CHI 01/31/2021 07:00PM ET,CLS,30.8
,,,,,,,,,,G,Matt Murray (16287978),Matt Murray,16287978,G,6900,OTT@EDM 01/31/2021 09:00PM ET,OTT,4.98
,,,,,,,,,,G,Marcus Hogberg (16288050),Marcus Hogberg,16288050,G,6700,OTT@EDM 01/31/2021 09:00PM ET,OTT,3.5
,,,,,,,,,,LW,Alex DeBrincat (16288266),Alex DeBrincat,16288266,W/UTIL,6600,CLS@CHI 01/31/2021 07:00PM ET,CHI,11.57
,,,,,,,,,,G,Cory Schneider (16287682),Cory Schneider,16287682,G,6500,NYI@PHI 01/31/2021 07:00PM ET,NYI,0
,,,,,,,,,,G,Zane McIntyre (16287839),Zane McIntyre,16287839,G,6500,NYI@PHI 01/31/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Felix Sandstrom (16288185),Felix Sandstrom,16288185,G,6500,NYI@PHI 01/31/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Alex Lyon (16288231),Alex Lyon,16288231,G,6500,NYI@PHI 01/31/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Kirill Ustimenko (16288364),Kirill Ustimenko,16288364,G,6500,NYI@PHI 01/31/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Jakub Skarek (16288437),Jakub Skarek,16288437,G,6500,NYI@PHI 01/31/2021 07:00PM ET,NYI,0
,,,,,,,,,,G,Roddy Ross (16288494),Roddy Ross,16288494,G,6500,NYI@PHI 01/31/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Matt Tomkins (16287997),Matt Tomkins,16287997,G,6500,CLS@CHI 01/31/2021 07:00PM ET,CHI,0
,,,,,,,,,,G,Matiss Kivlenieks (16288332),Matiss Kivlenieks,16288332,G,6500,CLS@CHI 01/31/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Cam Johnson (16288399),Cam Johnson,16288399,G,6500,CLS@CHI 01/31/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Veini Vehvilainen (16288445),Veini Vehvilainen,16288445,G,6500,CLS@CHI 01/31/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Cale Morris (16288513),Cale Morris,16288513,G,6500,CLS@CHI 01/31/2021 07:00PM ET,CHI,0
,,,,,,,,,,G,Alex Stalock (16287753),Alex Stalock,16287753,G,6500,COL@MIN 01/31/2021 08:00PM ET,MIN,0
,,,,,,,,,,G,Adam Werner (16288298),Adam Werner,16288298,G,6500,COL@MIN 01/31/2021 08:00PM ET,COL,0
,,,,,,,,,,D,Cale Makar (16288335),Cale Makar,16288335,D/UTIL,6500,COL@MIN 01/31/2021 08:00PM ET,COL,10.76
,,,,,,,,,,G,Anthony Stolarz (16287961),Anthony Stolarz,16287961,G,6500,STL@ANH 01/31/2021 08:00PM ET,ANH,0
,,,,,,,,,,G,Jon Gillies (16287973),Jon Gillies,16287973,G,6500,STL@ANH 01/31/2021 08:00PM ET,STL,0
,,,,,,,,,,G,Olle Eriksson Ek (16288381),Olle Eriksson Ek,16288381,G,6500,STL@ANH 01/31/2021 08:00PM ET,ANH,0
,,,,,,,,,,G,Joel Hofer (16288438),Joel Hofer,16288438,G,6500,STL@ANH 01/31/2021 08:00PM ET,STL,0
,,,,,,,,,,G,Mike Smith (16287661),Mike Smith,16287661,G,6500,OTT@EDM 01/31/2021 09:00PM ET,EDM,0
,,,,,,,,,,G,Troy Grosenick (16288003),Troy Grosenick,16288003,G,6500,OTT@EDM 01/31/2021 09:00PM ET,EDM,0
,,,,,,,,,,G,Filip Gustavsson (16288277),Filip Gustavsson,16288277,G,6500,OTT@EDM 01/31/2021 09:00PM ET,OTT,0
