CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,WR,Miles Boykin (16111579),Miles Boykin,16111579,FLEX,4800,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.97
,,,,,,,DST,Ravens  (16111630),Ravens ,16111630,CPT,4800,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.81
,,,,,,,RB,Gus Edwards (16111580),Gus Edwards,16111580,FLEX,4400,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.26
,,,,,,,DST,Titans  (16111631),Titans ,16111631,CPT,4200,BAL@TEN 01/10/2021 01:05PM ET,TEN,4.12
,,,,,,,K,Justin Tucker (16111581),Justin Tucker,16111581,FLEX,3800,BAL@TEN 01/10/2021 01:05PM ET,BAL,9.06
,,,,,,,WR,Dez Bryant (16111582),Dez Bryant,16111582,FLEX,3600,BAL@TEN 01/10/2021 01:05PM ET,BAL,5.68
,,,,,,,K,Stephen Gostkowski (16111583),Stephen Gostkowski,16111583,FLEX,3400,BAL@TEN 01/10/2021 01:05PM ET,TEN,7.93
,,,,,,,K,Sam Sloman (16111584),Sam Sloman,16111584,FLEX,3400,BAL@TEN 01/10/2021 01:05PM ET,TEN,6.88
,,,,,,,DST,Ravens  (16111585),Ravens ,16111585,FLEX,3200,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.81
,,,,,,,DST,Titans  (16111586),Titans ,16111586,FLEX,2800,BAL@TEN 01/10/2021 01:05PM ET,TEN,4.12
,,,,,,,TE,Anthony Firkser (16111632),Anthony Firkser,16111632,CPT,2100,BAL@TEN 01/10/2021 01:05PM ET,TEN,5.78
,,,,,,,RB,Mark Ingram II (16111633),Mark Ingram II,16111633,CPT,1800,BAL@TEN 01/10/2021 01:05PM ET,BAL,5.29
,,,,,,,TE,Anthony Firkser (16111587),Anthony Firkser,16111587,FLEX,1400,BAL@TEN 01/10/2021 01:05PM ET,TEN,5.78
,,,,,,,RB,Mark Ingram II (16111588),Mark Ingram II,16111588,FLEX,1200,BAL@TEN 01/10/2021 01:05PM ET,BAL,5.29
,,,,,,,WR,Devin Duvernay (16111634),Devin Duvernay,16111634,CPT,1200,BAL@TEN 01/10/2021 01:05PM ET,BAL,3.54
,,,,,,,TE,Geoff Swaim (16111635),Geoff Swaim,16111635,CPT,900,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.33
,,,,,,,WR,Devin Duvernay (16111589),Devin Duvernay,16111589,FLEX,800,BAL@TEN 01/10/2021 01:05PM ET,BAL,3.54
,,,,,,,TE,Geoff Swaim (16111590),Geoff Swaim,16111590,FLEX,600,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.33
,,,,,,,RB,Justice Hill (16111636),Justice Hill,16111636,CPT,600,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.18
,,,,,,,RB,Justice Hill (16111591),Justice Hill,16111591,FLEX,400,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.18
,,,,,,,WR,Cameron Batson (16111637),Cameron Batson,16111637,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,3
,,,,,,,TE,MyCole Pruitt (16111638),MyCole Pruitt,16111638,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,5.58
,,,,,,,RB,Darrynton Evans (16111639),Darrynton Evans,16111639,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.22
,,,,,,,RB,Jeremy McNichols (16111640),Jeremy McNichols,16111640,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,2.93
,,,,,,,WR,Adam Humphries (16111641),Adam Humphries,16111641,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,8.26
,,,,,,,RB,D'Onta Foreman (16111642),D'Onta Foreman,16111642,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.4
,,,,,,,RB,Patrick Ricard (16111643),Patrick Ricard,16111643,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,2.04
,,,,,,,WR,DeAndrew White (16111644),DeAndrew White,16111644,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,WR,Antoine Wesley (16111645),Antoine Wesley,16111645,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,TE,Eric Tomlinson (16111646),Eric Tomlinson,16111646,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,TE,Nick Boyle (16111647),Nick Boyle,16111647,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.14
,,,,,,,WR,Kalif Raymond (16111648),Kalif Raymond,16111648,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,2.03
,,,,,,,WR,Nick Westbrook-Ikhine (16111649),Nick Westbrook-Ikhine,16111649,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.92
,,,,,,,RB,Khari Blasingame (16111650),Khari Blasingame,16111650,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,1.13
,,,,,,,WR,James Proche (16111651),James Proche,16111651,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,0.18
,,,,,,,RB,Senorise Perry (16111652),Senorise Perry,16111652,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.22
,,,,,,,WR,Chris Moore (16111653),Chris Moore,16111653,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,WR,Rashard Davis (16111654),Rashard Davis,16111654,CPT,300,BAL@TEN 01/10/2021 01:05PM ET,TEN,0
,,,,,,,WR,Cameron Batson (16111592),Cameron Batson,16111592,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,3
,,,,,,,TE,MyCole Pruitt (16111593),MyCole Pruitt,16111593,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,5.58
,,,,,,,RB,Darrynton Evans (16111594),Darrynton Evans,16111594,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.22
,,,,,,,RB,Jeremy McNichols (16111595),Jeremy McNichols,16111595,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,2.93
,,,,,,,WR,Adam Humphries (16111596),Adam Humphries,16111596,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,8.26
,,,,,,,RB,D'Onta Foreman (16111597),D'Onta Foreman,16111597,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,3.4
,,,,,,,RB,Patrick Ricard (16111598),Patrick Ricard,16111598,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,2.04
,,,,,,,WR,DeAndrew White (16111599),DeAndrew White,16111599,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,WR,Antoine Wesley (16111600),Antoine Wesley,16111600,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,TE,Eric Tomlinson (16111601),Eric Tomlinson,16111601,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,TE,Nick Boyle (16111602),Nick Boyle,16111602,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.14
,,,,,,,WR,Kalif Raymond (16111603),Kalif Raymond,16111603,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,2.03
,,,,,,,WR,Nick Westbrook-Ikhine (16111604),Nick Westbrook-Ikhine,16111604,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.92
,,,,,,,RB,Khari Blasingame (16111605),Khari Blasingame,16111605,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,1.13
,,,,,,,WR,James Proche (16111606),James Proche,16111606,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,0.18
,,,,,,,RB,Senorise Perry (16111607),Senorise Perry,16111607,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.22
,,,,,,,WR,Chris Moore (16111608),Chris Moore,16111608,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,BAL,0
,,,,,,,WR,Rashard Davis (16111609),Rashard Davis,16111609,FLEX,200,BAL@TEN 01/10/2021 01:05PM ET,TEN,0
