Aleksander Barkov,Matt Duchene,Filip Forsberg,Anthony Duclair,Mikael Granlund,Brent Burns,Aaron Ekblad,Brian Elliott,Frank Vatrano
Aleksander Barkov,Logan Couture,Anthony Duclair,Carter Verhaeghe,Frank Vatrano,Brent Burns,Roman Josi,Brian Elliott,Kevin Labanc
Aleksander Barkov,Matt Duchene,Anthony Duclair,Mikael Granlund,Carter Verhaeghe,Brent Burns,Roman Josi,Andrei Vasilevskiy,Frank Vatrano
Aleksander Barkov,Matt Duchene,Filip Forsberg,Viktor Arvidsson,Anthony Duclair,Roman Josi,Erik Karlsson,Brian Elliott,Mikael Granlund
Aleksander Barkov,Matt Duchene,Viktor Arvidsson,Anthony Duclair,Mikael Granlund,Brent Burns,Keith Yandle,Brian Elliott,Carter Verhaeghe
Aleksander Barkov,Gabriel Vilardi,Filip Forsberg,Anthony Duclair,Mikael Granlund,Aaron Ekblad,Roman Josi,Brian Elliott,Carter Verhaeghe
Aleksander Barkov,Ryan Johansen,Viktor Arvidsson,Anthony Duclair,Carter Verhaeghe,Brent Burns,Aaron Ekblad,Brian Elliott,Frank Vatrano
Logan Couture,Matt Duchene,Filip Forsberg,Evander Kane,Mikael Granlund,Brent Burns,Roman Josi,Andrei Vasilevskiy,Frank Vatrano
Aleksander Barkov,Alexander Wennberg,Patric Hornqvist,Anthony Duclair,Carter Verhaeghe,Brent Burns,Aaron Ekblad,Brian Elliott,Tyler Johnson
Aleksander Barkov,Logan Couture,Evander Kane,Anthony Duclair,Carter Verhaeghe,Brent Burns,Hampus Lindholm,Chris Driedger,Frank Vatrano
Logan Couture,Matt Duchene,Filip Forsberg,Anthony Duclair,Mikael Granlund,Brent Burns,Roman Josi,Brian Elliott,Carter Verhaeghe
Aleksander Barkov,Logan Couture,Anthony Duclair,Mikael Granlund,Carter Verhaeghe,Aaron Ekblad,Erik Karlsson,Brian Elliott,Kevin Labanc
Aleksander Barkov,Alexander Wennberg,Patric Hornqvist,Jonathan Huberdeau,Anthony Duclair,Roman Josi,Erik Karlsson,Brian Elliott,Mikael Granlund
Aleksander Barkov,Alexander Wennberg,Patric Hornqvist,Jonathan Huberdeau,Anthony Duclair,Brent Burns,Ryan Ellis,Brian Elliott,Frank Vatrano
Aleksander Barkov,Matt Duchene,Filip Forsberg,Anthony Duclair,Carter Verhaeghe,Aaron Ekblad,Erik Karlsson,Andrei Vasilevskiy,Frank Vatrano
Aleksander Barkov,Logan Couture,Viktor Arvidsson,Anthony Duclair,Carter Verhaeghe,Brent Burns,Erik Karlsson,Brian Elliott,Nick Cousins
Aleksander Barkov,Logan Couture,Evander Kane,Anthony Duclair,Carter Verhaeghe,Aaron Ekblad,Kevin Shattenkirk,Andrei Vasilevskiy,Frank Vatrano
Aleksander Barkov,Logan Couture,Anthony Duclair,Carter Verhaeghe,Adrian Kempe,Brent Burns,Aaron Ekblad,Brian Elliott,Gabriel Vilardi
Aleksander Barkov,Logan Couture,Anthony Duclair,Carter Verhaeghe,Bobby Ryan,Brent Burns,Aaron Ekblad,Chris Driedger,Vladislav Namestnikov
Aleksander Barkov,Logan Couture,Evander Kane,Anthony Duclair,Frank Vatrano,Aaron Ekblad,Ryan Ellis,Brian Elliott,Kevin Labanc
