C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,D,Alex Pietrangelo (16327017),Alex Pietrangelo,16327017,D/UTIL,6700,LA@VGK 02/05/2021 10:00PM ET,VGK,12.7
,,,,,,,,,,G,Dan Vladar (16327307),Dan Vladar,16327307,G,6500,BOS@PHI 02/05/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Alex Lyon (16327309),Alex Lyon,16327309,G,6500,BOS@PHI 02/05/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Jeremy Swayman (16327319),Jeremy Swayman,16327319,G,6500,BOS@PHI 02/05/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Callum Booth (16327320),Callum Booth,16327320,G,6500,BOS@PHI 02/05/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Zane McIntyre (16327322),Zane McIntyre,16327322,G,6500,BOS@PHI 02/05/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Roddy Ross (16327323),Roddy Ross,16327323,G,6500,BOS@PHI 02/05/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Kirill Ustimenko (16327324),Kirill Ustimenko,16327324,G,6500,BOS@PHI 02/05/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Felix Sandstrom (16327325),Felix Sandstrom,16327325,G,6500,BOS@PHI 02/05/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Christopher Gibson (16327310),Christopher Gibson,16327310,G,6500,DET@TB 02/05/2021 07:00PM ET,TB,0
,,,,,,,,,,G,Calvin Pickard (16327313),Calvin Pickard,16327313,G,6500,DET@TB 02/05/2021 07:00PM ET,DET,6.3
,,,,,,,,,,G,Spencer Martin (16327315),Spencer Martin,16327315,G,6500,DET@TB 02/05/2021 07:00PM ET,TB,0
,,,,,,,,,,G,Kaden Fulcher (16327317),Kaden Fulcher,16327317,G,6500,DET@TB 02/05/2021 07:00PM ET,DET,0
,,,,,,,,,,G,Anders Nilsson (16327318),Anders Nilsson,16327318,G,6500,DET@TB 02/05/2021 07:00PM ET,TB,0
,,,,,,,,,,G,Mike Condon (16327327),Mike Condon,16327327,G,6500,DET@TB 02/05/2021 07:00PM ET,TB,0
