P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
13089606,13089607,13089858,13089680,13089917,13089615,13089664,13089716,13089670,13089634,,1. Locate the player you want to select in the list below ,,,,,,,,
13089606,13089604,13089789,13089683,13089917,13089721,13089664,13089716,13089670,13089634,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13089606,13089604,13089858,13089680,13089766,13089631,13089664,13089716,13089670,13089734,,3. Paste the ID into the roster position desired ,,,,,,,,
13089606,13089607,13089789,13089905,13089624,13089615,13089664,13089716,13089670,13089734,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13089606,13089607,13089789,13089663,13089917,13089631,13089664,13089716,13089670,13089622,,5. You can create up to 500 lineups per file ,,,,,,,,
13089606,13089604,13089858,13089682,13089893,13089721,13089664,13089716,13089670,13089622,,,,,,,,,,
13089606,13089607,13089789,13089680,13089642,13089721,13089623,13089716,13089670,13089734,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13089606,13089607,13089789,13089682,13089766,13089671,13089664,13089716,13089670,13089634,,SP,Chris Sale (13089992),Chris Sale,13089992,P,11300,KC@BOS 08/07/2019 07:10PM ET,BOS,20.57
13089606,13089604,13089789,13089680,13089917,13089631,13089623,13089716,13089670,13089786,,SP,Robbie Ray (13089993),Robbie Ray,13089993,P,10400,PHI@ARI 08/07/2019 09:40PM ET,ARI,19.64
13089606,13089607,13089681,13089680,13089766,13089615,13089664,13089906,13089670,13089705,,SP,Aaron Nola (13089994),Aaron Nola,13089994,P,10100,PHI@ARI 08/07/2019 09:40PM ET,PHI,19.09
13089606,13089607,13089858,13089683,13089642,13089671,13089664,13089716,13089670,13089734,,SP,Eduardo Rodriguez (13089604),Eduardo Rodriguez,13089604,P,10000,KC@BOS 08/07/2019 07:10PM ET,BOS,17.36
13089606,13089607,13089699,13089682,13089917,13089721,13089623,13089716,13089670,13089634,,SP,Luis Severino (13089995),Luis Severino,13089995,P,10000,NYY@BAL 08/07/2019 07:05PM ET,NYY,0
13089606,13089607,13089858,13089682,13089624,13089631,13089664,13089716,13089670,13089786,,SP,Brandon Woodruff (13089996),Brandon Woodruff,13089996,P,10000,MIL@PIT 08/07/2019 07:05PM ET,MIL,15.88
13089606,13089607,13089789,13089683,13089917,13089615,13089623,13089716,13089670,13089705,,SP,Garrett Richards (13089997),Garrett Richards,13089997,P,9900,SD@SEA 08/07/2019 06:40PM ET,SD,0
13089606,13089604,13089756,13089723,13089893,13089631,13089664,13089670,13089712,13089687,,SP,Domingo German (13089998),Domingo German,13089998,P,9700,NYY@BAL 08/07/2019 07:05PM ET,NYY,18.76
13089606,13089604,13089858,13089683,13089771,13089721,13089623,13089716,13089670,13089734,,SP,Chris Paddack (13089999),Chris Paddack,13089999,P,9600,SD@SEA 08/07/2019 06:40PM ET,SD,18.26
13089606,13089607,13089858,13089683,13089917,13089631,13089623,13089670,13089634,13089734,,SP,Jameson Taillon (13090000),Jameson Taillon,13090000,P,9500,MIL@PIT 08/07/2019 07:05PM ET,PIT,13.44
13089606,13089607,13089681,13089680,13089766,13089721,13089619,13089906,13089716,13089622,,SP,Freddy Peralta (13090001),Freddy Peralta,13090001,P,9200,MIL@PIT 08/07/2019 07:05PM ET,MIL,7.7
13089606,13089604,13089789,13089723,13089642,13089735,13089664,13089716,13089670,13089734,,SP,Zac Gallen (13089605),Zac Gallen,13089605,P,9200,PHI@ARI 08/07/2019 09:40PM ET,ARI,17.54
13089606,13089604,13089789,13089682,13089893,13089615,13089664,13089670,13089786,13089734,,SP,David Price (13090002),David Price,13090002,P,9000,KC@BOS 08/07/2019 07:10PM ET,BOS,15.7
,,,,,,,,,,,RP,Richard Lovelady (13090003),Richard Lovelady,13090003,P,9000,KC@BOS 08/07/2019 07:10PM ET,KC,1.67
,,,,,,,,,,,SP,James Paxton (13089606),James Paxton,13089606,P,9000,NYY@BAL 08/07/2019 07:05PM ET,NYY,15.93
,,,,,,,,,,,SP,Masahiro Tanaka (13090004),Masahiro Tanaka,13090004,P,8900,NYY@BAL 08/07/2019 07:05PM ET,NYY,13
,,,,,,,,,,,SP,Taylor Widener (13090005),Taylor Widener,13090005,P,8700,PHI@ARI 08/07/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Joey Lucchesi (13089607),Joey Lucchesi,13089607,P,8600,SD@SEA 08/07/2019 06:40PM ET,SD,15.23
,,,,,,,,,,,SP,Jordan Montgomery (13090008),Jordan Montgomery,13090008,P,8500,NYY@BAL 08/07/2019 07:05PM ET,NYY,0
,,,,,,,,,,,SP,Luke Weaver (13090007),Luke Weaver,13090007,P,8500,PHI@ARI 08/07/2019 09:40PM ET,ARI,17.25
,,,,,,,,,,,SP,Dinelson Lamet (13090006),Dinelson Lamet,13090006,P,8500,SD@SEA 08/07/2019 06:40PM ET,SD,17.68
,,,,,,,,,,,SP,Jonathan Loaisiga (13090009),Jonathan Loaisiga,13090009,P,8400,NYY@BAL 08/07/2019 07:05PM ET,NYY,8.72
,,,,,,,,,,,SP,Mike Leake (13090010),Mike Leake,13090010,P,8400,PHI@ARI 08/07/2019 09:40PM ET,ARI,14.04
,,,,,,,,,,,SP,Taijuan Walker (13090011),Taijuan Walker,13090011,P,8400,PHI@ARI 08/07/2019 09:40PM ET,ARI,0
,,,,,,,,,,,RP,Josh Staumont (13090014),Josh Staumont,13090014,P,8300,KC@BOS 08/07/2019 07:10PM ET,KC,1.12
,,,,,,,,,,,SP,Brent Suter (13090013),Brent Suter,13090013,P,8300,MIL@PIT 08/07/2019 07:05PM ET,MIL,0
,,,,,,,,,,,SP,Jacob Nix (13090012),Jacob Nix,13090012,P,8300,SD@SEA 08/07/2019 06:40PM ET,SD,0
,,,,,,,,,,,SP,Chad Kuhl (13090015),Chad Kuhl,13090015,P,8200,MIL@PIT 08/07/2019 07:05PM ET,PIT,0
,,,,,,,,,,,SP,Stephen Tarpley (13090017),Stephen Tarpley,13090017,P,8100,NYY@BAL 08/07/2019 07:05PM ET,NYY,1.65
,,,,,,,,,,,SP,Zach Eflin (13090018),Zach Eflin,13090018,P,8100,PHI@ARI 08/07/2019 09:40PM ET,PHI,12.08
,,,,,,,,,,,SP,Brett Kennedy (13090016),Brett Kennedy,13090016,P,8100,SD@SEA 08/07/2019 06:40PM ET,SD,0
,,,,,,,,,,,SP,Travis Lakins (13090021),Travis Lakins,13090021,P,8000,KC@BOS 08/07/2019 07:10PM ET,BOS,1.26
,,,,,,,,,,,SP,Jason Vargas (13089608),Jason Vargas,13089608,P,8000,PHI@ARI 08/07/2019 09:40PM ET,PHI,13.16
,,,,,,,,,,,SP,Joel Payamps (13090020),Joel Payamps,13090020,P,8000,PHI@ARI 08/07/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Tommy Milone (13090019),Tommy Milone,13090019,P,8000,SD@SEA 08/07/2019 06:40PM ET,SEA,13.2
,,,,,,,,,,,SP,JoJo Romero (13090022),JoJo Romero,13090022,P,7900,PHI@ARI 08/07/2019 09:40PM ET,PHI,0
,,,,,,,,,,,SP,Vince Velasquez (13090024),Vince Velasquez,13090024,P,7800,PHI@ARI 08/07/2019 09:40PM ET,PHI,9.18
,,,,,,,,,,,SP,Pedro Avila (13090023),Pedro Avila,13090023,P,7800,SD@SEA 08/07/2019 06:40PM ET,SD,15.8
,,,,,,,,,,,SP,Jimmy Nelson (13090025),Jimmy Nelson,13090025,P,7700,MIL@PIT 08/07/2019 07:05PM ET,MIL,3.92
,,,,,,,,,,,SP,Trey Supak (13090028),Trey Supak,13090028,P,7700,MIL@PIT 08/07/2019 07:05PM ET,MIL,0
,,,,,,,,,,,SP,Chris Archer (13090029),Chris Archer,13090029,P,7700,MIL@PIT 08/07/2019 07:05PM ET,PIT,13.8
,,,,,,,,,,,SP,Archie Bradley (13090030),Archie Bradley,13090030,P,7700,PHI@ARI 08/07/2019 09:40PM ET,ARI,3.65
,,,,,,,,,,,SP,Ariel Miranda (13090026),Ariel Miranda,13090026,P,7700,SD@SEA 08/07/2019 06:40PM ET,SEA,0
,,,,,,,,,,,SP,Justin Dunn (13090027),Justin Dunn,13090027,P,7700,SD@SEA 08/07/2019 06:40PM ET,SEA,0
,,,,,,,,,,,SP,Brian Johnson (13090033),Brian Johnson,13090033,P,7600,KC@BOS 08/07/2019 07:10PM ET,BOS,2.74
,,,,,,,,,,,SP,Trevor Stephan (13090031),Trevor Stephan,13090031,P,7600,NYY@BAL 08/07/2019 07:05PM ET,NYY,0
,,,,,,,,,,,SP,Trevor Williams (13089609),Trevor Williams,13089609,P,7600,MIL@PIT 08/07/2019 07:05PM ET,PIT,12.81
,,,,,,,,,,,SP,Adonis Medina (13090032),Adonis Medina,13090032,P,7600,PHI@ARI 08/07/2019 09:40PM ET,PHI,0
,,,,,,,,,,,RP,Matt Andriese (13090034),Matt Andriese,13090034,P,7600,PHI@ARI 08/07/2019 09:40PM ET,ARI,3.18
,,,,,,,,,,,RP,Mike Shawaryn (13090035),Mike Shawaryn,13090035,P,7500,KC@BOS 08/07/2019 07:10PM ET,BOS,3.84
,,,,,,,,,,,SP,Steven Wright (13090036),Steven Wright,13090036,P,7400,KC@BOS 08/07/2019 07:10PM ET,BOS,0.44
,,,,,,,,,,,SP,Danny Duffy (13090037),Danny Duffy,13090037,P,7400,KC@BOS 08/07/2019 07:10PM ET,KC,12.64
,,,,,,,,,,,SP,Kyle Zimmer (13090038),Kyle Zimmer,13090038,P,7400,KC@BOS 08/07/2019 07:10PM ET,KC,0.52
,,,,,,,,,,,RP,Luis Cessa (13090039),Luis Cessa,13090039,P,7400,NYY@BAL 08/07/2019 07:05PM ET,NYY,5.2
,,,,,,,,,,,SP,Drew Pomeranz (13089610),Drew Pomeranz,13089610,P,7400,MIL@PIT 08/07/2019 07:05PM ET,MIL,8.9
,,,,,,,,,,,SP,J.A. Happ (13090041),J.A. Happ,13090041,P,7300,NYY@BAL 08/07/2019 07:05PM ET,NYY,10.75
,,,,,,,,,,,SP,Gio Gonzalez (13090040),Gio Gonzalez,13090040,P,7300,MIL@PIT 08/07/2019 07:05PM ET,MIL,13.82
,,,,,,,,,,,SP,Jordan Lyles (13090044),Jordan Lyles,13090044,P,7200,MIL@PIT 08/07/2019 07:05PM ET,MIL,12.9
,,,,,,,,,,,SP,Clay Holmes (13090045),Clay Holmes,13090045,P,7200,MIL@PIT 08/07/2019 07:05PM ET,PIT,2.89
,,,,,,,,,,,SP,J.B. Bukauskas (13090043),J.B. Bukauskas,13090043,P,7200,PHI@ARI 08/07/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Marco Gonzales (13090042),Marco Gonzales,13090042,P,7200,SD@SEA 08/07/2019 06:40PM ET,SEA,13.15
,,,,,,,,,,,SP,Jake Faria (13090046),Jake Faria,13090046,P,7100,MIL@PIT 08/07/2019 07:05PM ET,MIL,4.2
,,,,,,,,,,,RP,Burch Smith (13090051),Burch Smith,13090051,P,7100,MIL@PIT 08/07/2019 07:05PM ET,MIL,2.61
,,,,,,,,,,,SP,Corbin Martin (13090047),Corbin Martin,13090047,P,7100,PHI@ARI 08/07/2019 09:40PM ET,ARI,8.1
,,,,,,,,,,,SP,Ranger Suarez (13090049),Ranger Suarez,13090049,P,7100,PHI@ARI 08/07/2019 09:40PM ET,PHI,4.54
,,,,,,,,,,,SP,Jerad Eickhoff (13090050),Jerad Eickhoff,13090050,P,7100,PHI@ARI 08/07/2019 09:40PM ET,PHI,10.37
,,,,,,,,,,,SP,Erik Swanson (13090048),Erik Swanson,13090048,P,7100,SD@SEA 08/07/2019 06:40PM ET,SEA,5.11
,,,,,,,,,,,SP,Nathan Eovaldi (13090053),Nathan Eovaldi,13090053,P,7000,KC@BOS 08/07/2019 07:10PM ET,BOS,4.24
,,,,,,,,,,,SP,Zack Brown (13090056),Zack Brown,13090056,P,7000,MIL@PIT 08/07/2019 07:05PM ET,MIL,0
,,,,,,,,,,,SP,Alex Young (13090052),Alex Young,13090052,P,7000,PHI@ARI 08/07/2019 09:40PM ET,ARI,16.11
,,,,,,,,,,,SP,Enyel De Los Santos (13090054),Enyel De Los Santos,13090054,P,7000,PHI@ARI 08/07/2019 09:40PM ET,PHI,2.79
,,,,,,,,,,,SP,Bo Takahashi (13090057),Bo Takahashi,13090057,P,7000,PHI@ARI 08/07/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Dietrich Enns (13090055),Dietrich Enns,13090055,P,7000,SD@SEA 08/07/2019 06:40PM ET,SD,0
,,,,,,,,,,,SP,Brad Keller (13090059),Brad Keller,13090059,P,6900,KC@BOS 08/07/2019 07:10PM ET,KC,13.28
,,,,,,,,,,,SP,Darwinzon Hernandez (13090060),Darwinzon Hernandez,13090060,P,6900,KC@BOS 08/07/2019 07:10PM ET,BOS,5.82
,,,,,,,,,,,SP,Jakob Junis (13090061),Jakob Junis,13090061,P,6900,KC@BOS 08/07/2019 07:10PM ET,KC,13.69
,,,,,,,,,,,SP,Dylan Bundy (13090062),Dylan Bundy,13090062,P,6900,NYY@BAL 08/07/2019 07:05PM ET,BAL,12.92
,,,,,,,,,,,SP,Drew Hutchison (13090063),Drew Hutchison,13090063,P,6900,NYY@BAL 08/07/2019 07:05PM ET,NYY,0
,,,,,,,,,,,SP,Chance Adams (13090064),Chance Adams,13090064,P,6900,NYY@BAL 08/07/2019 07:05PM ET,NYY,4.22
,,,,,,,,,,,SP,CC Sabathia (13090065),CC Sabathia,13090065,P,6900,NYY@BAL 08/07/2019 07:05PM ET,NYY,12.68
,,,,,,,,,,,SP,Mitch Keller (13090058),Mitch Keller,13090058,P,6900,MIL@PIT 08/07/2019 07:05PM ET,PIT,4.27
,,,,,,,,,,,SP,Zack Godley (13090067),Zack Godley,13090067,P,6900,PHI@ARI 08/07/2019 09:40PM ET,ARI,4.41
,,,,,,,,,,,SP,Matt Strahm (13090066),Matt Strahm,13090066,P,6900,SD@SEA 08/07/2019 06:40PM ET,SD,9.39
,,,,,,,,,,,SP,Corbin Burnes (13090070),Corbin Burnes,13090070,P,6800,MIL@PIT 08/07/2019 07:05PM ET,MIL,3.26
,,,,,,,,,,,SP,Eric Lauer (13090068),Eric Lauer,13090068,P,6800,SD@SEA 08/07/2019 06:40PM ET,SD,11.66
,,,,,,,,,,,SP,Robbie Erlin (13090069),Robbie Erlin,13090069,P,6800,SD@SEA 08/07/2019 06:40PM ET,SD,3.35
,,,,,,,,,,,SP,John Means (13089611),John Means,13089611,P,6700,NYY@BAL 08/07/2019 07:05PM ET,BAL,12.87
,,,,,,,,,,,SP,Felix Hernandez (13090071),Felix Hernandez,13090071,P,6700,SD@SEA 08/07/2019 06:40PM ET,SEA,8.22
,,,,,,,,,,,SP,Phil Hughes (13090072),Phil Hughes,13090072,P,6700,SD@SEA 08/07/2019 06:40PM ET,SD,0
,,,,,,,,,,,SP,Asher Wojciechowski (13090073),Asher Wojciechowski,13090073,P,6600,NYY@BAL 08/07/2019 07:05PM ET,BAL,14.78
,,,,,,,,,,,SP,Merrill Kelly (13090074),Merrill Kelly,13090074,P,6600,PHI@ARI 08/07/2019 09:40PM ET,ARI,12.94
,,,,,,,,,,,SP,Drew Smyly (13090075),Drew Smyly,13090075,P,6600,PHI@ARI 08/07/2019 09:40PM ET,PHI,8.19
