QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Hunter Henry,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Jakeem Grant,Larry Fitzgerald,DeAndre Hopkins,Darren Waller,Alvin Kamara,Los Angeles Rams
Drew Lock,Mike Davis,Aaron Jones,DeVante Parker,Robby Anderson,Jerry Jeudy,Noah Fant,Davante Adams,Miami Dolphins
Carson Wentz,Mike Davis,Aaron Jones,Keenan Allen,Michael Thomas,Jalen Reagor,Dallas Goedert,Miles Sanders,Green Bay Packers
Jared Goff,Mike Davis,Aaron Jones,D.J. Moore,Cooper Kupp,Robert Woods,Logan Thomas,James Conner,Philadelphia Eagles
Ben Roethlisberger,Mike Davis,Aaron Jones,Diontae Johnson,Terry McLaurin,Chase Claypool,Evan Engram,D.K. Metcalf,Los Angeles Chargers
Tom Brady,Mike Davis,Aaron Jones,Curtis Samuel,JuJu Smith-Schuster,Chris Godwin,Rob Gronkowski,Josh Jacobs,Pittsburgh Steelers
Deshaun Watson,Mike Davis,Aaron Jones,Brandin Cooks,DJ Chark,Will Fuller,T.J. Hockenson,D'Andre Swift,Cleveland Browns
Aaron Rodgers,Mike Davis,Antonio Gibson,Davante Adams,Darius Slayton,Jarvis Landry,Robert Tonyan,James Robinson,Detroit Lions
Joe Burrow,Aaron Jones,Alvin Kamara,A.J. Green,Tee Higgins,Christian Kirk,Austin Hooper,Nick Chubb,New York Giants
Justin Herbert,Aaron Jones,Leonard Fournette,Keenan Allen,Sterling Shepard,Mike Williams,Mike Gesicki,Jerick McKinnon,Tampa Bay Buccaneers
Russell Wilson,Aaron Jones,Melvin Gordon,Tyler Lockett,Brandon Aiyuk,Tyler Boyd,Jacob Hollister,Travis Fulgham,Denver Broncos
Matthew Stafford,Aaron Jones,Giovani Bernard,Davante Adams,Danny Amendola,Marvin Jones,Eric Ebron,Kareem Hunt,Houston Texans
Drew Brees,Aaron Jones,Jamaal Williams,Davante Adams,Tim Patrick,Emmanuel Sanders,Jared Cook,Darrell Henderson,Washington Football Team
Derek Carr,Aaron Jones,Chase Edmonds,Davante Adams,Henry Ruggs,Hunter Renfrow,Tyler Higbee,Mike Evans,Seattle Seahawks
Nick Mullens,Aaron Jones,J.D. McKissic,Davante Adams,Richie James,Antonio Brown,Jordan Reed,Ronald Jones,Carolina Panthers
Baker Mayfield,Aaron Jones,Wayne Gallman,Davante Adams,Cole Beasley,Rashard Higgins,Harrison Bryant,Joshua Kelley,Las Vegas Raiders
Jake Luton,Aaron Jones,Travis Homer,Keelan Cole,Davante Adams,Marquez Valdes-Scantling,Tyler Eifert,Kenyan Drake,Jacksonville Jaguars
Tua Tagovailoa,Aaron Jones,Salvon Ahmed,Josh Reynolds,Davante Adams,Mack Hollins,Durham Smythe,Devin Singletary,Buffalo Bills
Daniel Jones,Aaron Jones,Phillip Lindsay,Davante Adams,KJ Hamler,Golden Tate,Kaden Smith,Zack Moss,Arizona Cardinals
