CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Robert Griffin III,Marquise Brown,JuJu Smith-Schuster,Benny Snell,Chase Claypool,Luke Willson
Benny Snell,Robert Griffin III,Marquise Brown,JuJu Smith-Schuster,Diontae Johnson,Devin Duvernay
Marquise Brown,Robert Griffin III,JuJu Smith-Schuster,Benny Snell,Diontae Johnson,Luke Willson
Robert Griffin III,Marquise Brown,JuJu Smith-Schuster,Benny Snell,Chase Claypool,Miles Boykin
