PG,SG,SF,PF,C,G,F,UTIL
Ja Morant,Facundo Campazzo,Jae'Sean Tate,P.J. Tucker,Anthony Davis,Jamal Murray,Kyle Kuzma,John Konchar
Ja Morant,Facundo Campazzo,Talen Horton-Tucker,Anthony Davis,Gorgui Dieng,Will Barton,Danuel House Jr.,DeMarcus Cousins
Ja Morant,Dennis Schroder,Sterling Brown,Paul Millsap,Christian Wood,Jamal Murray,John Konchar,Montrezl Harrell
Ja Morant,Eric Gordon,John Konchar,P.J. Tucker,Nikola Jokic,Alex Caruso,Paul Millsap,Marc Gasol
Monte Morris,Facundo Campazzo,Jae'Sean Tate,Danuel House Jr.,Montrezl Harrell,Ja Morant,LeBron James,Tyus Jones
Ja Morant,Mason Jones,Will Barton,Xavier Tillman Sr.,Montrezl Harrell,Ben McLemore,Anthony Davis,Paul Millsap
Tyus Jones,Dennis Schroder,Sterling Brown,P.J. Tucker,Nikola Jokic,De'Anthony Melton,LeBron James,R.J. Hampton
Jamal Murray,Dillon Brooks,Will Barton,P.J. Tucker,DeMarcus Cousins,Dennis Schroder,Anthony Davis,De'Anthony Melton
Ja Morant,Mason Jones,Talen Horton-Tucker,Kyle Kuzma,Christian Wood,R.J. Hampton,Desmond Bane,Nikola Jokic
Ja Morant,Wesley Matthews,Jae'Sean Tate,Michael Porter Jr.,Christian Wood,De'Anthony Melton,Will Barton,Marc Gasol
Monte Morris,De'Anthony Melton,Sterling Brown,Kyle Anderson,Marc Gasol,LeBron James,Danuel House Jr.,Will Barton
Monte Morris,Kentavious Caldwell-Pope,Talen Horton-Tucker,P.J. Tucker,Christian Wood,Tyus Jones,John Konchar,Nikola Jokic
Alex Caruso,Ben McLemore,Jae'Sean Tate,Brandon Clarke,Nikola Jokic,Will Barton,Xavier Tillman Sr.,Marc Gasol
Dennis Schroder,Ben McLemore,Kyle Anderson,Anthony Davis,Gorgui Dieng,Facundo Campazzo,Jae'Sean Tate,Michael Porter Jr.
Ja Morant,Ben McLemore,Sterling Brown,Brandon Clarke,Marc Gasol,Jamal Murray,LeBron James,Bol Bol
Jamal Murray,Alex Caruso,Talen Horton-Tucker,Brandon Clarke,Gorgui Dieng,Facundo Campazzo,Jae'Sean Tate,Christian Wood
Jamal Murray,Eric Gordon,Kyle Kuzma,Xavier Tillman Sr.,P.J. Tucker,Tyus Jones,Paul Millsap,LeBron James
Eric Gordon,De'Anthony Melton,Will Barton,JaMychal Green,Christian Wood,Kentavious Caldwell-Pope,Desmond Bane,Montrezl Harrell
Jamal Murray,Dillon Brooks,Jae'Sean Tate,Brandon Clarke,Montrezl Harrell,Dennis Schroder,Danuel House Jr.,Nikola Jokic
Eric Gordon,De'Anthony Melton,Danuel House Jr.,Xavier Tillman Sr.,Nikola Jokic,Facundo Campazzo,Anthony Davis,Marc Gasol
