Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Isaiah Roby,4100.00,OKC,PF/C,DEN,25.26,49.10
Mike Muscala,3400.00,OKC,C,DEN,19.1,32.40
George Hill,4300.00,OKC,PG/SG,DEN,23.7,39.70
Nikola Jokic,11000.00,DEN,C,OKC,58.1,59.50
Rudy Gobert,7600.00,UTA,C,NOP,38.29,38.40
Will Barton,5700.00,DEN,SG/SF,OKC,28.1,41.80
Mike Conley,6800.00,UTA,PG,NOP,33.15,36.40
Zion Williamson,7900.00,NOP,PF/C,UTA,37.97,41.20
Donovan Mitchell,8200.00,UTA,PG/SG,NOP,39.2,44.10
Shai Gilgeous-Alexander,8700.00,OKC,PG,DEN,41.23,43.20
Darius Bazley,5600.00,OKC,SF/PF,DEN,26.54,34.50
JaMychal Green,4600.00,DEN,PF,OKC,21.62,22.00
Bojan Bogdanovic,5300.00,UTA,SF/PF,NOP,24.75,30.30
Jamal Murray,7300.00,DEN,PG,OKC,34.03,28.80
Monte Morris,4200.00,DEN,PG,OKC,19.46,17.80
Steven Adams,6100.00,NOP,C,UTA,27.83,16.30
Aleksej Pokusevski,3200.00,OKC,PF,DEN,14.52,16.70
Gary Harris,4400.00,DEN,SG/SF,OKC,19.78,18.80
Paul Millsap,4500.00,DEN,PF/C,OKC,19.67,15.70
Brandon Ingram,9100.00,NOP,SF/PF,UTA,38.94,23.00
Eric Bledsoe,6000.00,NOP,PG/SG,UTA,25.22,16.30
Derrick Favors,3800.00,UTA,C,NOP,15.92,4.20
Royce O'Neale,5200.00,UTA,SF/PF,NOP,21.72,13.60
Josh Hart,4900.00,NOP,SF,UTA,20.46,10.50
Hamidou Diallo,4700.00,OKC,SG/SF,DEN,19.5,9.40
J.J. Redick,4000.00,NOP,SG/SF,UTA,16.31,9.40
Theo Maledon,3500.00,OKC,PG/SG,DEN,14.06,9.40
Lu Dort,5100.00,OKC,SG/SF,DEN,20.39,14.60
Jordan Clarkson,6500.00,UTA,PG/SG,NOP,25.93,11.50
P.J. Dozier,3900.00,DEN,SG/SF,OKC,15.24,8.40
Joe Ingles,5000.00,UTA,SG/SF,NOP,19.23,7.30
Nickeil Alexander-Walker,5400.00,NOP,PG/SG,UTA,20.39,5.20
Lonzo Ball,6300.00,NOP,PG,UTA,23.68,21.10
Kenrich Williams,3600.00,OKC,SF,DEN,11.61,3.10
Facundo Campazzo,3000.00,DEN,PG/SG,OKC,8.6,3.10
Isaiah Hartenstein,3000.00,DEN,C,OKC,8.54,1.00
Jaxson Hayes,3300.00,NOP,C,UTA,8.82,1.00
Georges Niang,3700.00,UTA,SF/PF,NOP,8.54,1.00
