PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Patty Mills,Doug McDermott,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Danilo Gallinari
De'Aaron Fox,Trey Burke,Nicolas Batum,Rui Hachimura,Julius Randle,Kevin Huerter,Larry Nance Jr.,Isaiah Roby
D'Angelo Russell,Paul George,Danilo Gallinari,Julius Randle,Larry Nance Jr.,Matt Thomas,Jerome Robinson,Trey Burke
De'Aaron Fox,Evan Fournier,Danilo Gallinari,James Johnson,Larry Nance Jr.,Paul George,Rui Hachimura,Immanuel Quickley
D'Angelo Russell,Paul George,Cedi Osman,Davis Bertans,Julius Randle,Patty Mills,Isaiah Roby,Paul Watson
De'Aaron Fox,D'Angelo Russell,De'Andre Hunter,Nicolas Batum,Larry Nance Jr.,Patty Mills,Jerome Robinson,Immanuel Quickley
D'Angelo Russell,Jalen Brunson,Nicolas Batum,Julius Randle,Robin Lopez,Buddy Hield,Larry Nance Jr.,Dwight Howard
Jordan McLaughlin,Paul George,Buddy Hield,Rui Hachimura,Bismack Biyombo,Patty Mills,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Paul George,Kevin Knox,Davis Bertans,Bismack Biyombo,D'Angelo Russell,Larry Nance Jr.,Jalen Brunson
De'Aaron Fox,Matt Thomas,Cedi Osman,Rui Hachimura,Julius Randle,D'Angelo Russell,Luke Kennard,Jalen Brunson
De'Aaron Fox,Paul George,Garrison Mathews,Larry Nance Jr.,Myles Turner,Patty Mills,Isaiah Roby,Dwight Howard
Devonte' Graham,D'Angelo Russell,Isaac Bonga,James Johnson,Julius Randle,Luke Kennard,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Paul George,Cedi Osman,James Johnson,Dwight Howard,Rajon Rondo,Julius Randle,Jerome Robinson
Raul Neto,Paul George,De'Andre Hunter,Julius Randle,Larry Nance Jr.,Jalen Brunson,Doug McDermott,Isaiah Roby
De'Aaron Fox,Paul George,Josh Hart,Stanley Johnson,Willie Cauley-Stein,Dwayne Bacon,Julius Randle,Larry Nance Jr.
Terry Rozier,Paul George,Doug McDermott,James Johnson,Robin Lopez,D'Angelo Russell,Larry Nance Jr.,Patty Mills
De'Aaron Fox,D'Angelo Russell,Doug McDermott,James Johnson,Julius Randle,Raul Neto,Nicolas Batum,Taurean Prince
De'Aaron Fox,Jalen Brunson,Miles Bridges,Julius Randle,Myles Turner,Jerome Robinson,Marcus Morris,Larry Nance Jr.
De'Aaron Fox,Cam Reddish,Garrison Mathews,Julius Randle,Mike Muscala,D'Angelo Russell,Larry Nance Jr.,Ivica Zubac
De'Aaron Fox,Paul George,Danilo Gallinari,JaMychal Green,Robin Lopez,Jalen Brunson,Julius Randle,Taurean Prince
