PG,SG,SF,PF,C,G,F,UTIL
Trae Young,James Harden,Joe Ingles,Stanley Johnson,Hassan Whiteside,Shake Milton,Jeremy Lamb,Nikola Jokic
Dejounte Murray,Terence Davis,Ben Simmons,Gordon Hayward,Hassan Whiteside,Mike Conley,Aaron Gordon,Nikola Jokic
Trae Young,Malik Beasley,Timothe Luwawu-Cabarrot,Stanley Johnson,Rudy Gobert,Will Barton,Gordon Hayward,Nikola Vucevic
Cole Anthony,James Harden,Gordon Hayward,Stanley Johnson,Joel Embiid,Joe Ingles,Darius Bazley,Will Barton
Kyrie Irving,Hamidou Diallo,RJ Barrett,Stanley Johnson,Rudy Gobert,Gary Harris,DeMar DeRozan,Nikola Vucevic
Terence Davis,Tyrese Haliburton,Gordon Hayward,Aleksej Pokusevski,Rudy Gobert,James Harden,Lonnie Walker IV,Nikola Jokic
Kyrie Irving,Fred VanVleet,Joe Ingles,Bobby Portis,Hassan Whiteside,Trae Young,Ben Simmons,Darius Garland
Darius Garland,Theo Maledon,Joe Ingles,Pascal Siakam,Hassan Whiteside,James Harden,Domantas Sabonis,Aaron Gordon
Kyrie Irving,Seth Curry,DeMar DeRozan,Aleksej Pokusevski,Rudy Gobert,Trae Young,Pascal Siakam,Hassan Whiteside
Trae Young,Terence Davis,Bruce Brown,DeMar DeRozan,Rudy Gobert,Theo Maledon,Aaron Gordon,Nikola Jokic
Dejounte Murray,Terence Davis,Danny Green,Marvin Bagley III,Rudy Gobert,Trae Young,Hamidou Diallo,James Harden
Kyrie Irving,Fred VanVleet,Gordon Hayward,Darius Bazley,Mitchell Robinson,Collin Sexton,Joe Ingles,Jeremy Lamb
James Harden,Collin Sexton,Gordon Hayward,Pascal Siakam,Rudy Gobert,Will Barton,Hamidou Diallo,Hassan Whiteside
Dejounte Murray,Malik Beasley,RJ Barrett,Gordon Hayward,Rudy Gobert,Kyrie Irving,Darius Bazley,Terence Davis
Tyrese Haliburton,James Harden,Joe Ingles,Pascal Siakam,Joel Embiid,Hamidou Diallo,Lonnie Walker IV,Mitchell Robinson
Dejounte Murray,Tyrese Haliburton,Lu Dort,Stanley Johnson,Rudy Gobert,Trae Young,Domantas Sabonis,Darius Garland
Shai Gilgeous-Alexander,Bruce Brown,DeMar DeRozan,Pascal Siakam,Rudy Gobert,Will Barton,Jarred Vanderbilt,Ben Simmons
Darius Garland,Terence Davis,Timothe Luwawu-Cabarrot,Gordon Hayward,Rudy Gobert,Shai Gilgeous-Alexander,DeMar DeRozan,Joel Embiid
Dejounte Murray,Terence Davis,RJ Barrett,Domantas Sabonis,Cody Zeller,Russell Westbrook,Joe Ingles,Ben Simmons
Dejounte Murray,Seth Curry,Gordon Hayward,Stanley Johnson,Al Horford,Kyrie Irving,Zion Williamson,Jordan Clarkson
