PG,SG,SF,PF,C,G,F,UTIL
Dejounte Murray,Seth Curry,Gordon Hayward,Pascal Siakam,Hassan Whiteside,Kyrie Irving,Joe Ingles,Nikola Vucevic
Kyrie Irving,Theo Maledon,Gordon Hayward,Pascal Siakam,Hassan Whiteside,Trae Young,DeMar DeRozan,Joe Ingles
Kyrie Irving,Malik Beasley,DeMar DeRozan,Pascal Siakam,Cody Zeller,Trae Young,Joe Ingles,Hassan Whiteside
Dejounte Murray,Tyrese Haliburton,Gordon Hayward,Stanley Johnson,Rudy Gobert,Kyrie Irving,Will Barton,Ben Simmons
Kyrie Irving,Fred VanVleet,DeMar DeRozan,Zion Williamson,Cody Zeller,Joe Ingles,Ben Simmons,Hassan Whiteside
Dejounte Murray,Theo Maledon,Gordon Hayward,Stanley Johnson,Rudy Gobert,Kyrie Irving,Will Barton,Trae Young
Dejounte Murray,Theo Maledon,Gordon Hayward,Pascal Siakam,Hassan Whiteside,Kyrie Irving,Joe Ingles,Joel Embiid
Dejounte Murray,Fred VanVleet,Timothe Luwawu-Cabarrot,Jarred Vanderbilt,Cody Zeller,Trae Young,Ben Simmons,Rudy Gobert
Dejounte Murray,Austin Rivers,Ben Simmons,Pascal Siakam,Cody Zeller,Kyrie Irving,Jeremy Lamb,Rudy Gobert
Dejounte Murray,Theo Maledon,Ben Simmons,Stanley Johnson,Cody Zeller,James Harden,Aaron Gordon,Rudy Gobert
Kyrie Irving,Tyrese Haliburton,Will Barton,Stanley Johnson,Cody Zeller,Trae Young,Ben Simmons,Rudy Gobert
Kyrie Irving,Tyrese Haliburton,DeMar DeRozan,Aleksej Pokusevski,Cody Zeller,Ben Simmons,Pascal Siakam,Rudy Gobert
Kyrie Irving,Hamidou Diallo,DeMar DeRozan,Pascal Siakam,Cody Zeller,Ben Simmons,Gary Harris,Rudy Gobert
Trae Young,Fred VanVleet,Timothe Luwawu-Cabarrot,DeMar DeRozan,Cody Zeller,Tyrese Haliburton,Joe Ingles,Nikola Jokic
Terence Davis,Theo Maledon,Joe Ingles,DeMar DeRozan,Cody Zeller,James Harden,Ben Simmons,Nikola Jokic
Kyrie Irving,Terence Davis,Joe Ingles,DeMar DeRozan,Cody Zeller,Trae Young,Will Barton,Joel Embiid
Dejounte Murray,Joe Ingles,Ben Simmons,Stanley Johnson,Cody Zeller,Kyrie Irving,Marvin Bagley III,Trae Young
Kyrie Irving,Terence Davis,Joe Ingles,DeMar DeRozan,Cody Zeller,Tyrese Haliburton,Ben Simmons,Nikola Jokic
Kyrie Irving,Fred VanVleet,DeMar DeRozan,Tobias Harris,Cody Zeller,Tyrese Haliburton,Hamidou Diallo,Rudy Gobert
Theo Maledon,Malik Beasley,DeMar DeRozan,Pascal Siakam,Cody Zeller,James Harden,Will Barton,Rudy Gobert
