PG,SG,SF,PF,C,G,F,UTIL
Kyrie Irving,Joe Ingles,Gordon Hayward,Stanley Johnson,Hassan Whiteside,Ben Simmons,Jeremy Lamb,Nikola Jokic
Kyrie Irving,Terence Davis,Gordon Hayward,DeMar DeRozan,Rudy Gobert,Trae Young,Jeremy Lamb,Hassan Whiteside
Kyrie Irving,Fred VanVleet,Gordon Hayward,DeMar DeRozan,Hassan Whiteside,Shai Gilgeous-Alexander,Joe Ingles,Shake Milton
Dejounte Murray,Tyrese Haliburton,Gordon Hayward,Stanley Johnson,Rudy Gobert,Bruce Brown,Zion Williamson,Nikola Jokic
Dejounte Murray,Fred VanVleet,RJ Barrett,Gordon Hayward,Rudy Gobert,Kyrie Irving,Hamidou Diallo,Hassan Whiteside
Dejounte Murray,Will Barton,Timothe Luwawu-Cabarrot,Pascal Siakam,Rudy Gobert,Trae Young,Hamidou Diallo,Nikola Vucevic
Kyrie Irving,Will Barton,Gordon Hayward,Pascal Siakam,Rudy Gobert,Ben Simmons,Lu Dort,Hassan Whiteside
Fred VanVleet,Bruce Brown,Gordon Hayward,DeMar DeRozan,Rudy Gobert,Jeremy Lamb,Hamidou Diallo,Joel Embiid
Dejounte Murray,Terence Davis,Gordon Hayward,Bobby Portis,Rudy Gobert,Kyrie Irving,Gary Harris,Joel Embiid
Fred VanVleet,Theo Maledon,Gordon Hayward,DeMar DeRozan,Rudy Gobert,James Harden,Bobby Portis,Hassan Whiteside
Dejounte Murray,Malik Beasley,RJ Barrett,Stanley Johnson,Cody Zeller,Kyrie Irving,Aaron Gordon,Rudy Gobert
James Harden,Seth Curry,Gordon Hayward,Stanley Johnson,Rudy Gobert,Will Barton,DeMar DeRozan,Marvin Bagley III
Kyrie Irving,Tyrese Haliburton,Gordon Hayward,Stanley Johnson,Rudy Gobert,Jeremy Lamb,Lu Dort,Nikola Vucevic
Kyrie Irving,Tyrese Haliburton,Joe Ingles,Stanley Johnson,Cody Zeller,Luka Doncic,Aleksej Pokusevski,Nikola Jokic
Dejounte Murray,James Harden,Darius Bazley,Stanley Johnson,Cody Zeller,Shake Milton,Domantas Sabonis,Rudy Gobert
Shai Gilgeous-Alexander,Malik Beasley,Timothe Luwawu-Cabarrot,Pascal Siakam,Cody Zeller,Ben Simmons,Marvin Bagley III,Rudy Gobert
Theo Maledon,James Harden,Gordon Hayward,Pascal Siakam,Hassan Whiteside,Joe Ingles,Jeremy Lamb,Joel Embiid
Kyrie Irving,Fred VanVleet,Joe Ingles,Gordon Hayward,Joel Embiid,Will Barton,Jeremy Lamb,Devin Vassell
Dejounte Murray,Seth Curry,Gordon Hayward,Pascal Siakam,Hassan Whiteside,Kyrie Irving,Joe Ingles,Nikola Vucevic
Kyrie Irving,Tyrese Haliburton,Gordon Hayward,Pascal Siakam,Nikola Jokic,Joe Ingles,Hamidou Diallo,Devin Vassell
