Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Wade LeBlanc,5600.00,SEA,SP,SDP,13.77,2.46
Jake Arrieta,6200.00,PHI,SP,ARI,12.8,2.06
Clayton Kershaw,11800.00,LAD,SP,STL,23.53,1.99
Anibal Sanchez,8000.00,WAS,SP,SFG,15.35,1.92
Dinelson Lamet,8500.00,SDP,SP,SEA,16.2,1.91
Miles Mikolas,7000.00,STL,SP,LAD,12.68,1.81
Conner Menez,7200.00,SFG,SP,WAS,12.87,1.79
Mike Leake,8400.00,ARI,SP,PHI,12.53,1.49
Matt Wisler,4200.00,SEA,SP,SDP,5.57,1.33
