Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Scooter Gennett,3100.00,SFG,2B,WAS,7.19,2.32,6,1
David Peralta,4100.00,ARI,OF,PHI,9.22,2.25,4,1
Joc Pederson,4000.00,LAD,1B/OF,STL,8.91,2.23,1,1
Bryce Harper,4400.00,PHI,OF,ARI,9.83,2.23,3,1
Brandon Belt,3600.00,SFG,1B,WAS,7.87,2.19,1,1
Wil Myers,3800.00,SDP,OF,SEA,8.12,2.14,2,1
Andrew Knizner,2900.00,STL,C,LAD,5.97,2.06,8,1
Luis Urias,2700.00,SDP,2B,SEA,5.54,2.05,8,1
Corey Seager,4000.00,LAD,SS,STL,8.18,2.05,5,1
Jarrod Dyson,4500.00,ARI,OF,PHI,9.13,2.03,1,1
Rhys Hoskins,4500.00,PHI,1B,ARI,9.12,2.03,2,1
Cesar Hernandez,3800.00,PHI,2B,ARI,7.7,2.03,6,1
Jose Martinez,3300.00,STL,OF,LAD,6.69,2.03,2,1
Omar Narvaez,3800.00,SEA,C,SDP,7.71,2.03,5,1
Mallex Smith,3700.00,SEA,OF,SDP,7.48,2.02,1,1
Max Muncy,4700.00,LAD,1B/2B,STL,9.4,2,2,1
Jean Segura,4100.00,PHI,SS,ARI,8.22,2,5,1
Manny Machado,4400.00,SDP,3B/SS,SEA,8.7,1.98,3,1
Adam Haseley,3600.00,PHI,OF,ARI,7.09,1.97,8,1
Eduardo Escobar,4900.00,ARI,3B,PHI,9.55,1.95,3,1
Josh Naylor,3400.00,SDP,OF,SEA,6.61,1.94,6,1
Mike Yastrzemski,4300.00,SFG,OF,WAS,8.18,1.9,2,1
Jake Lamb,4100.00,ARI,1B/3B,PHI,7.74,1.89,6,1
Brian Dozier,3700.00,WAS,2B,SFG,6.99,1.89,6,1
Matt Carpenter,3400.00,STL,3B,LAD,6.43,1.89,6,1
Evan Longoria,4300.00,SFG,3B,WAS,8.12,1.89,5,1
Kristopher Negron,3300.00,LAD,2B/OF,STL,6.19,1.88,8,1
Paul Goldschmidt,4000.00,STL,1B,LAD,7.52,1.88,3,1
Trea Turner,4700.00,WAS,SS,SFG,8.78,1.87,1,1
J.T. Realmuto,4500.00,PHI,C,ARI,8.39,1.86,4,1
Daniel Vogelbach,4200.00,SEA,1B,SDP,7.72,1.84,4,1
Keon Broxton,3000.00,SEA,OF,SDP,5.53,1.84,9,1
Fernando Tatis,5100.00,SDP,SS,SEA,9.38,1.84,1,1
Manuel Margot,3700.00,SDP,OF,SEA,6.82,1.84,7,1
Dexter Fowler,3400.00,STL,OF,LAD,6.2,1.82,1,1
Cody Bellinger,5500.00,LAD,OF,STL,10.01,1.82,4,1
Brandon Crawford,3200.00,SFG,SS,WAS,5.83,1.82,8,1
Anthony Rendon,5000.00,WAS,3B,SFG,9.04,1.81,3,1
Dylan Moore,3200.00,SEA,OF/SS,SDP,5.74,1.79,8,1
Justin Turner,4400.00,LAD,3B,STL,7.82,1.78,3,1
Kurt Suzuki,3700.00,WAS,C,SFG,6.56,1.77,5,1
Victor Robles,3700.00,WAS,OF,SFG,6.47,1.75,8,1
Hunter Renfroe,4400.00,SDP,OF,SEA,7.69,1.75,5,1
Christian Walker,4400.00,ARI,1B,PHI,7.63,1.73,5,1
J.P. Crawford,3700.00,SEA,SS,SDP,6.33,1.71,2,1
Corey Dickerson,4900.00,PHI,OF,ARI,8.32,1.7,1,1
Austin Hedges,3000.00,SDP,C,SEA,5.1,1.7,9,1
Nick Ahmed,4000.00,ARI,SS,PHI,6.72,1.68,7,1
Domingo Santana,4000.00,SEA,OF,SDP,6.66,1.67,3,1
Matt Adams,4300.00,WAS,1B,SFG,7.16,1.67,7,1
Stephen Vogt,4200.00,SFG,C,WAS,6.94,1.65,4,1
Juan Soto,4800.00,WAS,OF,SFG,7.68,1.6,4,1
Kevin Pillar,3600.00,SFG,OF,WAS,5.77,1.6,7,1
Eric Hosmer,4200.00,SDP,1B,SEA,6.74,1.6,4,1
Alex Avila,4000.00,ARI,C,PHI,6.37,1.59,8,1
Austin Nola,3700.00,SEA,1B/2B,SDP,5.78,1.56,7,1
Kyle Seager,3700.00,SEA,3B,SDP,5.79,1.56,6,1
Matthew Beaty,4000.00,LAD,1B/OF,STL,6.21,1.55,7,1
Tommy Edman,3700.00,STL,2B/3B,LAD,5.7,1.54,7,1
Gerardo Parra,3800.00,WAS,1B/OF,SFG,5.85,1.54,2,1
Buster Posey,3500.00,SFG,C,WAS,5.33,1.52,3,1
Scott Kingery,4400.00,PHI,3B/OF,ARI,6.65,1.51,7,1
Marcell Ozuna,4100.00,STL,OF,LAD,6.11,1.49,4,1
Paul DeJong,3900.00,STL,SS,LAD,5.79,1.48,5,1
Ketel Marte,5300.00,ARI,2B/OF,PHI,7.84,1.48,2,1
Will Smith,4100.00,LAD,C,STL,5.4,1.32,6,1
