P,P,C,1B,2B,3B,SS,OF,OF,OF
Vince Velasquez,Mike Soroka,Sandy Leon,Sam Travis,Cavan Biggio,Dawel Lugo,Xander Bogaerts,Victor Reyes,Mookie Betts,J.D. Martinez
Vince Velasquez,Mike Soroka,Kevan Smith,Sam Travis,Luis Rengifo,Vladimir Guerrero Jr.,Humberto Arteaga,Justin Upton,Shohei Ohtani,Mike Trout
Vince Velasquez,Mike Soroka,Christian Vazquez,Ryan O'Hearn,Whit Merrifield,Hunter Dozier,Humberto Arteaga,Mookie Betts,Bryce Harper,Alex Gordon
Vince Velasquez,Mike Soroka,Jake Rogers,Miguel Cabrera,Harold Castro,Dawel Lugo,Niko Goodrum,Shohei Ohtani,Bryce Harper,Aaron Judge
Vince Velasquez,Rick Porcello,Christian Vazquez,Michael Chavis,Brock Holt,Vladimir Guerrero Jr.,Didi Gregorius,Mookie Betts,Aaron Judge,J.D. Martinez
Rick Porcello,Mike Soroka,Buster Posey,Brandon Belt,Scooter Gennett,Evan Longoria,Xander Bogaerts,Victor Reyes,Bryce Harper,Mike Yastrzemski
Mike Soroka,Chad Green,Gary Sanchez,Sam Travis,DJ LeMahieu,Gio Urshela,Didi Gregorius,Victor Reyes,Justin Upton,Aaron Judge
Mike Soroka,Spencer Turnbull,Christian Vazquez,Matt Thaiss,Scooter Gennett,Dawel Lugo,David Fletcher,Justin Upton,Shohei Ohtani,Kole Calhoun
Vince Velasquez,Mike Soroka,Danny Jansen,Justin Smoak,Cavan Biggio,Vladimir Guerrero Jr.,Didi Gregorius,Bryce Harper,Ender Inciarte,Randal Grichuk
Rick Porcello,Mike Soroka,Gary Sanchez,Mike Ford,Cavan Biggio,Dawel Lugo,Humberto Arteaga,Aaron Judge,Brett Gardner,Cameron Maybin
Vince Velasquez,Mike Soroka,Brian McCann,Freddie Freeman,Ozzie Albies,Dawel Lugo,Humberto Arteaga,Ender Inciarte,Ronald Acuna Jr.,Bubba Starling
Rick Porcello,Mike Soroka,Christian Vazquez,Brandon Dixon,Ozzie Albies,Dawel Lugo,Niko Goodrum,Victor Reyes,Alex Gordon,Travis Demeritte
Rick Porcello,Mike Soroka,J.T. Realmuto,Sam Travis,Cesar Hernandez,Dawel Lugo,Jean Segura,Bryce Harper,Ronald Acuna Jr.,Corey Dickerson
