Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,1640014399,nickps (18/20),0,154.8,C Mika Zibanejad C Sean Monahan W Artemi Panarin UTIL Matthew Tkachuk W Chris Kreider W Elias Lindholm D Jacob Trouba D Kevin Connauton G Petr Mrazek,,Evgeni Malkin,C,8.41%,14.5
26,1640041327,Emac (15/20),0,154.1,C Nathan MacKinnon C Mark Scheifele W Blake Wheeler W Artemi Panarin W Nikolaj Ehlers UTIL Nick Ritchie D Justin Schultz D Ville Heinola G Pekka Rinne,,Johnny Gaudreau,UTIL,8.10%,16.5
27,1639988807,jsilverman36,0,153.5,C Mika Zibanejad C Roope Hintz UTIL Mikko Rantanen W Phil Kessel W Kaapo Kakko W Teuvo Teravainen D Oliver Ekman-Larsson D Brett Pesce G Petr Mrazek,,Devan Dubnyk,G,7.68%,4.9
28,1640053511,greeson (3/3),0,153.4,C Nathan MacKinnon C Brett Howden W Jeff Skinner W Nikolaj Ehlers W Jamie Benn UTIL Rasmus Dahlin D Brett Pesce D Mikhail Sergachev G John Gibson,,Sean Monahan,C,7.57%,24
29,1640041322,Emac (10/20),0,153.3,C Sean Monahan C Erik Haula W Johnny Gaudreau W Blake Wheeler W Elias Lindholm UTIL Mark Giordano D Rasmus Ristolainen D Justin Schultz G Devan Dubnyk,,Tyler Johnson,C,7.47%,3
30,1640007910,BourbonRat,0,151.6,C Mark Scheifele C Mika Zibanejad W Blake Wheeler W Artemi Panarin W Pavel Buchnevich UTIL Victor Olofsson D Josh Morrissey D Travis Hamonic G Pekka Rinne,,Sam Reinhart,W,7.47%,9.3
31,1640046215,andyh6020 (1/3),0,151,C Mika Zibanejad C Nazem Kadri W Rickard Rakell W Matthew Tkachuk W Chris Kreider D Jacob Trouba D Matt Dumba UTIL Colin Miller G Henrik Lundqvist,,Elias Lindholm,W,7.36%,5
32,1639999655,Austin-college01,0,150.7,C Mika Zibanejad C Jordan Staal W Steven Stamkos W Brandon Tanev W Vladislav Namestnikov D Kris Letang UTIL Jacob Trouba D Ryan McDonagh G Andrei Vasilevskiy,,Ben Bishop,G,7.26%,5.6
32,1640041510,3sbrowns (1/10),0,150.7,C Mika Zibanejad UTIL Anthony Cirelli C Roope Hintz W Nikita Kucherov W Artemi Panarin W Victor Olofsson D Ryan Ellis D Josh Morrissey G Philipp Grubauer,,Blake Wheeler,W,7.15%,34.8
32,1640041604,3sbrowns (2/10),0,150.7,C Mika Zibanejad UTIL Anthony Cirelli C Roope Hintz W Nikita Kucherov W Artemi Panarin W Victor Olofsson D Ryan Ellis D Josh Morrissey G Philipp Grubauer,,Mark Scheifele,C,6.83%,14.5
32,1640041638,3sbrowns (3/10),0,150.7,C Mika Zibanejad UTIL Anthony Cirelli C Roope Hintz W Nikita Kucherov W Artemi Panarin W Victor Olofsson D Ryan Ellis D Josh Morrissey G Philipp Grubauer,,Rasmus Dahlin,D,6.83%,13
32,1640050299,3sbrowns (5/10),0,150.7,C Mika Zibanejad UTIL Anthony Cirelli C Roope Hintz W Nikita Kucherov W Artemi Panarin W Victor Olofsson D Ryan Ellis D Josh Morrissey G Philipp Grubauer,,Dougie Hamilton,D,6.73%,28.9
37,1639988689,Lamoosh2332 (11/20),0,150.3,C Evgeni Malkin C Mika Zibanejad UTIL Chris Kreider W Pavel Buchnevich W Nick Suzuki W Joel Armia D Kris Letang D Jacob Trouba G Matt Murray,,John Gibson,G,6.62%,24.9
38,1640013960,ndesmarais15 (16/20),0,150.2,C Jack Eichel C Sean Monahan W Jeff Skinner W Blake Wheeler W Victor Olofsson UTIL Sam Bennett D Mark Giordano D Rasmus Dahlin G Carter Hutton,,Max Domi,C,6.62%,4.5
39,1640058362,jpduffy,0,150.1,C Nathan MacKinnon C Mika Zibanejad W Steven Stamkos W Mikko Rantanen W Alex Killorn D Mikhail Sergachev D Neal Pionk UTIL Ville Heinola G Ben Bishop,,Carter Hutton,G,6.52%,22.1
40,1640002611,GADKDAWG (2/4),0,149.3,C Nathan MacKinnon UTIL Sean Monahan C Roope Hintz W Gabriel Landeskog W Mikko Rantanen W Victor Olofsson D Erik Cernak D Brady Skjei G John Gibson,,Gabriel Landeskog,UTIL,6.41%,7.8
41,1640040513,AcesWayUp (1/3),0,149.2,C Mika Zibanejad C Mikko Koivu W Artemi Panarin W Kaapo Kakko W Chris Kreider D Jacob Trouba UTIL Rasmus Dahlin D Ryan McDonagh G Matt Murray,,Matt Duchene,C,6.31%,19.5
42,1640041874,Joey.barnes85 (1/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Andrei Vasilevskiy,G,6.31%,26.5
42,1640041905,Joey.barnes85 (2/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Shea Weber,D,6.31%,0
42,1640042131,Joey.barnes85 (3/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Josh Morrissey,D,5.89%,8
42,1640042196,Joey.barnes85 (4/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Sebastian Aho,C,5.89%,6
42,1640050776,Joey.barnes85 (5/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Patrice Bergeron,C,5.89%,4.3
42,1640057479,Joey.barnes85 (6/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Roope Hintz,C,5.68%,13
42,1640057916,Joey.barnes85 (7/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Ryan Strome,C,5.57%,1.3
42,1640066028,Joey.barnes85 (8/8),0,148.9,C Mika Zibanejad C Carl Soderberg W Nikita Kucherov W Artemi Panarin W Kaapo Kakko UTIL Jason Zucker D Hampus Lindholm D Mattias Ekholm G Henrik Lundqvist,,Tyson Jost,W,5.47%,6
50,1639941332,Larrioto (8/20),0,148.5,C Mika Zibanejad C Roope Hintz UTIL Alexander Radulov W Artemi Panarin W Pavel Buchnevich W Jason Dickinson D Kris Letang D Jacob Trouba G Carey Price,,Nino Niederreiter,W,5.47%,0
51,1640020332,bosscrab (1/2),0,147.4,C Mika Zibanejad C Sebastian Aho UTIL Mikko Rantanen W Artemi Panarin W Nino Niederreiter W Brock McGinn D Jacob Trouba D Jake Gardiner G Petr Mrazek,,Ryan Getzlaf,C,5.47%,3
52,1640013476,TeamTeal08 (2/3),0,146.6,C Jack Eichel C Mika Zibanejad W Artemi Panarin W Sam Reinhart W Victor Olofsson D Shea Weber UTIL Jacob Trouba D Rasmus Dahlin G Carter Hutton,,Nick Bjugstad,C,5.47%,0
52,1640023503,bhill2307,0,146.6,C Nathan MacKinnon C Roope Hintz W Mikko Rantanen W Teuvo Teravainen W Victor Olofsson UTIL Mark Giordano D John Klingberg D Cale Makar G Andrei Vasilevskiy,,Tyler Seguin,C,5.36%,3
54,1639974217,klink (10/20),0,146.2,C Nathan MacKinnon C Mark Scheifele W Mikko Rantanen W Blake Wheeler W Nikolaj Ehlers UTIL Brock McGinn D Cale Makar D Henri Jokiharju G Devan Dubnyk,,Philipp Grubauer,G,5.36%,14.4
55,1639951805,StealthFactor (5/20),0,145.8,C Mika Zibanejad C Aleksander Barkov W Artemi Panarin W Jonathan Huberdeau UTIL Evgenii Dadonov W Pavel Buchnevich D Jacob Trouba D Samuel Girard G Henrik Lundqvist,,Matt Murray,G,5.26%,19.1
56,1639979564,Lamoosh2332 (5/20),0,145.5,C Nathan MacKinnon C Erik Haula W Pavel Buchnevich W Teuvo Teravainen W Ryan Dzingel D Kris Letang D Dougie Hamilton UTIL Samuel Girard G Matt Murray,,John Klingberg,D,5.15%,4.5
57,1639941329,Larrioto (5/20),0,144.1,C Nathan MacKinnon C Erik Haula UTIL Gabriel Landeskog W Mikko Rantanen W Ryan Dzingel W Jordan Martinook D Dougie Hamilton D Dante Fabbro G John Gibson,,Travis Hamonic,D,5.15%,9.7
58,1640055388,msw6880 (20/20),0,143.9,C Matt Duchene C Nick Bonino W Johnny Gaudreau W Filip Forsberg W Elias Lindholm UTIL Ondrej Palat D Victor Hedman D Mark Giordano G Petr Mrazek,,Victor Hedman,D,5.15%,9.1
59,1639981620,GADKDAWG (1/4),0,143.8,C Mark Scheifele UTIL Matt Duchene C Anthony Cirelli W Blake Wheeler W Nikolaj Ehlers W Victor Olofsson D Mark Giordano D Mike Matheson G Connor Hellebuyck,,Chris Kreider,W,5.05%,9.5
60,1639996757,PeteyNoNstoP,0,142.7,C Evgeni Malkin C Sean Monahan W Blake Wheeler W Jonathan Huberdeau W Nino Niederreiter D Jacob Trouba D Jaccob Slavin UTIL Jake McCabe G Matt Murray,,Tuukka Rask,G,5.05%,22.1
61,1639999493,ffball (2/6),0,142.2,C Jack Eichel C Mika Zibanejad W Artemi Panarin UTIL Evgenii Dadonov W Artturi Lehkonen W Nick Suzuki D Kris Letang D Josh Morrissey G John Gibson,,Clayton Keller,W,4.94%,6.5
61,1640041316,Emac (4/20),0,142.2,C Evgeni Malkin C Sean Monahan UTIL Johnny Gaudreau W Artemi Panarin W Nikolaj Ehlers W Elias Lindholm D Neal Pionk D Ville Heinola G Carter Hutton,,Mattias Ekholm,D,4.94%,8
63,1639974214,klink (7/20),0,142.1,C Nathan MacKinnon C Mika Zibanejad W Mikko Rantanen W Artemi Panarin W Pavel Buchnevich UTIL Victor Olofsson D Cale Makar D Henri Jokiharju G Philipp Grubauer,,Carey Price,G,4.84%,22.5
64,1640043129,Wanna_Square_Up1567 (5/20),0,142,C Mika Zibanejad C Sean Monahan UTIL Johnny Gaudreau W Chris Kreider W Elias Lindholm W Pavel Buchnevich D Jacob Trouba D Joel Edmundson G Ben Bishop,,Jordan Staal,C,4.84%,3
65,1639980556,m4ch1n3m4n (6/20),0,140.8,C Nathan MacKinnon C Jordan Staal W Nikita Kucherov W Teuvo Teravainen W Ondrej Palat UTIL Roman Josi D Mark Giordano D Joel Edmundson G Henrik Lundqvist,,Kaapo Kakko,UTIL,4.73%,4.5
66,1639941327,Larrioto (3/20),0,140.6,C Mark Scheifele C Nazem Kadri W Blake Wheeler W Nikolaj Ehlers UTIL Andre Burakovsky W Tyson Jost D Roman Josi D Josh Morrissey G Carey Price,,Jeff Skinner,UTIL,4.73%,11.8
67,1640015253,itechsxpress (19/20),0,140.2,C Erik Haula C Casey Mittelstadt W Patrik Laine W Filip Forsberg UTIL Kyle Connor W Colton Sissons D Roman Josi D Ryan Ellis G Pekka Rinne,,David Pastrnak,UTIL,4.63%,1.3
68,1639984882,coolhandthomas (3/4),0,139.9,C Mika Zibanejad C Nick Bonino W Nikita Kucherov W Steven Stamkos UTIL Johnny Gaudreau W Artemi Panarin D Joel Edmundson D Yannick Weber G Henrik Lundqvist,,Zach Parise,W,4.52%,0
69,1640060674,toneloc160 (5/10),0,139.7,UTIL Mika Zibanejad C Vincent Trocheck C Ryan Strome W Nikita Kucherov W Artemi Panarin W Brett Connolly D Keith Yandle D Aaron Ekblad G Pekka Rinne,,Nazem Kadri,C,4.52%,4.5
70,1640001130,itechsxpress (14/20),0,139.5,C Andrew Copp C Mark Letestu W Blake Wheeler W Nikolaj Ehlers UTIL Jamie Benn W Matthew Tkachuk D Mark Giordano D Dougie Hamilton G Connor Hellebuyck,,Dante Fabbro,D,4.52%,0
71,1640057592,stacher79 (1/2),0,139.3,C Mika Zibanejad C Max Domi W Nikita Kucherov UTIL Artemi Panarin W Artturi Lehkonen W Nick Suzuki D Mark Giordano D Jeff Petry G Darcy Kuemper,,Torey Krug,D,4.52%,1.3
72,1640002799,switchfeet21 (1/2),0,138.7,C Nathan MacKinnon C Erik Haula W Artemi Panarin W Chris Kreider W Nino Niederreiter D Jacob Trouba D Rasmus Ristolainen UTIL Justin Schultz G Matt Murray,,Matthew Tkachuk,W,4.52%,9.5
72,1640037624,JLWins,0,138.7,C Nathan MacKinnon C Erik Haula W Artemi Panarin W Chris Kreider W Nino Niederreiter D Jacob Trouba D Rasmus Ristolainen UTIL Justin Schultz G Matt Murray,,Jared McCann,W,4.52%,3
74,1640046217,Jeff2426,0,138.3,C Tyler Johnson C Mika Zibanejad UTIL J.T. Compher W Nikita Kucherov W Artemi Panarin W Victor Olofsson D Jakob Chychrun D Brady Skjei G Andrei Vasilevskiy,,Phil Kessel,UTIL,4.42%,9.3
75,1640015545,joejar420,0,138.1,C Sidney Crosby C Max Domi W Kyle Connor W Phil Kessel UTIL Teuvo Teravainen W Tomas Tatar D Jacob Trouba D Mattias Ekholm G Tuukka Rask,,Matt Dumba,D,4.31%,15.6
