QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
30955412,30955515,30955507,30955739,30955783,30955787,30956157,30956159,30956386,,1. Locate the player you want to select in the list below ,,,,,,,,
30955412,30955501,30955515,30955739,30955749,30955849,30956157,30956151,30956397,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
30955409,30955515,30955509,30955739,30955747,30955845,30956157,30956159,30956397,,3. Paste the ID into the roster position desired ,,,,,,,,
30955409,30955515,30955509,30955749,30955783,30955787,30956149,30956157,30956394,,4. You must include an ID for each player, you cannot use just the player's name ,,,,,,,
30955407,30955475,30955515,30955739,30955783,30955825,30956157,30956185,30956397,,5. You can create up to 500 lineups per file ,,,,,,,,
30955412,30955475,30955515,30955749,30955783,30955849,30956159,30956161,30956383,,,,,,,,,,
30955407,30955515,30955517,30955739,30955749,30955821,30956157,30956159,30956394,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
30955409,30955497,30955515,30955747,30955783,30955787,30956159,30955825,30956383,,WR,Tyreek Hill (30955739),Tyreek Hill,30955739,WR/FLEX,9300,LV@MIA 11/19/2023 01:00PM ET,MIA,26.7
30955412,30955497,30955501,30955749,30955783,30955781,30956157,30956159,30956394,,RB,Christian McCaffrey (30955475),Christian McCaffrey,30955475,RB/FLEX,9300,TB@SF 11/19/2023 04:05PM ET,SF,25.73
30955409,30955515,30955507,30955747,30955749,30955825,30956157,30956161,30956386,,WR,CeeDee Lamb (30955741),CeeDee Lamb,30955741,WR/FLEX,9200,DAL@CAR 11/19/2023 01:00PM ET,DAL,23.8
30955407,30955501,30955515,30955749,30955783,30955787,30956159,30955793,30956397,,WR,Stefon Diggs (30955743),Stefon Diggs,30955743,WR/FLEX,9100,NYJ@BUF 11/19/2023 04:25PM ET,BUF,21.78
30955412,30955497,30955515,30955739,30955783,30955793,30956151,30956161,30956394,,WR,Keenan Allen (30955745),Keenan Allen,30955745,WR/FLEX,9000,LAC@GB 11/19/2023 01:00PM ET,LAC,23.78
30955409,30955475,30955515,30955739,30955787,30955849,30956159,30955823,30956394,,WR,Amon-Ra St. Brown (30955747),Amon-Ra St. Brown,30955747,WR/FLEX,8800,CHI@DET 11/19/2023 01:00PM ET,DET,23.68
30955414,30955497,30955515,30955739,30955749,30955809,30956159,30956161,30956397,,RB,Austin Ekeler (30955477),Austin Ekeler,30955477,RB/FLEX,8600,LAC@GB 11/19/2023 01:00PM ET,LAC,18.67
30955409,30955479,30955515,30955739,30955783,30955823,30956157,30956161,30956383,,QB,Josh Allen (30955403),Josh Allen,30955403,QB,8200,NYJ@BUF 11/19/2023 04:25PM ET,BUF,24.76
30955407,30955515,30955509,30955739,30955783,30955849,30956151,30956159,30956377,,WR,Cooper Kupp (30955749),Cooper Kupp,30955749,WR/FLEX,8100,SEA@LAR 11/19/2023 04:25PM ET,LAR,14.68
30955412,30955475,30955509,30955739,30955825,30955821,30956157,30956159,30956383,,WR,Davante Adams (30955751),Davante Adams,30955751,WR/FLEX,7900,LV@MIA 11/19/2023 01:00PM ET,LV,14.39
30955412,30955515,30955509,30955747,30955783,30955781,30956157,30956161,30956381,,QB,Tua Tagovailoa (30955404),Tua Tagovailoa,30955404,QB,7700,LV@MIA 11/19/2023 01:00PM ET,MIA,20.74
30955407,30955515,30955507,30955749,30955783,30955799,30956157,30956151,30956383,,QB,Justin Herbert (30955405),Justin Herbert,30955405,QB,7600,LAC@GB 11/19/2023 01:00PM ET,LAC,22.15
30955411,30955515,30955507,30955739,30955749,30955825,30956159,30955831,30956383,,WR,Jaylen Waddle (30955753),Jaylen Waddle,30955753,WR/FLEX,7600,LV@MIA 11/19/2023 01:00PM ET,MIA,14.28
30955412,30955479,30955515,30955749,30955783,30955793,30956157,30955825,30956377,,WR,Adam Thielen (30955755),Adam Thielen,30955755,WR/FLEX,7500,DAL@CAR 11/19/2023 01:00PM ET,CAR,18.76
