Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Tyreek Hill,9300,MIA,WR,LV,24.6,
Christian McCaffrey,9300,SF,RB,TB,22.8,
CeeDee Lamb,9200,DAL,WR,CAR,21.6,
Amon-Ra St. Brown,8800,DET,WR,CHI,21.4,
Cooper Kupp,8100,LAR,WR,SEA,20.9,
Tua Tagovailoa,7700,MIA,QB,LV,20.8,
Jared Goff,6600,DET,QB,CHI,20.7,
Josh Allen,8200,BUF,QB,NYJ,20.5,
C.J. Stroud,7000,HOU,QB,ARI,20.4,
Keenan Allen,9000,LAC,WR,GB,20.4,
Dak Prescott,7300,DAL,QB,CAR,19.9,
Justin Fields,6900,CHI,QB,DET,19.8,
Austin Ekeler,8600,LAC,RB,GB,19.7,
Justin Herbert,7600,LAC,QB,GB,19.4,
Brock Purdy,5800,SF,QB,TB,19.4,
Kyler Murray,6100,ARI,QB,HOU,19.4,
Sam Howell,6300,WAS,QB,NYG,19.3,
Stefon Diggs,9100,BUF,WR,NYJ,18.9,
Trevor Lawrence,6000,JAX,QB,TEN,17.8,
Geno Smith,5900,SEA,QB,LAR,17.7,
Matthew Stafford,6400,LAR,QB,SEA,17.6,
Travis Etienne Jr.,7200,JAX,RB,TEN,16.7,
Jaylen Waddle,7600,MIA,WR,LV,16.4,
Jordan Love,5600,GB,QB,LAC,16.4,
Puka Nacua,7100,LAR,WR,SEA,16.2,
Brandon Aiyuk,7200,SF,WR,TB,16.1,
Saquon Barkley,7100,NYG,RB,WAS,16.0,
Tank Dell,5900,HOU,WR,ARI,15.8,
Josh Jacobs,6800,LV,RB,MIA,15.7,
Mike Evans,7400,TB,WR,SF,15.7,
Breece Hall,6400,NYJ,RB,BUF,15.6,
Davante Adams,7900,LV,WR,MIA,15.4,
Jahmyr Gibbs,7000,DET,RB,CHI,15.2,
Aaron Jones,6200,GB,RB,LAC,15.2,
Devin Singletary,5300,HOU,RB,ARI,15.1,
Adam Thielen,7500,CAR,WR,DAL,15.1,
