Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1638403210,jimkev85,0,137.9,C Auston Matthews UTIL Ryan O'Reilly C Cody Glass W Max Pacioretty W Andreas Johnsson W Alex Chiasson D Morgan Rielly D Alexander Edler G Frederik Andersen,,Marc-Andre Fleury,G,10.74%,17.2
24,1638417099,ibeckman,0,137.9,C Auston Matthews UTIL Ryan O'Reilly C Cody Glass W Max Pacioretty W Andreas Johnsson W Alex Chiasson D Morgan Rielly D Alexander Edler G Frederik Andersen,,Alex Ovechkin,W,10.74%,19
27,1638410450,blackbox8994,0,137.2,C Connor McDavid C Cody Glass UTIL Leon Draisaitl W Mark Stone W Max Pacioretty W Joakim Nygard D Alexander Edler D Jonas Siegenthaler G Marc-Andre Fleury,,Brent Burns,D,10.53%,13.6
28,1638410896,MartyMonster (4/4),0,135.1,C Auston Matthews C Travis Boyd W Leon Draisaitl UTIL Vladimir Tarasenko W Reilly Smith W Pontus Aberg D Morgan Rielly D Darnell Nurse G Jacob Markstrom,,Jordan Binnington,G,10.53%,13.2
29,1638426234,n.rubert (4/6),0,134.5,C Paul Stastny C Lean Bergmann W Leon Draisaitl W Max Pacioretty W Reilly Smith D Morgan Rielly D Tyson Barrie UTIL Nate Schmidt G Frederik Andersen,,Brock Boeser,W,10.32%,8
30,1638410632,BigmoneyTk,0,134.3,C William Karlsson C Ryan O'Reilly W Alex Ovechkin W Tom Wilson W David Perron UTIL Anthony Duclair D Alexander Edler D Darnell Nurse G Mike Smith,,Ryan O'Reilly,UTIL,10.32%,14.5
31,1638409076,n.rubert (2/6),0,133.8,C Logan Couture C Paul Stastny W Leon Draisaitl UTIL Max Pacioretty W Reilly Smith W Danil Yurtaykin D Shea Theodore D Alexander Edler G Braden Holtby,,Jaden Schwartz,UTIL,10.11%,1.3
32,1638427551,bradreynolds1016,0,132.3,C Auston Matthews C Cody Glass W Mark Stone W Max Pacioretty W William Nylander UTIL Andreas Johnsson D Alexander Edler D Brayden McNabb G Jordan Binnington,,Braden Holtby,G,10.11%,13
32,1638428636,lordstanley44 (3/3),0,132.3,C Auston Matthews C Cody Glass W Mark Stone W William Nylander W Valentin Zykov D Morgan Rielly D Shea Theodore UTIL Alexander Edler G Jordan Binnington,,Oscar Klefbom,D,9.89%,7.1
34,1638426330,n.rubert (6/6),0,131.8,C Paul Stastny C Lean Bergmann W Leon Draisaitl UTIL Jonathan Marchessault W Max Pacioretty W Reilly Smith D Shea Theodore D Alexander Edler G Jordan Binnington,,Reilly Smith,W,9.68%,29.5
35,1638426306,n.rubert (5/6),0,131.6,C Paul Stastny C Lean Bergmann W Leon Draisaitl UTIL Jonathan Marchessault W Max Pacioretty W Reilly Smith D Shea Theodore D Alexander Edler G Braden Holtby,,Ryan Nugent-Hopkins,C,9.68%,9.7
36,1638399683,Royalblue (5/10),0,130.6,C Ryan Nugent-Hopkins C Alexander Kerfoot UTIL Leon Draisaitl W Mitchell Marner W Brady Tkachuk W Alexander Steen D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,David Perron,W,9.47%,9.5
