C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,G,Ville Husso (13457552),Ville Husso,13457552,G,6500,WAS@STL 10/02/2019 08:00PM ET,STL,0
,,,,,,,,,,G,Vitek Vanecek (13457554),Vitek Vanecek,13457554,G,6500,WAS@STL 10/02/2019 08:00PM ET,WAS,0
,,,,,,,,,,G,Adam Wilcox (13457557),Adam Wilcox,13457557,G,6500,WAS@STL 10/02/2019 08:00PM ET,STL,0
,,,,,,,,,,G,Richard Bachman (13457555),Richard Bachman,13457555,G,6500,VAN@EDM 10/02/2019 10:00PM ET,VAN,-4.9
,,,,,,,,,,G,Shane Starrett (13457558),Shane Starrett,13457558,G,6500,VAN@EDM 10/02/2019 10:00PM ET,EDM,0
,,,,,,,,,,G,Zane McIntyre (13457560),Zane McIntyre,13457560,G,6500,VAN@EDM 10/02/2019 10:00PM ET,VAN,0
,,,,,,,,,,G,Dylan Ferguson (13457553),Dylan Ferguson,13457553,G,6500,SJ@VGK 10/02/2019 10:30PM ET,VGK,0
,,,,,,,,,,G,Oscar Dansk (13457561),Oscar Dansk,13457561,G,6500,SJ@VGK 10/02/2019 10:30PM ET,VGK,0
,,,,,,,,,,G,Antoine Bibeau (13457562),Antoine Bibeau,13457562,G,6500,SJ@VGK 10/02/2019 10:30PM ET,SJ,0
,,,,,,,,,,LW,Jonathan Marchessault (13457078),Jonathan Marchessault,13457078,W/UTIL,6400,SJ@VGK 10/02/2019 10:30PM ET,VGK,10.32
,,,,,,,,,,C,Elias Pettersson (13456934),Elias Pettersson,13456934,C/UTIL,6300,VAN@EDM 10/02/2019 10:00PM ET,VAN,10.11
,,,,,,,,,,D,Morgan Rielly (13457316),Morgan Rielly,13457316,D/UTIL,6200,OTT@TOR 10/02/2019 07:00PM ET,TOR,11.19
,,,,,,,,,,C,William Karlsson (13456936),William Karlsson,13456936,C/UTIL,6100,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.7
,,,,,,,,,,LW,Evander Kane (13457080),Evander Kane,13457080,W/UTIL,6000,SJ@VGK 10/02/2019 10:30PM ET,SJ,10.19
,,,,,,,,,,D,Erik Karlsson (13457318),Erik Karlsson,13457318,D/UTIL,6000,SJ@VGK 10/02/2019 10:30PM ET,SJ,10.9
,,,,,,,,,,D,John Carlson (13457320),John Carlson,13457320,D/UTIL,5900,WAS@STL 10/02/2019 08:00PM ET,WAS,11.09
,,,,,,,,,,C,Tomas Hertl (13456938),Tomas Hertl,13456938,C/UTIL,5900,SJ@VGK 10/02/2019 10:30PM ET,SJ,11.16
,,,,,,,,,,LW,Timo Meier (13457082),Timo Meier,13457082,W/UTIL,5900,SJ@VGK 10/02/2019 10:30PM ET,SJ,10.73
,,,,,,,,,,D,Thomas Chabot (13457322),Thomas Chabot,13457322,D/UTIL,5800,OTT@TOR 10/02/2019 07:00PM ET,OTT,10.7
,,,,,,,,,,RW,Brock Boeser (13457084),Brock Boeser,13457084,W/UTIL,5800,VAN@EDM 10/02/2019 10:00PM ET,VAN,10.42
,,,,,,,,,,C,Logan Couture (13456940),Logan Couture,13456940,C/UTIL,5800,SJ@VGK 10/02/2019 10:30PM ET,SJ,10.96
,,,,,,,,,,RW,T.J. Oshie (13457086),T.J. Oshie,13457086,W/UTIL,5700,WAS@STL 10/02/2019 08:00PM ET,WAS,9.26
,,,,,,,,,,D,Tyson Barrie (13457324),Tyson Barrie,13457324,D/UTIL,5600,OTT@TOR 10/02/2019 07:00PM ET,TOR,10.1
,,,,,,,,,,LW,Max Pacioretty (13457088),Max Pacioretty,13457088,W/UTIL,5600,SJ@VGK 10/02/2019 10:30PM ET,VGK,9.72
,,,,,,,,,,RW,William Nylander (13457090),William Nylander,13457090,W/UTIL,5500,OTT@TOR 10/02/2019 07:00PM ET,TOR,6.84
,,,,,,,,,,C,Ryan O'Reilly (13456942),Ryan O'Reilly,13456942,C/UTIL,5500,WAS@STL 10/02/2019 08:00PM ET,STL,10.5
,,,,,,,,,,D,Alex Pietrangelo (13457326),Alex Pietrangelo,13457326,D/UTIL,5500,WAS@STL 10/02/2019 08:00PM ET,STL,9.99
,,,,,,,,,,LW,Andreas Johnsson (13457092),Andreas Johnsson,13457092,W/UTIL,5400,OTT@TOR 10/02/2019 07:00PM ET,TOR,7.21
,,,,,,,,,,C,Ryan Nugent-Hopkins (13456944),Ryan Nugent-Hopkins,13456944,C/UTIL,5300,VAN@EDM 10/02/2019 10:00PM ET,EDM,10.01
,,,,,,,,,,RW,Reilly Smith (13457094),Reilly Smith,13457094,W/UTIL,5300,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.98
,,,,,,,,,,D,Shea Theodore (13457328),Shea Theodore,13457328,D/UTIL,5300,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.44
,,,,,,,,,,LW,Brady Tkachuk (13457096),Brady Tkachuk,13457096,W/UTIL,5200,OTT@TOR 10/02/2019 07:00PM ET,OTT,9.25
,,,,,,,,,,C,Evgeny Kuznetsov (13456946),Evgeny Kuznetsov,13456946,C/UTIL,5100,WAS@STL 10/02/2019 08:00PM ET,WAS,9.85
,,,,,,,,,,D,Alexander Edler (13457330),Alexander Edler,13457330,D/UTIL,5100,VAN@EDM 10/02/2019 10:00PM ET,VAN,10.98
,,,,,,,,,,RW,Tom Wilson (13457098),Tom Wilson,13457098,W/UTIL,5000,WAS@STL 10/02/2019 08:00PM ET,WAS,8.66
,,,,,,,,,,D,Oscar Klefbom (13457332),Oscar Klefbom,13457332,D/UTIL,5000,VAN@EDM 10/02/2019 10:00PM ET,EDM,8.86
,,,,,,,,,,C,Paul Stastny (13456948),Paul Stastny,13456948,C/UTIL,5000,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.94
,,,,,,,,,,LW,Jaden Schwartz (13457100),Jaden Schwartz,13457100,W/UTIL,4900,WAS@STL 10/02/2019 08:00PM ET,STL,8.22
,,,,,,,,,,D,Justin Faulk (13457334),Justin Faulk,13457334,D/UTIL,4800,WAS@STL 10/02/2019 08:00PM ET,STL,8.69
,,,,,,,,,,C,Bo Horvat (13456950),Bo Horvat,13456950,C/UTIL,4800,VAN@EDM 10/02/2019 10:00PM ET,VAN,10.1
,,,,,,,,,,RW,Alex Tuch (13457102),Alex Tuch,13457102,W/UTIL,4800,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.72
,,,,,,,,,,C,Brayden Schenn (13456952),Brayden Schenn,13456952,C/UTIL,4700,WAS@STL 10/02/2019 08:00PM ET,STL,8
,,,,,,,,,,D,Colton Parayko (13457336),Colton Parayko,13457336,D/UTIL,4700,WAS@STL 10/02/2019 08:00PM ET,STL,8.07
,,,,,,,,,,RW,Kevin Labanc (13457104),Kevin Labanc,13457104,W/UTIL,4700,SJ@VGK 10/02/2019 10:30PM ET,SJ,6.63
,,,,,,,,,,D,Darnell Nurse (13457338),Darnell Nurse,13457338,D/UTIL,4600,VAN@EDM 10/02/2019 10:00PM ET,EDM,8.85
,,,,,,,,,,LW,Brandon Pirri (13457106),Brandon Pirri,13457106,W/UTIL,4600,SJ@VGK 10/02/2019 10:30PM ET,VGK,8.73
,,,,,,,,,,D,Jake Muzzin (13457340),Jake Muzzin,13457340,D/UTIL,4500,OTT@TOR 10/02/2019 07:00PM ET,TOR,7.27
,,,,,,,,,,C,Lars Eller (13456954),Lars Eller,13456954,C/UTIL,4500,WAS@STL 10/02/2019 08:00PM ET,WAS,6.6
,,,,,,,,,,LW,Micheal Ferland (13457108),Micheal Ferland,13457108,W/UTIL,4500,VAN@EDM 10/02/2019 10:00PM ET,VAN,6.92
,,,,,,,,,,RW,James Neal (13457110),James Neal,13457110,W/UTIL,4500,VAN@EDM 10/02/2019 10:00PM ET,EDM,5.52
,,,,,,,,,,RW,David Perron (13457112),David Perron,13457112,W/UTIL,4400,WAS@STL 10/02/2019 08:00PM ET,STL,8.47
,,,,,,,,,,D,Vince Dunn (13457344),Vince Dunn,13457344,D/UTIL,4400,WAS@STL 10/02/2019 08:00PM ET,STL,6.59
,,,,,,,,,,LW,Kasperi Kapanen (13457114),Kasperi Kapanen,13457114,W/UTIL,4300,OTT@TOR 10/02/2019 07:00PM ET,TOR,7.37
,,,,,,,,,,D,Erik Brannstrom (13457342),Erik Brannstrom,13457342,D/UTIL,4300,OTT@TOR 10/02/2019 07:00PM ET,OTT,0.65
