QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Hunter Henry,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Keenan Allen,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Robby Anderson,Darren Waller,Cole Beasley,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Jakeem Grant,Stefon Diggs,Michael Thomas,Dawson Knox,Alvin Kamara,Denver Broncos
Drew Lock,Mike Davis,Aaron Jones,Tyler Lockett,Jerry Jeudy,Davante Adams,Noah Fant,Duke Johnson,Houston Texans
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,D.K. Metcalf,Austin Hooper,D'Andre Swift,New Orleans Saints
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Diontae Johnson,Tyler Higbee,Cooper Kupp,Detroit Lions
Alex Smith,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Terry McLaurin,Logan Thomas,James Conner,New York Giants
Daniel Jones,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Darius Slayton,Evan Engram,Miles Sanders,Green Bay Packers
Ben Roethlisberger,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Chase Claypool,Eric Ebron,Antonio Gibson,Cleveland Browns
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,JuJu Smith-Schuster,Gabriel Davis,T.J. Hockenson,Josh Jacobs,Miami Dolphins
Tom Brady,Mike Davis,Aaron Jones,Tyler Lockett,A.J. Green,Chris Godwin,Rob Gronkowski,Alvin Kamara,Los Angeles Chargers
Aaron Rodgers,Mike Davis,Aaron Jones,Tyler Lockett,Keelan Cole,Curtis Samuel,Robert Tonyan,Davante Adams,Philadelphia Eagles
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Brandin Cooks,Robert Woods,Jordan Akins,Duke Johnson,Pittsburgh Steelers
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Jalen Reagor,Travis Fulgham,Mike Gesicki,Alvin Kamara,Seattle Seahawks
Joe Burrow,Mike Davis,Aaron Jones,Stefon Diggs,Tee Higgins,Jarvis Landry,Drew Sample,Alvin Kamara,Washington Football Team
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,DJ Chark,Henry Ruggs,Darren Waller,Will Fuller,Carolina Panthers
Justin Herbert,Mike Davis,Aaron Jones,Keenan Allen,Davante Adams,Christian Kirk,Jacob Hollister,Mike Williams,Las Vegas Raiders
Nick Mullens,Mike Davis,Aaron Jones,Stefon Diggs,Davante Adams,Brandon Aiyuk,Jordan Reed,Jerick McKinnon,San Francisco 49ers
Drew Brees,Mike Davis,Aaron Jones,Stefon Diggs,Josh Reynolds,Michael Thomas,Jared Cook,James Robinson,Buffalo Bills
