QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Hunter Henry,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Robby Anderson,Larry Fitzgerald,DeAndre Hopkins,Darren Waller,Duke Johnson,Los Angeles Rams
Tua Tagovailoa,Mike Davis,Aaron Jones,Jakeem Grant,DeVante Parker,Davante Adams,Noah Fant,Alvin Kamara,New Orleans Saints
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Michael Thomas,Dallas Goedert,Jalen Reagor,Detroit Lions
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,D.K. Metcalf,Logan Thomas,D'Andre Swift,Philadelphia Eagles
Jared Goff,Mike Davis,Aaron Jones,Stefon Diggs,Josh Reynolds,Cooper Kupp,Austin Hooper,James Conner,Green Bay Packers
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,Terry McLaurin,Eric Ebron,Miles Sanders,Denver Broncos
Daniel Jones,Mike Davis,Aaron Jones,Stefon Diggs,Darius Slayton,Chris Godwin,Evan Engram,Josh Jacobs,Pittsburgh Steelers
Aaron Rodgers,Mike Davis,Aaron Jones,A.J. Green,Jerry Jeudy,Davante Adams,Robert Tonyan,Antonio Gibson,Miami Dolphins
Justin Herbert,Mike Davis,Aaron Jones,Keenan Allen,Chase Claypool,JuJu Smith-Schuster,T.J. Hockenson,Mike Williams,Los Angeles Chargers
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Tee Higgins,Brandin Cooks,Mike Gesicki,Will Fuller,Houston Texans
Joe Burrow,Mike Davis,Aaron Jones,DJ Chark,Robert Woods,Tyler Boyd,Drew Sample,Alvin Kamara,Cleveland Browns
Tom Brady,Mike Davis,Aaron Jones,Curtis Samuel,Christian Kirk,Mike Evans,Rob Gronkowski,Alvin Kamara,New York Giants
Drew Brees,Mike Davis,Aaron Jones,Michael Thomas,Jarvis Landry,Brandon Aiyuk,Jared Cook,James Robinson,Seattle Seahawks
Josh Allen,Aaron Jones,Leonard Fournette,Stefon Diggs,Sterling Shepard,Cole Beasley,Tyler Higbee,Jerick McKinnon,Tampa Bay Buccaneers
Drew Lock,Aaron Jones,Alvin Kamara,Stefon Diggs,KJ Hamler,Tim Patrick,Jordan Akins,Nick Chubb,Washington Football Team
Derek Carr,Aaron Jones,Alvin Kamara,Davante Adams,Henry Ruggs,Hunter Renfrow,Jordan Reed,Giovani Bernard,Carolina Panthers
Matthew Stafford,Aaron Jones,Alvin Kamara,Stefon Diggs,Danny Amendola,Marvin Jones,Gerald Everett,Travis Fulgham,Las Vegas Raiders
Jake Luton,Aaron Jones,Melvin Gordon,Stefon Diggs,Keelan Cole,Davante Adams,Tyler Eifert,Kareem Hunt,Buffalo Bills
Josh Allen,Aaron Jones,Darrell Henderson,Stefon Diggs,Rashard Higgins,Antonio Brown,Dawson Knox,Chase Edmonds,San Francisco 49ers
