C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
16292717,16292747,16292917,16292937,16292971,16293223,16293229,16293501,16293329,,1. Locate the player you want to select in the list below ,,,,,,,,
16292717,16292725,16292917,16292937,16292971,16293223,16293275,16293501,16292975,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16292717,16292739,16292917,16292937,16292971,16293229,16293225,16293501,16292999,,3. Paste the ID into the roster position desired ,,,,,,,,
16292717,16292747,16292917,16292937,16292919,16293225,16293275,16293501,16292971,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16292717,16292747,16292917,16292937,16292959,16293223,16293235,16293513,16292971,,5. You can create up to 500 lineups per file ,,,,,,,,
16292717,16292715,16292937,16292919,16292971,16293223,16293275,16293501,16292999,,,,,,,,,,
16292717,16292725,16292937,16292971,16292999,16293223,16293229,16293501,16292957,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16292717,16292715,16292917,16292971,16292965,16293223,16293275,16293501,16292747,,G,Andrei Vasilevskiy (16293501),Andrei Vasilevskiy,16293501,G,8400,NSH@TB 02/01/2021 07:00PM ET,TB,15.92
16292717,16292713,16292903,16292937,16292971,16293229,16293329,16293501,16292999,,G,Curtis McElhinney (16293503),Curtis McElhinney,16293503,G,8200,NSH@TB 02/01/2021 07:00PM ET,TB,0
16292725,16292747,16292917,16292937,16292975,16293223,16293229,16293501,16292965,,G,Carey Price (16293502),Carey Price,16293502,G,8200,VAN@MON 02/01/2021 07:00PM ET,MON,12.38
,,,,,,,,,,G,Jake Allen (16293504),Jake Allen,16293504,G,8000,VAN@MON 02/01/2021 07:00PM ET,MON,14.5
,,,,,,,,,,RW,Steven Stamkos (16292903),Steven Stamkos,16292903,W/UTIL,7900,NSH@TB 02/01/2021 07:00PM ET,TB,13.77
,,,,,,,,,,G,Connor Hellebuyck (16293505),Connor Hellebuyck,16293505,G,7900,CGY@WPG 02/01/2021 08:00PM ET,WPG,14.45
,,,,,,,,,,C,Patrice Bergeron (16292709),Patrice Bergeron,16292709,C/UTIL,7800,BOS@WAS 02/01/2021 07:00PM ET,BOS,18.78
,,,,,,,,,,RW,David Pastrnak (16292905),David Pastrnak,16292905,W/UTIL,7800,BOS@WAS 02/01/2021 07:00PM ET,BOS,15.5
,,,,,,,,,,G,Jacob Markstrom (16293506),Jacob Markstrom,16293506,G,7800,CGY@WPG 02/01/2021 08:00PM ET,CGY,17.42
,,,,,,,,,,LW,Brad Marchand (16292907),Brad Marchand,16292907,W/UTIL,7700,BOS@WAS 02/01/2021 07:00PM ET,BOS,15.72
,,,,,,,,,,G,Tuukka Rask (16293507),Tuukka Rask,16293507,G,7700,BOS@WAS 02/01/2021 07:00PM ET,BOS,9.6
,,,,,,,,,,G,Jaroslav Halak (16293508),Jaroslav Halak,16293508,G,7700,BOS@WAS 02/01/2021 07:00PM ET,BOS,14.23
,,,,,,,,,,G,Laurent Brossoit (16293509),Laurent Brossoit,16293509,G,7700,CGY@WPG 02/01/2021 08:00PM ET,WPG,17.45
,,,,,,,,,,G,Vitek Vanecek (16293510),Vitek Vanecek,16293510,G,7600,BOS@WAS 02/01/2021 07:00PM ET,WAS,18.01
,,,,,,,,,,G,David Rittich (16293511),David Rittich,16293511,G,7600,CGY@WPG 02/01/2021 08:00PM ET,CGY,-2.1
,,,,,,,,,,G,Tristan Jarry (16293512),Tristan Jarry,16293512,G,7500,PIT@NYR 02/01/2021 07:00PM ET,PIT,5.02
,,,,,,,,,,LW,Alex Ovechkin (16292909),Alex Ovechkin,16292909,W/UTIL,7500,BOS@WAS 02/01/2021 07:00PM ET,WAS,14.84
,,,,,,,,,,G,Igor Shesterkin (16293513),Igor Shesterkin,16293513,G,7400,PIT@NYR 02/01/2021 07:00PM ET,NYR,7.34
,,,,,,,,,,G,Craig Anderson (16293514),Craig Anderson,16293514,G,7400,BOS@WAS 02/01/2021 07:00PM ET,WAS,0
,,,,,,,,,,G,Casey DeSmith (16293516),Casey DeSmith,16293516,G,7300,PIT@NYR 02/01/2021 07:00PM ET,PIT,10.45
