Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Andrei Vasilevskiy,8400,TB,G,NSH,23.52,,
Igor Shesterkin,7400,NYR,G,PIT,18.55,,
Artemi Panarin,6500,NYR,LW,PIT,16.69,2,1
Vitek Vanecek,7600,WAS,G,BOS,15.95,,
Connor Hellebuyck,7900,WPG,G,CGY,15.27,,
Jaroslav Halak,7700,BOS,G,WAS,14.77,,
Mika Zibanejad,6500,NYR,C,PIT,14.67,1,1
Steven Stamkos,7900,TB,RW,NSH,14.54,1,1
Carey Price,8200,MON,G,VAN,14.48,,
Victor Hedman,7000,TB,D,NSH,14.16,x,1
Braden Holtby,7300,VAN,G,MON,13.57,,
David Pastrnak,7800,BOS,RW,WAS,13.50,1,1
Adam Fox,6000,NYR,D,PIT,13.30,x,1
Casey DeSmith,7300,PIT,G,NYR,13.25,,
Juuse Saros,7200,NSH,G,TB,13.24,,
Jacob Markstrom,7800,CGY,G,WPG,13.18,,
Alex Ovechkin,7500,WAS,LW,BOS,12.96,1,1
Sidney Crosby,6900,PIT,C,NYR,12.77,1,1
Brayden Point,7000,TB,C,NSH,12.55,1,1
Matthew Tkachuk,6600,CGY,LW,WPG,12.26,2,1
Evgeni Malkin,5600,PIT,C,NYR,12.06,2,1
Pavel Buchnevich,5300,NYR,RW,PIT,11.95,1,1
Jake Guentzel,6200,PIT,LW,NYR,11.82,1,1
Patrice Bergeron,7800,BOS,C,WAS,11.72,1,1
Johnny Gaudreau,5600,CGY,LW,WPG,11.56,1,1
Mark Scheifele,7200,WPG,C,CGY,11.31,1,1
Viktor Arvidsson,4900,NSH,RW,TB,11.29,1,1
Blake Wheeler,6700,WPG,RW,CGY,11.14,2,1
Roman Josi,5700,NSH,D,TB,11.10,x,1
Brad Marchand,7700,BOS,LW,WAS,11.00,1,1
John Carlson,6200,WAS,D,BOS,10.88,x,1
Chris Kreider,4000,NYR,LW,PIT,10.75,3,2
Kyle Connor,7000,WPG,LW,CGY,10.73,2,1
Filip Forsberg,5200,NSH,LW,TB,10.48,1,1
Sean Monahan,5500,CGY,C,WPG,10.10,1,1
Alexis Lafreniere,3400,NYR,LW,PIT,10.09,1,2
Brendan Gallagher,5700,MON,RW,VAN,9.81,1,2
Ryan Strome,4000,NYR,C,PIT,9.76,2,2
Ondrej Palat,5100,TB,LW,NSH,9.57,1,1
Ryan McDonagh,3400,TB,D,NSH,9.57,x,
Bryan Rust,6000,PIT,RW,NYR,9.41,1,1
Shea Weber,5600,MON,D,VAN,9.39,x,1
Brock Boeser,5800,VAN,RW,MON,9.32,1,1
Mikael Granlund,3800,NSH,RW,TB,9.23,2,2
Mark Giordano,5400,CGY,D,WPG,9.20,x,2
Nicklas Backstrom,5800,WAS,C,BOS,9.16,1,1
Tyler Johnson,2700,TB,RW,NSH,9.10,2,2
Ryan Ellis,5100,NSH,D,TB,9.09,x,2
Tyler Toffoli,5900,MON,LW,VAN,9.05,3,1
Elias Pettersson,6200,VAN,C,MON,9.00,1,1
Elias Lindholm,5400,CGY,C,WPG,8.97,2,1
Jacob Trouba,3400,NYR,D,PIT,8.96,x,1
Jason Zucker,3300,PIT,LW,NYR,8.89,2,2
Nikolaj Ehlers,6100,WPG,RW,CGY,8.88,1,2
Mikhail Sergachev,3700,TB,D,NSH,8.86,x,2
Anthony Cirelli,4800,TB,C,NSH,8.74,2,2
T.J. Oshie,5100,WAS,C,BOS,8.57,2,1
Matt Duchene,4300,NSH,C,TB,8.53,2,1
Bo Horvat,6100,VAN,C,MON,8.37,2,1
J.T. Miller,5400,VAN,LW,MON,8.29,1,1
Alex Killorn,4100,TB,LW,NSH,8.13,2,1
Tomas Tatar,4800,MON,LW,VAN,8.12,1,2
Charlie McAvoy,4900,BOS,D,WAS,8.12,x,1
Andrew Copp,5500,WPG,LW,CGY,8.11,1,
Quinn Hughes,5800,VAN,D,MON,8.01,x,1
Tyler Myers,4600,VAN,D,MON,7.81,x,
Jeff Petry,6100,MON,D,VAN,7.79,x,1
Yanni Gourde,3100,TB,C,NSH,7.78,3,2
Craig Smith,3900,BOS,RW,WAS,7.76,2,2
Ryan Johansen,3600,NSH,C,TB,7.68,1,1
Nick Suzuki,5300,MON,C,VAN,7.57,2,1
Tom Wilson,4400,WAS,RW,BOS,7.54,1,2
Josh Anderson,4600,MON,RW,VAN,7.48,2,
Neal Pionk,4400,WPG,D,CGY,7.46,x,2
Nate Schmidt,3900,VAN,D,MON,7.14,x,2
Jonathan Drouin,4200,MON,LW,VAN,7.08,2,1
David Krejci,4600,BOS,C,WAS,6.97,2,2
John Marino,2500,PIT,D,NYR,6.96,x,1
Paul Stastny,4900,WPG,C,CGY,6.82,2,1
Tanner Pearson,3400,VAN,LW,MON,6.82,2,2
Nick Ritchie,3500,BOS,LW,WAS,6.75,2,1
Josh Morrissey,4700,WPG,D,CGY,6.65,x,1
Mattias Ekholm,3100,NSH,D,TB,6.56,x,
Mikael Backlund,3900,CGY,C,WPG,6.39,3,2
Erik Haula,2700,NSH,C,TB,6.33,3,2
Jared McCann,3300,PIT,LW,NYR,6.33,3,2
Charlie Coyle,3800,BOS,C,WAS,6.32,3,2
Andrew Mangiapane,3200,CGY,RW,WPG,6.22,1,2
Rasmus Andersson,4800,CGY,D,WPG,6.15,x,1
Phil Di Giuseppe,3700,NYR,RW,PIT,6.15,2,
Ben Chiarot,3200,MON,D,VAN,6.07,x,
Phillip Danault,3400,MON,C,VAN,6.00,1,
Pierre-Olivier Joseph,3000,PIT,D,NYR,5.84,x,2
Jesperi Kotkaniemi,3500,MON,C,VAN,5.77,3,2
Luke Kunin,2900,NSH,RW,TB,5.75,3,2
K'Andre Miller,2500,NYR,D,PIT,5.70,x,2
Adam Lowry,4100,WPG,C,CGY,5.66,3,2
Kasperi Kapanen,3100,PIT,RW,NYR,5.57,2,2
Jordie Benn,4000,VAN,D,MON,5.50,x,
Cody Ceci,2800,PIT,D,NYR,5.49,x,
Corey Perry,2700,MON,RW,VAN,5.45,3,2
Sam Bennett,2500,CGY,LW,WPG,5.42,3,2
Brandon Carlo,2700,BOS,D,WAS,5.37,x,
Richard Panik,2600,WAS,RW,BOS,5.31,2,2
Derek Forbort,3600,WPG,D,CGY,5.28,x,
Nick Cousins,2500,NSH,LW,TB,5.27,2,2
Ryan Lindgren,2500,NYR,D,PIT,5.17,x,
Nils Hoglander,3600,VAN,RW,MON,5.17,2,2
Joel Edmundson,3500,MON,D,VAN,5.14,x,
Chris Tanev,3300,CGY,D,WPG,5.14,x,
Zdeno Chara,2900,WAS,D,BOS,5.09,x,2
Trevor van Riemsdyk,2500,WAS,D,BOS,5.03,x,
Noah Hanifin,2500,CGY,D,WPG,5.00,x,
Jan Rutta,2500,TB,D,NSH,4.96,x,
Jakub Vrana,4700,WAS,LW,BOS,4.90,4,1
Dylan DeMelo,3200,WPG,D,CGY,4.64,x,
Julien Gauthier,2500,NYR,RW,PIT,4.58,3,2
Dillon Dube,3000,CGY,RW,WPG,4.57,2,
Jeremy Lauzon,2800,BOS,D,WAS,4.55,x,
Mathieu Perreault,2500,WPG,LW,CGY,4.48,3,2
Luke Schenn,2500,TB,D,NSH,4.42,x,
Dante Fabbro,2700,NSH,D,TB,4.40,x,
Blake Coleman,3100,TB,LW,NSH,4.39,3,
Adam Gaudette,2500,VAN,LW,MON,4.26,3,2
Conor Sheary,2500,WAS,LW,BOS,4.24,2,
Chad Ruhwedel,2500,PIT,D,NYR,4.08,x,
Brenden Dillon,2900,WAS,D,BOS,3.97,x,
Trent Frederic,2500,BOS,LW,WAS,3.85,3,2
Alexander Edler,4200,VAN,D,MON,3.81,x,
Jakub Zboril,2600,BOS,D,WAS,3.32,x,2
Tyler Motte,2800,VAN,RW,MON,3.29,4,
Connor Clifton,2500,BOS,D,WAS,3.20,x,
Brendan Lemieux,2500,NYR,LW,PIT,3.13,4,
Brandon Sutter,3000,VAN,C,MON,3.05,3,
Barclay Goodrow,2600,TB,RW,NSH,3.01,3,
Artturi Lehkonen,2500,MON,LW,VAN,2.97,4,
Kevan Miller,2500,BOS,D,WAS,2.94,x,
Zack MacEwen,2500,VAN,RW,MON,2.88,3,2
Brandon Tanev,2500,PIT,RW,NYR,2.87,3,
Brett Howden,2500,NYR,C,PIT,2.76,3,
Sean Kuraly,2500,BOS,C,WAS,2.71,4,
Carl Hagelin,2500,WAS,LW,BOS,2.71,3,
Karson Kuhlman,2500,BOS,RW,WAS,2.70,4,
Brendan Smith,2500,NYR,D,PIT,2.69,x,
Mark Jankowski,2500,PIT,C,NYR,2.65,4,
Nic Dowd,2500,WAS,C,BOS,2.63,3,
Mathieu Joseph,2600,TB,C,NSH,2.61,4,
Jake Evans,2800,MON,C,VAN,2.50,4,
Garnet Hathaway,2500,WAS,RW,BOS,2.49,3,
Paul Byron,2500,MON,RW,VAN,2.47,4,
Mathieu Olivier,2500,NSH,RW,TB,2.45,4,
Drew O'Connor,2500,PIT,LW,NYR,2.45,4,2
Juuso Valimaki,2700,CGY,D,WPG,2.40,x,
Teddy Blueger,3300,PIT,C,NYR,2.36,3,
Antoine Roussel,2500,VAN,LW,MON,2.34,4,
Derek Ryan,2500,CGY,C,WPG,2.32,4,
Alexander Volkov,2500,TB,RW,NSH,2.30,4,
Anders Bjork,2500,BOS,LW,WAS,2.28,4,
Dmitry Orlov,2600,WAS,D,BOS,2.27,x,
Logan Stanley,2600,WPG,D,CGY,2.24,x,
Milan Lucic,2500,CGY,LW,WPG,2.22,4,2
Josh Leivo,2500,CGY,RW,WPG,2.19,3,
Cal Foote,2500,TB,D,NSH,2.19,x,
Jay Beagle,2500,VAN,C,MON,2.17,4,
Sam Lafferty,2500,PIT,RW,NYR,2.17,4,
Brad Richardson,2500,NSH,C,TB,2.09,4,
Patrick Maroon,2500,TB,LW,NSH,2.07,4,2
Kevin Rooney,2500,NYR,C,PIT,2.07,4,
Chris Wagner,2500,BOS,RW,WAS,2.04,3,
Victor Mete,2500,MON,D,VAN,2.00,x,
Nathan Beaulieu,2600,WPG,D,CGY,1.95,x,
Daniel Sprong,2500,WAS,RW,BOS,1.93,4,2
Mason Appleton,2500,WPG,RW,CGY,1.91,3,
Alexander Romanov,4300,MON,D,VAN,1.91,x,2
Yakov Trenin,2500,NSH,LW,TB,1.89,4,
Trevor Lewis,2500,WPG,RW,CGY,1.89,4,
Nikita Nesterov,2500,CGY,D,WPG,1.86,x,
Colton Sissons,2500,NSH,LW,TB,1.85,3,
Nick Jensen,2500,WAS,D,BOS,1.84,x,
Anthony Bitetto,2500,NYR,D,PIT,1.75,x,
Mark Borowiecki,2500,NSH,D,TB,1.72,x,
Yannick Weber,2500,PIT,D,NYR,1.68,x,
Michael Sgarbossa,2500,WAS,C,BOS,1.65,4,2
Joakim Nordstrom,2500,CGY,RW,WPG,1.54,4,
Jansen Harkins,2500,WPG,LW,CGY,1.45,4,2
Kristian Vesalainen,2500,WPG,RW,CGY,1.45,4,
Matt Benning,2500,NSH,D,TB,1.38,x,
Jalen Chatfield,2500,VAN,D,MON,1.04,x,
Kevin Czuczman,2500,PIT,D,NYR,0.88,x,
Charles Hudon,2500,MON,LW,VAN,0.0,,
Pheonix Copley,6500,WAS,G,BOS,0.0,,
Laurent Brossoit,7700,WPG,G,CGY,0.0,,
Brett Kulak,2700,MON,D,VAN,0.0,x,
Tyler Graovac,2500,VAN,C,MON,0.0,,
Luke Witkowski,2500,TB,RW,NSH,0.0,,
Marcus Pettersson,2500,PIT,D,NYR,0.0,x,
Nikita Tryamkin,2500,VAN,D,MON,0.0,x,
Shane Gersich,2500,WAS,C,BOS,0.0,,
Anthony DeAngelo,3800,NYR,D,PIT,0.0,x,
Justin Kirkland,2500,CGY,LW,WPG,0.0,,
Ben Thomas,2500,TB,D,NSH,0.0,x,
Jayce Hawryluk,2500,VAN,C,MON,0.0,5,
Thatcher Demko,7100,VAN,G,MON,0.0,,
Jake Virtanen,2800,VAN,LW,MON,0.0,5,
Evan Rodrigues,3000,PIT,RW,NYR,0.0,7,
Tyler Lewington,2500,NSH,D,TB,0.0,x,
Oliver Kylington,2500,CGY,D,WPG,0.0,x,
Ondrej Kase,2900,BOS,RW,WAS,0.0,7,
Yegor Rykov,2500,NYR,D,PIT,0.0,x,
Jonas Siegenthaler,2500,WAS,D,BOS,0.0,x,
Lukas Jasek,2500,VAN,RW,MON,0.0,,
Erik Cernak,3000,TB,D,NSH,0.0,x,
Callum Booth,6500,BOS,G,WAS,0.0,,
Michael McNiven,6500,MON,G,VAN,0.0,,
Daniel Vladar,6500,BOS,G,WAS,0.0,,
Adam Huska,6500,NYR,G,PIT,0.0,,
Glenn Gawdin,2500,CGY,C,WPG,0.0,,
Joseph Blandisi,2500,MON,C,VAN,0.0,,
Ben Harpur,2500,NSH,D,TB,0.0,x,
Daniel Carr,2500,WAS,LW,BOS,0.0,5,
Daniel Walcott,2500,TB,D,NSH,0.0,x,
Buddy Robinson,2500,CGY,RW,WPG,0.0,6,
Frederick Gaudreau,2500,PIT,C,NYR,0.0,5,
Brandon Baddock,2500,MON,LW,VAN,0.0,,
Kasimir Kaskisuo,6500,NSH,G,TB,0.0,,
Charlie Lindgren,6500,MON,G,VAN,0.0,,
Anthony Richard,2500,NSH,C,TB,0.0,,
Paul LaDue,2500,WAS,D,BOS,0.0,x,
Michal Kempny,2500,WAS,D,BOS,0.0,x,
Boris Katchouk,2500,TB,LW,NSH,0.0,,
Libor Hajek,2500,NYR,D,PIT,0.0,x,
Taylor Raddysh,2500,TB,RW,NSH,0.0,,
Olli Juolevi,2500,VAN,D,MON,0.0,x,
Dominik Simon,2500,CGY,RW,WPG,0.0,5,
Ashton Sautner,2500,VAN,D,MON,0.0,x,
Lukas Vejdemo,2500,MON,LW,VAN,0.0,,
Zachary Senyshyn,2500,BOS,RW,WAS,0.0,,
Thomas Novak,2500,NSH,C,TB,0.0,,
Guillaume Brisebois,2500,VAN,D,MON,0.0,x,
Sami Niku,2500,WPG,D,CGY,0.0,x,
Cameron Hughes,2500,BOS,C,WAS,0.0,,
Alexandre Carrier,2500,NSH,D,TB,0.0,x,
Anton Blidh,2500,BOS,LW,WAS,0.0,5,
Andreas Borgman,2500,TB,D,NSH,0.0,x,
Cale Fleury,2500,MON,D,VAN,0.0,x,
Dylan Samberg,2500,WPG,D,CGY,0.0,x,
Adam Ruzicka,2500,CGY,C,WPG,0.0,,
Eeli Tolvanen,2500,NSH,LW,TB,0.0,5,
Zach Aston-Reese,2500,PIT,LW,NYR,0.0,6,
Jonny Brodzinski,2500,NYR,RW,PIT,0.0,4,
Sean Malone,2500,NSH,C,TB,0.0,,
Gabriel Fontaine,2500,NYR,C,PIT,0.0,,
Devante Stephens,2500,TB,D,NSH,0.0,x,
Tim Gettinger,2500,NYR,LW,PIT,0.0,5,
Frederic Allard,2500,NSH,D,TB,0.0,x,
Sean Day,2500,TB,D,NSH,0.0,x,
Matt Filipe,2500,BOS,LW,WAS,0.0,,
Nelson Nogier,2500,WPG,D,CGY,0.0,x,
David Rittich,7600,CGY,G,WPG,0.0,,
Kasper Bjorkqvist,2500,PIT,RW,NYR,0.0,,
Rem Pitlick,2500,NSH,C,TB,0.0,,
Garrett Pilon,2500,WAS,C,BOS,0.0,,
Beck Malenstyn,2500,WAS,LW,BOS,0.0,,
Josh Currie,2500,PIT,RW,NYR,0.0,,
Brandon Crawley,2500,NYR,D,PIT,0.0,x,
Colton Sceviour,2500,PIT,RW,NYR,0.0,5,
Greg McKegg,2500,BOS,C,WAS,0.0,6,
Keith Kinkaid,6500,NYR,G,PIT,0.0,,
Zac Rinaldo,2500,CGY,LW,WPG,0.0,5,
Sven Baertschi,2500,VAN,LW,MON,0.0,,
Christopher Gibson,6500,TB,G,NSH,0.0,,
Rocco Grimaldi,2500,NSH,RW,TB,0.0,5,
Byron Froese,2500,CGY,C,WPG,0.0,,
Louis Domingue,6500,CGY,G,WPG,0.0,,
Brett Ritchie,2500,CGY,RW,WPG,0.0,,
Micheal Ferland,2500,VAN,RW,MON,0.0,7,
Xavier Ouellet,2500,MON,D,VAN,0.0,x,
Nikita Kucherov,2500,TB,RW,NSH,0.0,6,
Mike Matheson,2500,PIT,D,NYR,0.0,x,
Gemel Smith,2500,TB,RW,NSH,0.0,5,
Boo Nieves,2500,TB,C,NSH,0.0,,
Paul Carey,2500,BOS,RW,WAS,0.0,,
Zach Trotman,2500,PIT,D,NYR,0.0,x,
Cameron Schilling,2500,WAS,D,BOS,0.0,x,
Pontus Aberg,2500,PIT,RW,NYR,0.0,,
Anton Forsberg,6500,WPG,G,CGY,0.0,,
Max Lagace,6500,PIT,G,NYR,0.0,,
Michael McCarron,2500,NSH,C,TB,0.0,5,
Justin Bailey,2500,VAN,RW,MON,0.0,6,
Marko Dano,2500,WPG,LW,CGY,0.0,,
Zach Fucale,6500,WAS,G,BOS,0.0,,
Laurent Dauphin,2500,MON,C,VAN,0.0,,
Tristan Jarry,7500,PIT,G,NYR,0.0,,
Gustav Olofsson,2500,MON,D,VAN,0.0,x,
Peter Cehlarik,2500,BOS,LW,WAS,0.0,,
Spencer Martin,6500,TB,G,NSH,0.0,,
Lars Eller,3200,WAS,C,BOS,0.0,5,
Pekka Rinne,7000,NSH,G,TB,0.0,,
Michael Frolik,2500,MON,LW,VAN,0.0,5,
Craig Anderson,7400,WAS,G,BOS,0.0,,
Loui Eriksson,2500,VAN,RW,MON,0.0,5,
Bryan Little,2500,WPG,C,CGY,0.0,8,
Jack Johnson,2500,NYR,D,PIT,0.0,x,
Curtis McElhinney,8200,TB,G,NSH,0.0,,
Nate Thompson,2500,WPG,C,CGY,0.0,7,
Henrik Lundqvist,6500,WAS,G,BOS,0.0,,
Tuukka Rask,7700,BOS,G,WAS,0.0,,
John Moore,2500,BOS,D,WAS,0.0,x,
Luca Sbisa,2500,NSH,D,TB,0.0,x,
Michael Stone,2500,CGY,D,WPG,0.0,x,
Jake Allen,8000,MON,G,VAN,0.0,,
Travis Hamonic,3300,VAN,D,MON,0.0,x,
Anders Nilsson,6500,TB,G,NSH,0.0,,
Steve Kampfer,2500,BOS,D,WAS,0.0,x,
Jordan Weal,2500,MON,RW,VAN,0.0,,
Jarred Tinordi,2500,NSH,D,TB,0.0,x,
Alex Petrovic,2500,CGY,D,WPG,0.0,x,
Calle Jarnkrok,2500,NSH,RW,TB,0.0,6,
Jack Rathbone,2500,VAN,D,MON,0.0,x,
Cayden Primeau,6500,MON,G,VAN,0.0,,
Morgan Barron,2500,NYR,C,PIT,0.0,,
Dmitri Semykin,2500,TB,D,NSH,0.0,x,
Ross Colton,2500,TB,C,NSH,0.0,,
Joel Teasdale,2500,MON,LW,VAN,0.0,,
Otto Leskinen,2500,MON,D,VAN,0.0,x,
Carl-Johan Lerby,2500,CGY,D,WPG,0.0,x,
Dustin Wolf,6500,CGY,G,WPG,0.0,,
Alexander Yelesin,2500,CGY,D,WPG,0.0,x,
Nathan Legare,2500,PIT,RW,NYR,0.0,,
Alex Belzile,2500,MON,RW,VAN,0.0,,
Emil Larmi,6500,PIT,G,NYR,0.0,,
Tarmo Reunanen,2500,NYR,D,PIT,0.0,x,
Joona Luoto,2500,WPG,LW,CGY,0.0,,
Philippe Maillet,2500,WAS,C,BOS,0.0,8,
Robert Lantosi,2500,BOS,RW,WAS,0.0,,
Jimmy Huntington,2500,TB,C,NSH,0.0,,
Jake Lucchini,2500,MON,LW,VAN,0.0,,
Josh Teves,2500,VAN,D,MON,0.0,x,
Oskar Steen,2500,BOS,C,WAS,0.0,,
Emilio Pettersen,2500,CGY,C,WPG,0.0,,
Ryan Lohin,2500,TB,C,NSH,0.0,,
Jake Kielly,6500,VAN,G,MON,0.0,,
Brogan Rafferty,2500,VAN,D,MON,0.0,x,
Jeremy Davies,2500,NSH,D,TB,0.0,x,
Matthew Robertson,2500,NYR,D,PIT,0.0,x,
Jakob Pelletier,2500,CGY,LW,WPG,0.0,,
Philip Tomasino,2500,NSH,C,TB,0.0,,
Samuel Poulin,2500,PIT,LW,NYR,0.0,,
Connor McMichael,2500,WAS,C,BOS,0.0,,
Artyom Zagidulin,6500,CGY,G,WPG,0.0,,
Josh Wilkins,2500,NSH,C,TB,0.0,,
Ville Heinola,2500,WPG,D,CGY,0.0,x,
Alexandar Georgiev,7200,NYR,G,PIT,0.0,,
Dominic Toninato,2500,WPG,LW,CGY,0.0,6,
Alex D'Orio,6500,PIT,G,NYR,0.0,,
Anthony Greco,2500,NYR,RW,PIT,0.0,,
Urho Vaakanainen,2500,BOS,D,WAS,0.0,x,
Michael DiPietro,6500,VAN,G,MON,0.0,,
Ryan Poehling,2500,MON,C,VAN,0.0,5,
Patrick Harper,2500,NSH,C,TB,0.0,,
Jeremy Swayman,6500,BOS,G,WAS,0.0,,
Alex Barre-Boulet,2500,TB,C,NSH,0.0,,
Matthew Phillips,2500,CGY,C,WPG,0.0,,
Jack Studnicka,2700,BOS,RW,WAS,0.0,6,
C.J. Suess,2500,WPG,LW,CGY,0.0,,
Tanner Jeannot,2500,NSH,LW,TB,0.0,,
Brian Pinho,2500,WAS,C,BOS,0.0,6,
Anthony Angello,2500,PIT,RW,NYR,0.0,6,
Vitali Kravtsov,2500,NYR,RW,PIT,0.0,,
David Gustafsson,2500,WPG,C,CGY,0.0,5,
Jakub Lauko,2500,BOS,C,WAS,0.0,,
Alexander Alexeyev,2500,WAS,D,BOS,0.0,x,
Dmitri Zavgorodny,2500,CGY,LW,WPG,0.0,,
Martin Fehervary,2500,WAS,D,BOS,0.0,x,
Kody Clark,2500,WAS,RW,BOS,0.0,,
Par Lindholm,2500,BOS,C,WAS,0.0,5,
