QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Larry Fitzgerald,Dallas Goedert,Christian Kirk,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Josh Reynolds,Terry McLaurin,Darren Waller,Cooper Kupp,Miami Dolphins
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,Davante Adams,Henry Ruggs,Noah Fant,Miles Sanders,New Orleans Saints
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,Robby Anderson,Gerald Everett,D.K. Metcalf,Los Angeles Chargers
Tom Brady,Mike Davis,Aaron Jones,Stefon Diggs,Curtis Samuel,Chris Godwin,Rob Gronkowski,James Conner,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Diontae Johnson,A.J. Green,JuJu Smith-Schuster,T.J. Hockenson,Alvin Kamara,Green Bay Packers
Deshaun Watson,Mike Davis,Aaron Jones,Keenan Allen,Brandin Cooks,Will Fuller,Austin Hooper,D'Andre Swift,Philadelphia Eagles
Daniel Jones,Mike Davis,Aaron Jones,Davante Adams,Darius Slayton,Jalen Reagor,Evan Engram,Josh Jacobs,Pittsburgh Steelers
Joe Burrow,Mike Davis,Aaron Jones,Chase Claypool,Tee Higgins,Tyler Boyd,Mike Gesicki,Alvin Kamara,Cleveland Browns
Aaron Rodgers,Mike Davis,Antonio Gibson,Stefon Diggs,Keelan Cole,Davante Adams,Robert Tonyan,Robert Woods,Denver Broncos
Drew Brees,Mike Davis,Aaron Jones,Michael Thomas,DJ Chark,Jarvis Landry,Jared Cook,Brandon Aiyuk,New York Giants
Josh Allen,Aaron Jones,Giovani Bernard,DeAndre Hopkins,John Brown,Cole Beasley,Logan Thomas,James Robinson,Houston Texans
Carson Wentz,Mike Davis,Aaron Jones,Davante Adams,Sterling Shepard,Travis Fulgham,Eric Ebron,Greg Ward,Washington Football Team
Derek Carr,Aaron Jones,Alvin Kamara,Tim Patrick,Mike Williams,Hunter Renfrow,Darren Waller,Leonard Fournette,Tampa Bay Buccaneers
Matthew Stafford,Aaron Jones,Nick Chubb,Terry McLaurin,Davante Adams,Danny Amendola,Drew Sample,Marvin Jones,Seattle Seahawks
Nick Mullens,Aaron Jones,Alvin Kamara,Davante Adams,Richie James,Emmanuel Sanders,Jordan Reed,Melvin Gordon,Carolina Panthers
Jake Luton,Aaron Jones,Jerick McKinnon,Stefon Diggs,Chris Conley,Davante Adams,Tyler Eifert,Kareem Hunt,Las Vegas Raiders
Teddy Bridgewater,Aaron Jones,Jamaal Williams,Robby Anderson,Davante Adams,Mike Evans,Ian Thomas,Chase Edmonds,San Francisco 49ers
