QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,John Brown,Christian Kirk,Noah Fant,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,Detroit Lions
Justin Herbert,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Keenan Allen,Hunter Henry,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Larry Fitzgerald,Logan Thomas,DeAndre Hopkins,Los Angeles Rams
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,Cole Beasley,Darren Waller,Miles Sanders,New Orleans Saints
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Josh Reynolds,Noah Fant,Cooper Kupp,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,DeVante Parker,Tyler Lockett,Keenan Allen,Mike Gesicki,Michael Thomas,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,Larry Fitzgerald,Austin Hooper,DeAndre Hopkins,Miami Dolphins
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Robert Woods,Jacob Hollister,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Terry McLaurin,Dan Arnold,John Brown,Los Angeles Chargers
Drew Lock,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Jerry Jeudy,Darren Waller,Tim Patrick,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,DeAndre Hopkins,Drew Sample,John Brown,Cleveland Browns
Tom Brady,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Chris Godwin,Rob Gronkowski,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Curtis Samuel,DeAndre Hopkins,Robert Tonyan,John Brown,Denver Broncos
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,DeAndre Hopkins,Gabriel Davis,Evan Engram,D'Andre Swift,New Orleans Saints
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,A.J. Green,Eric Ebron,Alvin Kamara,New Orleans Saints
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Davante Adams,Darius Slayton,Dallas Goedert,Jalen Reagor,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,John Brown,T.J. Hockenson,James Conner,New York Giants
