QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,DeAndre Hopkins,Dallas Goedert,Duke Johnson,Detroit Lions
Justin Herbert,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,Keenan Allen,Hunter Henry,Duke Johnson,Philadelphia Eagles
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,John Brown,Logan Thomas,Christian Kirk,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,Larry Fitzgerald,Cole Beasley,Noah Fant,Alvin Kamara,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Cooper Kupp,Tyler Higbee,Duke Johnson,Miami Dolphins
Tua Tagovailoa,Mike Davis,Aaron Jones,Jakeem Grant,DeVante Parker,Keenan Allen,Darren Waller,Davante Adams,New Orleans Saints
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Michael Thomas,Cooper Kupp,Jacob Hollister,Duke Johnson,Los Angeles Chargers
Tom Brady,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Chris Godwin,Rob Gronkowski,Duke Johnson,New Orleans Saints
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,JuJu Smith-Schuster,Drew Sample,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,DeAndre Hopkins,Dan Arnold,D'Andre Swift,Cleveland Browns
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,Jerry Jeudy,Henry Ruggs,Darren Waller,James Conner,New Orleans Saints
Matthew Stafford,Mike Davis,Aaron Jones,Tyler Lockett,Terry McLaurin,Marvin Hall,T.J. Hockenson,Alvin Kamara,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Stefon Diggs,DeAndre Hopkins,Gabriel Davis,Austin Hooper,Miles Sanders,Denver Broncos
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Darius Slayton,Jalen Reagor,Dallas Goedert,Alvin Kamara,Green Bay Packers
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Josh Reynolds,Robert Tonyan,D.K. Metcalf,Houston Texans
Joe Burrow,Mike Davis,Aaron Jones,Stefon Diggs,A.J. Green,Tee Higgins,Eric Ebron,Alvin Kamara,New Orleans Saints
Daniel Jones,Mike Davis,Aaron Jones,Tyler Lockett,Sterling Shepard,Travis Fulgham,Evan Engram,Alvin Kamara,New Orleans Saints
Drew Lock,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,KJ Hamler,Darren Waller,Tim Patrick,Pittsburgh Steelers
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Keenan Allen,Brandin Cooks,Jordan Akins,Jarvis Landry,New Orleans Saints
