CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,WR,Van Jefferson Jr. (16103547),Van Jefferson Jr.,16103547,CPT,4500,LAR@SEA 01/09/2021 04:40PM ET,LAR,3.35
,,,,,,,DST,Rams  (16103497),Rams ,16103497,FLEX,4400,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.44
,,,,,,,RB,Malcolm Brown (16103498),Malcolm Brown,16103498,FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.88
,,,,,,,TE,Jacob Hollister (16103548),Jacob Hollister,16103548,CPT,3900,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.71
,,,,,,,K,Jason Myers (16103499),Jason Myers,16103499,FLEX,3600,LAR@SEA 01/09/2021 04:40PM ET,SEA,8.62
,,,,,,,K,Kai Forbath (16103500),Kai Forbath,16103500,FLEX,3400,LAR@SEA 01/09/2021 04:40PM ET,LAR,5
,,,,,,,K,Matt Gay (16103501),Matt Gay,16103501,FLEX,3400,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.43
,,,,,,,RB,Carlos Hyde (16103549),Carlos Hyde,16103549,CPT,3300,LAR@SEA 01/09/2021 04:40PM ET,SEA,8.49
,,,,,,,WR,Van Jefferson Jr. (16103502),Van Jefferson Jr.,16103502,FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,LAR,3.35
,,,,,,,WR,David Moore (16103550),David Moore,16103550,CPT,2700,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.42
,,,,,,,TE,Jacob Hollister (16103503),Jacob Hollister,16103503,FLEX,2600,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.71
,,,,,,,TE,Gerald Everett (16103551),Gerald Everett,16103551,CPT,2400,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.26
,,,,,,,RB,Carlos Hyde (16103504),Carlos Hyde,16103504,FLEX,2200,LAR@SEA 01/09/2021 04:40PM ET,SEA,8.49
,,,,,,,WR,David Moore (16103505),David Moore,16103505,FLEX,1800,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.42
,,,,,,,RB,Darrell Henderson Jr. (16103552),Darrell Henderson Jr.,16103552,CPT,1800,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.89
,,,,,,,TE,Gerald Everett (16103506),Gerald Everett,16103506,FLEX,1600,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.26
,,,,,,,TE,Will Dissly (16103553),Will Dissly,16103553,CPT,1500,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.07
,,,,,,,RB,Darrell Henderson Jr. (16103507),Darrell Henderson Jr.,16103507,FLEX,1200,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.89
,,,,,,,RB,Rashaad Penny (16103554),Rashaad Penny,16103554,CPT,1200,LAR@SEA 01/09/2021 04:40PM ET,SEA,1.13
,,,,,,,TE,Will Dissly (16103508),Will Dissly,16103508,FLEX,1000,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.07
,,,,,,,WR,Freddie Swain (16103555),Freddie Swain,16103555,CPT,900,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.15
,,,,,,,RB,Rashaad Penny (16103509),Rashaad Penny,16103509,FLEX,800,LAR@SEA 01/09/2021 04:40PM ET,SEA,1.13
,,,,,,,WR,Freddie Swain (16103510),Freddie Swain,16103510,FLEX,600,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.15
,,,,,,,TE,Greg Olsen (16103556),Greg Olsen,16103556,CPT,600,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.9
,,,,,,,TE,Greg Olsen (16103511),Greg Olsen,16103511,FLEX,400,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.9
,,,,,,,RB,DeeJay Dallas (16103557),DeeJay Dallas,16103557,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.32
,,,,,,,RB,Xavier Jones (16103558),Xavier Jones,16103558,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,RB,Raymond Calais (16103559),Raymond Calais,16103559,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,WR,Trishton Jackson (16103560),Trishton Jackson,16103560,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,WR,Phillip Dorsett II (16103561),Phillip Dorsett II,16103561,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,TE,Colby Parkinson (16103562),Colby Parkinson,16103562,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.6
,,,,,,,RB,Travis Homer (16103563),Travis Homer,16103563,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.64
,,,,,,,TE,Brycen Hopkins (16103564),Brycen Hopkins,16103564,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,RB,Alex Collins (16103565),Alex Collins,16103565,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.03
,,,,,,,WR,Penny Hart (16103566),Penny Hart,16103566,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.53
,,,,,,,WR,Josh Gordon (16103567),Josh Gordon,16103567,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,TE,Tyler Ott (16103568),Tyler Ott,16103568,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,WR,Nsimba Webster (16103569),Nsimba Webster,16103569,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,-0.06
,,,,,,,TE,Johnny Mundt (16103570),Johnny Mundt,16103570,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,LAR,1.86
,,,,,,,RB,Nick Bellore (16103571),Nick Bellore,16103571,CPT,300,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.3
,,,,,,,RB,DeeJay Dallas (16103512),DeeJay Dallas,16103512,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.32
,,,,,,,RB,Xavier Jones (16103513),Xavier Jones,16103513,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,RB,Raymond Calais (16103514),Raymond Calais,16103514,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,WR,Trishton Jackson (16103515),Trishton Jackson,16103515,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,WR,Phillip Dorsett II (16103516),Phillip Dorsett II,16103516,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
