PG,SG,SF,PF,C,G,F,UTIL
Damyean Dotson,Devin Booker,Marcus Morris,KZ Okpala,Daniel Theis,Patty Mills,Ben Simmons,Kevin Huerter
Patty Mills,Jeremy Lamb,Cedi Osman,Daniel Theis,Serge Ibaka,Trey Burke,Ben Simmons,Kevin Huerter
Trey Burke,Devin Booker,Isaac Okoro,Daniel Theis,DeMarcus Cousins,Ben Simmons,Precious Achiuwa,Kevin Huerter
Payton Pritchard,Damyean Dotson,Ben Simmons,Chris Boucher,Ivica Zubac,Patty Mills,Kevin Huerter,Trey Burke
Payton Pritchard,Tyrese Haliburton,Cedi Osman,Marcus Morris,DeMarcus Cousins,Patty Mills,Ben Simmons,Kevin Huerter
Tyrese Haliburton,Trey Burke,Marcus Morris,Daniel Theis,Jarrett Allen,Ben Simmons,Kevin Huerter,Sterling Brown
Ben Simmons,Jeremy Lamb,Timothe Luwawu-Cabarrot,Chris Boucher,DeMarcus Cousins,Kevin Huerter,Daniel Theis,Jarrett Allen
Jeff Teague,Devin Booker,David Nwaba,KZ Okpala,Jarrett Allen,Trey Burke,Ben Simmons,Kevin Huerter
Patty Mills,Devin Booker,Ben Simmons,Semi Ojeleye,Ivica Zubac,Jeremy Lamb,Kevin Huerter,Jarrett Allen
Jeff Teague,Devin Booker,Ben Simmons,Cedi Osman,Precious Achiuwa,Jeremy Lamb,Kevin Huerter,Luke Kennard
Trey Burke,Devin Booker,Marcus Morris,Chris Boucher,Dwight Howard,Jeremy Lamb,Kevin Huerter,Jarrett Allen
Jeff Teague,Patty Mills,James Ennis III,Chris Boucher,Jarrett Allen,Ben Simmons,Marcus Morris,Kevin Huerter
Patty Mills,Devin Booker,Cedi Osman,Chris Boucher,DeMarcus Cousins,Trey Burke,Timothe Luwawu-Cabarrot,Kevin Huerter
Payton Pritchard,Malik Beasley,Ben Simmons,Cedi Osman,Khem Birch,Trey Burke,Kevin Huerter,Luke Kennard
Kendrick Nunn,Devin Booker,Kevin Huerter,Chris Boucher,Jarrett Allen,Patty Mills,Daniel Theis,Luke Kennard
Gabe Vincent,Devin Booker,Cedi Osman,Daniel Theis,Khem Birch,Ben Simmons,Kevin Huerter,Sterling Brown
Jeff Teague,Malik Beasley,Cedi Osman,Marcus Morris,Dwight Howard,Devin Booker,Kevin Huerter,Patty Mills
Trey Burke,Kevin Huerter,Cedi Osman,Chris Boucher,Robert Williams III,Ben Simmons,Marcus Morris,Precious Achiuwa
Payton Pritchard,Devin Booker,Kent Bazemore,Marcus Morris,Khem Birch,Ben Simmons,Kevin Huerter,Jarrett Allen
Payton Pritchard,Trey Burke,Timothe Luwawu-Cabarrot,Precious Achiuwa,Myles Turner,Ben Simmons,Kevin Huerter,Jarrett Allen
