QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Cam Akers,Chris Carson,Michael Thomas,T.Y. Hilton,Stefon Diggs,Mark Andrews,John Brown,Washington Football Team
Josh Allen,Cam Akers,Alvin Kamara,Corey Davis,Michael Thomas,Stefon Diggs,Jack Doyle,John Brown,Tennessee Titans
Lamar Jackson,Cam Akers,Alvin Kamara,Corey Davis,Michael Thomas,Marquise Brown,Mark Andrews,Jonnu Smith,Tampa Bay Buccaneers
Josh Allen,Antonio Gibson,David Montgomery,Corey Davis,Michael Thomas,T.Y. Hilton,Dawson Knox,Stefon Diggs,Seattle Seahawks
Ben Roethlisberger,Cam Akers,David Montgomery,Michael Thomas,Stefon Diggs,JuJu Smith-Schuster,Austin Hooper,Diontae Johnson,Tennessee Titans
Josh Allen,Cam Akers,Ronald Jones,T.Y. Hilton,Stefon Diggs,John Brown,Logan Thomas,Robert Woods,Baltimore Ravens
Lamar Jackson,Cam Akers,Derrick Henry,Corey Davis,Marquise Brown,Darnell Mooney,Mark Andrews,Terry McLaurin,Indianapolis Colts
Mitchell Trubisky,Cam Akers,Alvin Kamara,Michael Thomas,Stefon Diggs,Chase Claypool,Cole Kmet,Allen Robinson,Tennessee Titans
Josh Allen,Cam Akers,Jonathan Taylor,Corey Davis,Michael Thomas,Stefon Diggs,Trey Burton,Cole Beasley,Cleveland Browns
Lamar Jackson,Cam Akers,James Conner,Stefon Diggs,Marquise Brown,A.J. Brown,Mark Andrews,Eric Ebron,Los Angeles Rams
Drew Brees,Cam Akers,Nyheim Hines,Michael Thomas,Stefon Diggs,Allen Robinson,Mark Andrews,Emmanuel Sanders,Pittsburgh Steelers
Russell Wilson,Cam Akers,Alvin Kamara,Michael Thomas,Stefon Diggs,D.K. Metcalf,Tyler Higbee,David Moore,Tennessee Titans
Philip Rivers,Cam Akers,Derrick Henry,T.Y. Hilton,Stefon Diggs,Jarvis Landry,Mark Andrews,Michael Pittman,Chicago Bears
Tom Brady,Cam Akers,J.D. McKissic,Michael Thomas,Stefon Diggs,Terry McLaurin,Rob Gronkowski,Antonio Brown,Tennessee Titans
Josh Allen,Cam Akers,Alvin Kamara,Stefon Diggs,John Brown,Zach Pascal,Gerald Everett,Cooper Kupp,New Orleans Saints
Ryan Tannehill,Cam Akers,Gus Edwards,Corey Davis,Michael Thomas,A.J. Brown,Mark Andrews,Tyler Lockett,Buffalo Bills
Josh Allen,Nick Chubb,Zack Moss,Michael Thomas,Stefon Diggs,John Brown,Mo Alie-Cox,Chris Godwin,Seattle Seahawks
Jared Goff,Derrick Henry,Kareem Hunt,Michael Thomas,Stefon Diggs,Robert Woods,Jacob Hollister,Josh Reynolds,Tampa Bay Buccaneers
Drew Brees,Alvin Kamara,Leonard Fournette,Michael Thomas,Stefon Diggs,Mike Evans,Jared Cook,Anthony Miller,Seattle Seahawks
Baker Mayfield,Alvin Kamara,J.K. Dobbins,Michael Thomas,Stefon Diggs,JuJu Smith-Schuster,David Njoku,Rashard Higgins,Seattle Seahawks
