Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
21,2427351429,llog546,0,134.96,DST Chiefs  RB Frank Gore WR Larry Fitzgerald TE Travis Kelce FLEX Tyler Higbee RB Alvin Kamara WR Tyreek Hill QB Patrick Mahomes WR Denzel Mims,,Cardinals ,DST,17.00%,10
21,2427528439,ktop22,0,134.95999,DST Rams  WR Larry Fitzgerald TE Travis Kelce FLEX Latavius Murray RB Le'Veon Bell WR DeAndre Hopkins QB Jared Goff RB Alvin Kamara WR Tre'Quan Smith,,Tre'Quan Smith,WR,15.00%,3.5
23,2427302076,JennOzz,0,134.92,DST Rams  TE Jared Cook WR Emmanuel Sanders WR DeAndre Hopkins WR Sammy Watkins FLEX Kenyan Drake RB Alvin Kamara QB Jalen Hurts RB Cam Akers,,Tyler Higbee,TE,14.00%,16.7
24,2427474431,PistolPreet,0,134.64,DST Rams  WR Emmanuel Sanders FLEX Travis Kelce WR DeAndre Hopkins RB Kenyan Drake TE Dallas Goedert WR Braxton Berrios QB Kyler Murray RB Clyde Edwards-Helaire,,Drew Brees,QB,12.00%,20.36
25,2427401738,JServo,0,134.56,DST Cardinals  TE Jared Cook RB Latavius Murray WR Robert Woods WR DeAndre Hopkins FLEX Sammy Watkins QB Patrick Mahomes WR Christian Kirk RB Miles Sanders,,Le'Veon Bell,RB,11.00%,14.6
26,2427462156,FingerBlastJ,0,134.34,DST Saints  TE Jared Cook WR Emmanuel Sanders WR DeAndre Hopkins WR Breshad Perriman FLEX Alvin Kamara QB Kyler Murray RB Miles Sanders RB Cam Akers,,Latavius Murray,RB,11.00%,10.9
27,2427500013,DGBENT,0,134.16,DST Jets  QB Drew Brees WR Emmanuel Sanders FLEX DeAndre Hopkins WR Sammy Watkins RB Kenyan Drake RB Alvin Kamara WR Tyreek Hill TE Dan Arnold,,Denzel Mims,WR,11.00%,4.8
28,2427473380,dougiefreshie,0,133.51999,DST Rams  FLEX Travis Kelce WR DeAndre Hopkins WR Tre'Quan Smith QB Jalen Hurts RB Miles Sanders WR Denzel Mims RB Cam Akers TE Dan Arnold,,Eagles ,DST,11.00%,6
29,2427388933,Brotte,0,133.26001,DST Eagles  FLEX Emmanuel Sanders WR Robert Woods RB Kenyan Drake WR Greg Ward RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Patrick Mahomes,,Jalen Reagor,WR,11.00%,8.9
30,2427417625,ma1chef,0,132.42,DST Rams  FLEX Frank Gore WR Emmanuel Sanders WR Robert Woods WR Cooper Kupp RB Alvin Kamara QB Jalen Hurts RB Cam Akers TE Dan Arnold,,Chiefs ,DST,10.00%,2
31,2427406365,bayej,0,131.34,DST Rams  TE Jared Cook WR Emmanuel Sanders WR Robert Woods WR DeAndre Hopkins FLEX Breshad Perriman RB Kenyan Drake QB Kyler Murray RB Miles Sanders,,Jamison Crowder,WR,10.00%,12.6
